0
"[-7298.19, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Layer', 'Saturation'), ('Layer', 'Permeability'), ('Top', 'Water Saturation Irreducible'), ('Gross', 'Top'), ('Gross', 'Bot'), ('Gross', 'Porosity'), ('Gross', 'Water Saturation Irreducible'), ('Saturation', 'Well'), ('Saturation', 'Porosity'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Top'), ('NetPay', 'Bot'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'NetPay'), ('Permeability', 'NetPay')]""]"
"[-7253.99, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability, Layer]', ""[('Well', 'Saturation'), ('Well', 'NetPay'), ('Well', 'Porosity'), ('Top', 'Water Saturation Irreducible'), ('Bot', 'Porosity'), ('Gross', 'Top'), ('Gross', 'NetPay'), ('Gross', 'Porosity'), ('Saturation', 'Gross'), ('Saturation', 'Permeability'), ('NetPay', 'Top'), ('NetPay', 'Bot'), ('Permeability', 'Top'), ('Layer', 'Gross')]""]"
"[-7306.86, '[Layer, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, Well, Top, NetPay]', ""[('Layer', 'Permeability'), ('Bot', 'Porosity'), ('Gross', 'Bot'), ('Permeability', 'Bot'), ('Permeability', 'Gross'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'NetPay'), ('Well', 'Bot'), ('Well', 'Saturation'), ('Top', 'Bot'), ('NetPay', 'Bot')]""]"
"[-7367.75, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability, Layer]', ""[('Well', 'Saturation'), ('Gross', 'Bot'), ('Gross', 'Porosity'), ('Gross', 'Permeability'), ('Saturation', 'NetPay'), ('Saturation', 'Porosity'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Top'), ('NetPay', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'Bot'), ('Permeability', 'Bot'), ('Permeability', 'NetPay'), ('Permeability', 'Water Saturation Irreducible'), ('Layer', 'Gross'), ('Layer', 'Water Saturation Irreducible')]""]"
"[-7287.88, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Top', 'Permeability'), ('Gross', 'Bot'), ('Gross', 'Porosity'), ('Saturation', 'Layer'), ('Saturation', 'Well'), ('NetPay', 'Water Saturation Irreducible'), ('NetPay', 'Well'), ('Porosity', 'Top'), ('Water Saturation Irreducible', 'Gross')]""]"
"[-7250.47, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability]', ""[('Well', 'Top'), ('Top', 'Gross'), ('Bot', 'Porosity'), ('Saturation', 'Layer'), ('NetPay', 'Top'), ('NetPay', 'Bot'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'NetPay'), ('Permeability', 'Top')]""]"
"[-7224.26, '[Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well, Top, Layer]', ""[('Bot', 'Gross'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'NetPay'), ('Gross', 'Porosity'), ('Gross', 'Top'), ('Saturation', 'Porosity'), ('Saturation', 'Permeability'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'NetPay'), ('Permeability', 'Gross'), ('Water Saturation Irreducible', 'Top'), ('Well', 'Saturation'), ('Layer', 'NetPay')]""]"
"[-7398.63, '[Well, Top, Bot, Saturation, NetPay, Porosity, Water Saturation Irreducible, Layer, Permeability, Gross]', ""[('Well', 'Saturation'), ('Well', 'Porosity'), ('Top', 'NetPay'), ('Top', 'Water Saturation Irreducible'), ('Bot', 'Porosity'), ('Saturation', 'Porosity'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Porosity'), ('NetPay', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Bot'), ('Layer', 'Saturation'), ('Layer', 'Gross'), ('Permeability', 'NetPay'), ('Gross', 'Top'), ('Gross', 'Bot')]""]"
"[-7238.67, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Well', 'Porosity'), ('Top', 'NetPay'), ('Top', 'Permeability'), ('Bot', 'Gross'), ('Bot', 'Porosity'), ('Gross', 'Water Saturation Irreducible'), ('Saturation', 'Top'), ('Saturation', 'Layer'), ('Porosity', 'Top'), ('Porosity', 'Permeability'), ('Water Saturation Irreducible', 'NetPay'), ('Water Saturation Irreducible', 'Porosity'), ('Layer', 'Gross'), ('Layer', 'Water Saturation Irreducible')]""]"
"[-7308.99, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Bot', 'Porosity'), ('Gross', 'Water Saturation Irreducible'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('Saturation', 'Porosity'), ('NetPay', 'Bot'), ('NetPay', 'Top'), ('Permeability', 'Gross'), ('Water Saturation Irreducible', 'NetPay')]""]"
