0
"[-7338.37, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Well', 'Saturation'), ('Well', 'NetPay'), ('Top', 'Gross'), ('Bot', 'Porosity'), ('Gross', 'NetPay'), ('Saturation', 'Permeability'), ('Porosity', 'NetPay'), ('Permeability', 'Gross'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'Bot'), ('Layer', 'Water Saturation Irreducible')]""]"
"[-7230.62, '[Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well, Gross]', ""[('Layer', 'Porosity'), ('Top', 'Gross'), ('Saturation', 'NetPay'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Bot'), ('NetPay', 'Porosity'), ('Porosity', 'Water Saturation Irreducible'), ('Permeability', 'NetPay'), ('Permeability', 'Water Saturation Irreducible'), ('Permeability', 'Gross'), ('Well', 'Water Saturation Irreducible'), ('Gross', 'Bot')]""]"
"[-6589.34, '[Well, Layer, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability, Bot, Top]', ""[('Well', 'Saturation'), ('Layer', 'Bot'), ('Gross', 'NetPay'), ('Gross', 'Bot'), ('Saturation', 'Layer'), ('Saturation', 'Gross'), ('Permeability', 'Water Saturation Irreducible'), ('Bot', 'Porosity'), ('Bot', 'Water Saturation Irreducible'), ('Top', 'Gross'), ('Top', 'Bot')]""]"
"[-7307.72, '[Well, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Layer, Top, Water Saturation Irreducible]', ""[('Bot', 'Gross'), ('Bot', 'NetPay'), ('Bot', 'Porosity'), ('Gross', 'Porosity'), ('Gross', 'Permeability'), ('Saturation', 'Well'), ('NetPay', 'Top'), ('Layer', 'Gross'), ('Layer', 'Saturation'), ('Top', 'Water Saturation Irreducible')]""]"
"[-6853.63, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability]', ""[('Layer', 'Water Saturation Irreducible'), ('Top', 'Gross'), ('Top', 'NetPay'), ('Bot', 'Porosity'), ('Gross', 'NetPay'), ('Saturation', 'Gross'), ('NetPay', 'Well'), ('Porosity', 'Gross'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'Bot'), ('Permeability', 'Water Saturation Irreducible')]""]"
"[-7251.06, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Top', 'NetPay'), ('Top', 'Permeability'), ('Bot', 'Gross'), ('Bot', 'Porosity'), ('Saturation', 'Layer'), ('Saturation', 'Gross'), ('Saturation', 'Porosity'), ('NetPay', 'Permeability'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'Well'), ('Permeability', 'Gross'), ('Water Saturation Irreducible', 'Bot')]""]"
"[-7178.48, '[Well, Layer, Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation]', ""[('Layer', 'Saturation'), ('Top', 'NetPay'), ('Bot', 'Porosity'), ('Gross', 'Bot'), ('Gross', 'Water Saturation Irreducible'), ('Porosity', 'Well'), ('Permeability', 'Well'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Top'), ('Saturation', 'Well')]""]"
"[-7159.95, '[Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer, Well]', ""[('Top', 'Gross'), ('Bot', 'Porosity'), ('Gross', 'Bot'), ('Saturation', 'Layer'), ('NetPay', 'Top'), ('NetPay', 'Bot'), ('Porosity', 'Permeability'), ('Water Saturation Irreducible', 'Top'), ('Layer', 'Top'), ('Well', 'Top')]""]"
"[-6922.63, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Layer', 'Permeability'), ('Layer', 'Water Saturation Irreducible'), ('Top', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Well'), ('Saturation', 'Gross'), ('NetPay', 'Bot'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'NetPay'), ('Bot', 'Porosity')]""]"
"[-7075.79, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability, Gross]', ""[('Well', 'Top'), ('Layer', 'Permeability'), ('Layer', 'Gross'), ('Top', 'NetPay'), ('Top', 'Porosity'), ('Top', 'Permeability'), ('Bot', 'Porosity'), ('Saturation', 'Top'), ('Saturation', 'Porosity'), ('Saturation', 'Permeability'), ('NetPay', 'Bot'), ('NetPay', 'Porosity'), ('Porosity', 'Water Saturation Irreducible'), ('Permeability', 'Water Saturation Irreducible'), ('Gross', 'Top')]""]"
