0
"[-7418.26, '[Well, Layer, Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation]', ""[('Well', 'Saturation'), ('Bot', 'Porosity'), ('Gross', 'Bot'), ('Gross', 'Porosity'), ('Gross', 'Permeability'), ('NetPay', 'Top'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Bot'), ('Water Saturation Irreducible', 'Gross'), ('Saturation', 'Layer'), ('Saturation', 'Gross'), ('Saturation', 'NetPay'), ('Saturation', 'Permeability')]""]"
"[-7197.57, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Permeability'), ('Top', 'NetPay'), ('Top', 'Water Saturation Irreducible'), ('Bot', 'NetPay'), ('Gross', 'NetPay'), ('Gross', 'Well'), ('Saturation', 'Layer'), ('Porosity', 'Bot'), ('Porosity', 'NetPay'), ('Porosity', 'Well'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('Water Saturation Irreducible', 'NetPay')]""]"
"[-7249.5, '[Well, Layer, Top, Bot, Gross, NetPay, Porosity, Water Saturation Irreducible, Saturation, Permeability]', ""[('Well', 'Top'), ('Bot', 'Gross'), ('Bot', 'Porosity'), ('Gross', 'Porosity'), ('NetPay', 'Top'), ('NetPay', 'Bot'), ('Water Saturation Irreducible', 'NetPay'), ('Saturation', 'Layer'), ('Saturation', 'Permeability'), ('Permeability', 'Top'), ('Permeability', 'Gross')]""]"
"[-7221.57, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross]', ""[('Top', 'Water Saturation Irreducible'), ('Bot', 'Porosity'), ('Bot', 'Gross'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Gross'), ('NetPay', 'Top'), ('Porosity', 'Well'), ('Permeability', 'Water Saturation Irreducible'), ('Gross', 'Well'), ('Gross', 'Water Saturation Irreducible')]""]"
"[-7353.01, '[Well, Layer, Top, Bot, Gross, Saturation, Permeability, Water Saturation Irreducible, Porosity, NetPay]', ""[('Well', 'Saturation'), ('Layer', 'Permeability'), ('Bot', 'Gross'), ('Bot', 'Permeability'), ('Bot', 'Porosity'), ('Gross', 'Top'), ('Saturation', 'Bot'), ('Saturation', 'Water Saturation Irreducible'), ('Permeability', 'Gross'), ('Water Saturation Irreducible', 'Bot'), ('NetPay', 'Well')]""]"
"[-7233.37, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability]', ""[('Well', 'Water Saturation Irreducible'), ('Top', 'Gross'), ('Bot', 'Porosity'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Top'), ('Porosity', 'NetPay'), ('Water Saturation Irreducible', 'Bot'), ('Water Saturation Irreducible', 'NetPay'), ('Permeability', 'Water Saturation Irreducible')]""]"
"[-7240.26, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Gross'), ('Top', 'NetPay'), ('Bot', 'Porosity'), ('Gross', 'Bot'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Water Saturation Irreducible'), ('Permeability', 'Top'), ('Water Saturation Irreducible', 'Gross'), ('Well', 'NetPay'), ('Well', 'Porosity')]""]"
"[-7069.57, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Well', 'Top'), ('Well', 'Water Saturation Irreducible'), ('Bot', 'Permeability'), ('Gross', 'Top'), ('Gross', 'Bot'), ('Saturation', 'Gross'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('NetPay', 'Top'), ('Porosity', 'Gross'), ('Porosity', 'Permeability'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'NetPay')]""]"
"[-7356.66, '[Well, Layer, Top, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot, Gross]', ""[('Well', 'Saturation'), ('Well', 'Porosity'), ('Layer', 'Saturation'), ('Top', 'Gross'), ('Saturation', 'Permeability'), ('NetPay', 'Top'), ('Porosity', 'NetPay'), ('Permeability', 'NetPay'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Bot')]""]"
"[-7161.93, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Well', 'Top'), ('Top', 'Gross'), ('Gross', 'Bot'), ('Saturation', 'Layer'), ('Saturation', 'Gross'), ('Saturation', 'Water Saturation Irreducible'), ('Permeability', 'Top'), ('Permeability', 'Gross'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'NetPay'), ('Bot', 'Porosity')]""]"
