0
"[-6831.94, '[Well, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay, Layer, Top]', ""[('Bot', 'Porosity'), ('Gross', 'Porosity'), ('Gross', 'NetPay'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('Porosity', 'NetPay'), ('Permeability', 'Water Saturation Irreducible'), ('NetPay', 'Top'), ('Layer', 'Gross'), ('Top', 'Permeability')]""]"
"[-7291.16, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Well', 'NetPay'), ('Layer', 'Saturation'), ('Top', 'Water Saturation Irreducible'), ('Bot', 'Porosity'), ('Gross', 'Top'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'Gross'), ('Porosity', 'NetPay'), ('Permeability', 'NetPay')]""]"
"[-7137.52, '[Well, Layer, Top, Gross, Saturation, NetPay, Water Saturation Irreducible, Permeability, Porosity, Bot]', ""[('Well', 'Top'), ('Layer', 'Permeability'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Permeability'), ('Permeability', 'Top'), ('Porosity', 'Top'), ('Porosity', 'Permeability'), ('Bot', 'Gross'), ('Bot', 'Porosity')]""]"
"[-6489.86, '[Well, Layer, Top, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation, Bot]', ""[('Well', 'Top'), ('Well', 'Porosity'), ('Layer', 'Permeability'), ('Gross', 'NetPay'), ('NetPay', 'Water Saturation Irreducible'), ('Bot', 'Porosity')]""]"
"[-7256.63, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Layer', 'Saturation'), ('Layer', 'Permeability'), ('Top', 'NetPay'), ('Gross', 'Top'), ('Gross', 'Porosity'), ('Saturation', 'Well'), ('Bot', 'Porosity'), ('Bot', 'Water Saturation Irreducible')]""]"
"[-6997.05, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Porosity, Water Saturation Irreducible]', ""[('Well', 'Top'), ('Layer', 'Permeability'), ('Top', 'Permeability'), ('Bot', 'Gross'), ('Bot', 'NetPay'), ('Gross', 'Porosity'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Water Saturation Irreducible'), ('Permeability', 'NetPay'), ('Porosity', 'Permeability')]""]"
"[-6487.64, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Well', 'Top'), ('Well', 'Porosity'), ('Gross', 'NetPay'), ('Saturation', 'Layer'), ('Saturation', 'Gross'), ('Saturation', 'Water Saturation Irreducible'), ('Porosity', 'Permeability'), ('Permeability', 'Top'), ('Permeability', 'Water Saturation Irreducible'), ('Bot', 'Porosity')]""]"
"[-6545.19, '[Well, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot, Layer]', ""[('Well', 'Top'), ('Gross', 'NetPay'), ('Gross', 'Bot'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'NetPay'), ('Bot', 'Porosity'), ('Layer', 'Permeability')]""]"
"[-6689.64, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Well', 'Top'), ('Bot', 'NetPay'), ('Bot', 'Porosity'), ('Gross', 'NetPay'), ('Saturation', 'Layer'), ('Permeability', 'Top'), ('Permeability', 'Water Saturation Irreducible')]""]"
"[-6820.38, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Gross'), ('Top', 'Gross'), ('Gross', 'NetPay'), ('Gross', 'Porosity'), ('Saturation', 'Layer'), ('Saturation', 'Gross'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Bot'), ('Permeability', 'Bot'), ('Well', 'Porosity')]""]"
