0
"[-7385.72, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Well', 'Saturation'), ('Well', 'Permeability'), ('Layer', 'Water Saturation Irreducible'), ('Top', 'Gross'), ('Bot', 'NetPay'), ('Gross', 'Bot'), ('Gross', 'Porosity'), ('Gross', 'Permeability'), ('Saturation', 'Layer'), ('Saturation', 'Gross'), ('Saturation', 'Permeability'), ('Porosity', 'Permeability'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Top')]""]"
"[-7407.24, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Well', 'Saturation'), ('Top', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('NetPay', 'Well'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'NetPay'), ('Permeability', 'Top'), ('Water Saturation Irreducible', 'Gross'), ('Bot', 'Gross'), ('Bot', 'Porosity')]""]"
"[-7135.5, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability]', ""[('Well', 'Porosity'), ('Layer', 'Well'), ('Top', 'Well'), ('Bot', 'Gross'), ('Bot', 'Porosity'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Well'), ('Saturation', 'Well'), ('Saturation', 'Gross'), ('NetPay', 'Top'), ('NetPay', 'Porosity'), ('NetPay', 'Permeability'), ('Water Saturation Irreducible', 'Top'), ('Permeability', 'Gross')]""]"
"[-7440.34, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross]', ""[('Well', 'Saturation'), ('Layer', 'Water Saturation Irreducible'), ('Bot', 'NetPay'), ('Saturation', 'Porosity'), ('Porosity', 'Top'), ('Permeability', 'Top'), ('Water Saturation Irreducible', 'Bot'), ('Water Saturation Irreducible', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('Gross', 'Porosity'), ('Gross', 'Permeability')]""]"
"[-7386.07, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Water Saturation Irreducible, NetPay, Permeability]', ""[('Well', 'Saturation'), ('Well', 'Permeability'), ('Layer', 'Gross'), ('Layer', 'Water Saturation Irreducible'), ('Layer', 'Permeability'), ('Gross', 'Top'), ('Gross', 'Water Saturation Irreducible'), ('Gross', 'Permeability'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'NetPay'), ('Porosity', 'Bot'), ('Porosity', 'Gross'), ('Porosity', 'NetPay'), ('Porosity', 'Permeability'), ('NetPay', 'Top'), ('NetPay', 'Water Saturation Irreducible'), ('Permeability', 'Bot'), ('Permeability', 'NetPay')]""]"
"[-7268.36, '[Well, Layer, Top, Bot, Gross, NetPay, Permeability, Porosity, Water Saturation Irreducible, Saturation]', ""[('Layer', 'NetPay'), ('Top', 'Water Saturation Irreducible'), ('Bot', 'Porosity'), ('Gross', 'Permeability'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'NetPay'), ('Saturation', 'Well'), ('Saturation', 'NetPay')]""]"
"[-7200.32, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Bot, Permeability]', ""[('Well', 'Saturation'), ('Layer', 'Gross'), ('Layer', 'NetPay'), ('Top', 'Gross'), ('Gross', 'NetPay'), ('Gross', 'Water Saturation Irreducible'), ('Gross', 'Permeability'), ('Saturation', 'Water Saturation Irreducible'), ('Porosity', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'NetPay'), ('Bot', 'Porosity')]""]"
"[-6963.13, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability]', ""[('Well', 'Bot'), ('Layer', 'NetPay'), ('Layer', 'Water Saturation Irreducible'), ('Top', 'Bot'), ('Top', 'Gross'), ('Bot', 'Porosity'), ('Gross', 'NetPay'), ('Gross', 'Water Saturation Irreducible'), ('Saturation', 'Gross'), ('Saturation', 'Porosity'), ('Porosity', 'Gross'), ('Water Saturation Irreducible', 'NetPay'), ('Permeability', 'Bot')]""]"
"[-7210.6, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity]', ""[('Layer', 'Well'), ('Top', 'Gross'), ('Bot', 'Well'), ('Gross', 'Water Saturation Irreducible'), ('Saturation', 'Top'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Well'), ('NetPay', 'Bot'), ('NetPay', 'Water Saturation Irreducible'), ('Permeability', 'NetPay'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Well'), ('Water Saturation Irreducible', 'Bot'), ('Porosity', 'Water Saturation Irreducible')]""]"
"[-7244.57, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Water Saturation Irreducible, NetPay, Permeability]', ""[('Well', 'Porosity'), ('Layer', 'Gross'), ('Layer', 'Saturation'), ('Bot', 'Gross'), ('Bot', 'Porosity'), ('Bot', 'NetPay'), ('Gross', 'Porosity'), ('Saturation', 'Water Saturation Irreducible'), ('Porosity', 'Top'), ('Porosity', 'Permeability'), ('Water Saturation Irreducible', 'Porosity'), ('Water Saturation Irreducible', 'NetPay'), ('NetPay', 'Permeability'), ('Permeability', 'Top')]""]"
