0
"[-7284.96, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross]', ""[('Well', 'Bot'), ('Well', 'Saturation'), ('Well', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Bot'), ('Porosity', 'NetPay'), ('Porosity', 'Gross'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'Bot'), ('Gross', 'Water Saturation Irreducible')]""]"
"[-6887.5, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross]', ""[('Well', 'NetPay'), ('Well', 'Porosity'), ('Layer', 'Gross'), ('Top', 'Bot'), ('Top', 'Water Saturation Irreducible'), ('Bot', 'Porosity'), ('Saturation', 'Layer'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Bot'), ('Gross', 'Bot')]""]"
"[-7266.47, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Layer', 'Water Saturation Irreducible'), ('Gross', 'Well'), ('Gross', 'Top'), ('Saturation', 'Layer'), ('NetPay', 'Porosity'), ('Permeability', 'Top'), ('Water Saturation Irreducible', 'Gross'), ('Bot', 'Porosity')]""]"
"[-7207.72, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability]', ""[('Well', 'Top'), ('Layer', 'NetPay'), ('Bot', 'Gross'), ('Bot', 'Porosity'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Permeability'), ('NetPay', 'Top'), ('Porosity', 'Top'), ('Water Saturation Irreducible', 'Bot')]""]"
"[-7246.41, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Well', 'Top'), ('Bot', 'NetPay'), ('Bot', 'Porosity'), ('Bot', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('Porosity', 'Top'), ('Permeability', 'Top'), ('Water Saturation Irreducible', 'NetPay'), ('Water Saturation Irreducible', 'Top'), ('Top', 'Gross')]""]"
"[-6644.82, '[Well, Layer, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity, Top]', ""[('Well', 'Saturation'), ('Well', 'Porosity'), ('Well', 'Top'), ('Layer', 'Permeability'), ('Bot', 'Porosity'), ('Gross', 'NetPay'), ('Saturation', 'Layer'), ('Saturation', 'Gross'), ('Saturation', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross'), ('Porosity', 'Gross')]""]"
"[-7240.54, '[Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot, Layer, Well]', ""[('Top', 'Porosity'), ('Gross', 'Top'), ('Gross', 'Water Saturation Irreducible'), ('Saturation', 'Gross'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('Saturation', 'Well'), ('Porosity', 'Permeability'), ('Water Saturation Irreducible', 'Top'), ('Bot', 'Gross'), ('Bot', 'NetPay'), ('Well', 'Permeability')]""]"
"[-7360.35, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay]', ""[('Well', 'Saturation'), ('Layer', 'Permeability'), ('Top', 'Water Saturation Irreducible'), ('Top', 'NetPay'), ('Bot', 'Porosity'), ('Gross', 'Bot'), ('Saturation', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Bot')]""]"
"[-7227.45, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay]', ""[('Layer', 'Permeability'), ('Top', 'Water Saturation Irreducible'), ('Bot', 'Porosity'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('Saturation', 'Gross'), ('Saturation', 'Water Saturation Irreducible'), ('Porosity', 'Gross'), ('Porosity', 'Permeability'), ('Porosity', 'NetPay'), ('NetPay', 'Top'), ('NetPay', 'Permeability')]""]"
"[-6611.6, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Well', 'Water Saturation Irreducible'), ('Top', 'Bot'), ('Gross', 'Porosity'), ('Saturation', 'Layer'), ('Saturation', 'Gross'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Top'), ('Porosity', 'NetPay'), ('Permeability', 'Gross'), ('Permeability', 'Water Saturation Irreducible')]""]"
