0
"[-7409.43, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Well', 'Saturation'), ('Well', 'NetPay'), ('Top', 'Gross'), ('Top', 'NetPay'), ('Bot', 'Porosity'), ('Gross', 'Bot'), ('Gross', 'Permeability'), ('Gross', 'Water Saturation Irreducible'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('NetPay', 'Bot'), ('Layer', 'Water Saturation Irreducible')]""]"
"[-7409.59, '[Well, Layer, Bot, Saturation, Porosity, Permeability, Water Saturation Irreducible, Top, NetPay, Gross]', ""[('Well', 'Saturation'), ('Layer', 'Permeability'), ('Bot', 'Gross'), ('Water Saturation Irreducible', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('NetPay', 'Bot'), ('NetPay', 'Porosity'), ('Gross', 'Top')]""]"
"[-7376.17, '[Well, Layer, Top, Bot, Gross, NetPay, Porosity, Water Saturation Irreducible, Permeability, Saturation]', ""[('Well', 'Saturation'), ('Layer', 'Gross'), ('Layer', 'NetPay'), ('Layer', 'Permeability'), ('Layer', 'Saturation'), ('Bot', 'Porosity'), ('Gross', 'Top'), ('Gross', 'Bot'), ('Gross', 'Water Saturation Irreducible'), ('NetPay', 'Top'), ('NetPay', 'Water Saturation Irreducible'), ('Permeability', 'Bot'), ('Saturation', 'Porosity'), ('Saturation', 'Water Saturation Irreducible')]""]"
"[-7224.08, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Well', 'Bot'), ('Well', 'Porosity'), ('Layer', 'Porosity'), ('Layer', 'Water Saturation Irreducible'), ('Gross', 'Bot'), ('Gross', 'Top'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('Saturation', 'Gross'), ('Saturation', 'NetPay'), ('NetPay', 'Bot'), ('NetPay', 'Porosity'), ('NetPay', 'Water Saturation Irreducible'), ('Permeability', 'Gross'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Bot'), ('Top', 'Bot'), ('Top', 'NetPay')]""]"
"[-7274.53, '[Well, Top, Bot, Gross, Permeability, Water Saturation Irreducible, Layer, Porosity, NetPay, Saturation]', ""[('Top', 'Water Saturation Irreducible'), ('Bot', 'Gross'), ('Permeability', 'Bot'), ('Porosity', 'Bot'), ('NetPay', 'Top'), ('NetPay', 'Porosity'), ('Saturation', 'Well'), ('Saturation', 'Layer')]""]"
"[-6768.7, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay]', ""[('Layer', 'Well'), ('Top', 'Permeability'), ('Top', 'NetPay'), ('Bot', 'Well'), ('Gross', 'Top'), ('Gross', 'Permeability'), ('Gross', 'NetPay'), ('Saturation', 'Water Saturation Irreducible'), ('Porosity', 'Gross'), ('Porosity', 'Permeability'), ('Water Saturation Irreducible', 'Well'), ('Water Saturation Irreducible', 'Gross'), ('NetPay', 'Bot')]""]"
"[-7232.37, '[Well, Layer, Top, Bot, Saturation, NetPay, Permeability, Water Saturation Irreducible, Gross, Porosity]', ""[('Well', 'Saturation'), ('Layer', 'Permeability'), ('Top', 'Bot'), ('Top', 'NetPay'), ('Top', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('NetPay', 'Bot'), ('Permeability', 'Bot'), ('Water Saturation Irreducible', 'Bot'), ('Gross', 'Well'), ('Gross', 'Top'), ('Porosity', 'Well')]""]"
"[-7335.4, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Top', 'Water Saturation Irreducible'), ('Bot', 'Porosity'), ('Gross', 'Permeability'), ('Saturation', 'Layer'), ('NetPay', 'Well'), ('NetPay', 'Top'), ('NetPay', 'Bot'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'Gross'), ('Water Saturation Irreducible', 'Gross')]""]"
"[-7283.84, '[Well, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer, Gross]', ""[('Bot', 'Porosity'), ('Saturation', 'Well'), ('Saturation', 'Porosity'), ('Saturation', 'Permeability'), ('NetPay', 'Top'), ('NetPay', 'Bot'), ('Permeability', 'Bot'), ('Permeability', 'Gross'), ('Water Saturation Irreducible', 'NetPay'), ('Layer', 'Permeability'), ('Gross', 'Porosity'), ('Gross', 'Water Saturation Irreducible')]""]"
"[-7284.45, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Well', 'NetPay'), ('Layer', 'Gross'), ('Layer', 'Saturation'), ('Layer', 'Water Saturation Irreducible'), ('Bot', 'Permeability'), ('Gross', 'Porosity'), ('Saturation', 'Permeability'), ('NetPay', 'Top'), ('NetPay', 'Bot'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'Permeability'), ('Water Saturation Irreducible', 'Bot')]""]"
