0
"[-7319.41, '[Well, Layer, Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation]', ""[('Well', 'Gross'), ('Well', 'Water Saturation Irreducible'), ('Well', 'Saturation'), ('Bot', 'Porosity'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Top'), ('Gross', 'Porosity'), ('NetPay', 'Bot'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross'), ('Saturation', 'Layer')]""]"
"[-7368.74, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity]', ""[('Well', 'Saturation'), ('Layer', 'Saturation'), ('Top', 'Water Saturation Irreducible'), ('Bot', 'NetPay'), ('Bot', 'Water Saturation Irreducible'), ('Bot', 'Porosity'), ('Gross', 'Top'), ('Gross', 'Bot'), ('Gross', 'Water Saturation Irreducible'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Water Saturation Irreducible'), ('Permeability', 'Gross'), ('Permeability', 'Water Saturation Irreducible')]""]"
"[-6934.96, '[Well, Top, Gross, Saturation, NetPay, Water Saturation Irreducible, Layer, Permeability, Porosity, Bot]', ""[('Well', 'Top'), ('Well', 'NetPay'), ('Top', 'Water Saturation Irreducible'), ('Gross', 'NetPay'), ('Gross', 'Water Saturation Irreducible'), ('Saturation', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'NetPay'), ('Layer', 'NetPay'), ('Layer', 'Permeability'), ('Bot', 'Porosity')]""]"
"[-7214.65, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Top', 'Water Saturation Irreducible'), ('Bot', 'Porosity'), ('Gross', 'NetPay'), ('Saturation', 'Layer'), ('Saturation', 'Gross'), ('NetPay', 'Top'), ('Porosity', 'Gross'), ('Permeability', 'Top'), ('Permeability', 'NetPay'), ('Well', 'NetPay')]""]"
"[-7283.16, '[Well, Layer, Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation]', ""[('Layer', 'Porosity'), ('Layer', 'Saturation'), ('Gross', 'Well'), ('Gross', 'Bot'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'NetPay'), ('Permeability', 'Top'), ('Water Saturation Irreducible', 'Gross'), ('Saturation', 'Gross')]""]"
"[-7297.69, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Layer', 'Permeability'), ('Layer', 'Water Saturation Irreducible'), ('Bot', 'NetPay'), ('Bot', 'Porosity'), ('Gross', 'Bot'), ('Gross', 'Top'), ('Saturation', 'Well'), ('Saturation', 'Gross'), ('Water Saturation Irreducible', 'Gross'), ('Water Saturation Irreducible', 'NetPay')]""]"
"[-7280.31, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Layer', 'Porosity'), ('Saturation', 'Well'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Top'), ('Permeability', 'Top'), ('Water Saturation Irreducible', 'Gross'), ('Bot', 'Gross'), ('Bot', 'NetPay')]""]"
"[-7275.94, '[Well, Layer, Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation]', ""[('Layer', 'Permeability'), ('Layer', 'Water Saturation Irreducible'), ('Top', 'NetPay'), ('Top', 'Permeability'), ('Bot', 'Gross'), ('Gross', 'Top'), ('Gross', 'Water Saturation Irreducible'), ('NetPay', 'Permeability'), ('Porosity', 'Permeability'), ('Water Saturation Irreducible', 'Top'), ('Saturation', 'Well'), ('Saturation', 'Porosity')]""]"
"[-7193.77, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Well', 'Water Saturation Irreducible'), ('Gross', 'Permeability'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Porosity'), ('Permeability', 'Top'), ('Water Saturation Irreducible', 'Gross'), ('Bot', 'Porosity')]""]"
"[-7237.93, '[Well, Layer, Top, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot, Saturation]', ""[('Well', 'Top'), ('Top', 'NetPay'), ('Gross', 'Top'), ('Gross', 'Water Saturation Irreducible'), ('Permeability', 'Top'), ('Water Saturation Irreducible', 'Top'), ('Bot', 'Porosity'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible')]""]"
