0
"[-7234.03, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity]', ""[('Well', 'Porosity'), ('Layer', 'Gross'), ('Top', 'NetPay'), ('Bot', 'Porosity'), ('Gross', 'Top'), ('Saturation', 'Well'), ('Saturation', 'Permeability'), ('NetPay', 'Bot'), ('NetPay', 'Porosity'), ('Permeability', 'Top'), ('Porosity', 'Water Saturation Irreducible')]""]"
"[-7144.06, '[Well, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer, Gross]', ""[('Well', 'Bot'), ('Well', 'Porosity'), ('Top', 'Bot'), ('Bot', 'NetPay'), ('Bot', 'Porosity'), ('Saturation', 'Gross'), ('NetPay', 'Porosity'), ('Porosity', 'Gross'), ('Permeability', 'Bot'), ('Water Saturation Irreducible', 'Gross'), ('Layer', 'Bot'), ('Layer', 'Water Saturation Irreducible')]""]"
"[-6959.53, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Water Saturation Irreducible, Porosity, Permeability]', ""[('Layer', 'NetPay'), ('Layer', 'Water Saturation Irreducible'), ('Top', 'Permeability'), ('Bot', 'Porosity'), ('Gross', 'NetPay'), ('Saturation', 'Well'), ('Saturation', 'Gross'), ('Saturation', 'Porosity'), ('NetPay', 'Permeability'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'Gross'), ('Porosity', 'Top'), ('Porosity', 'Gross')]""]"
"[-6577.75, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability]', ""[('Well', 'NetPay'), ('Layer', 'Gross'), ('Layer', 'Porosity'), ('Top', 'Bot'), ('Gross', 'Top'), ('Saturation', 'Gross'), ('NetPay', 'Porosity'), ('NetPay', 'Permeability'), ('Water Saturation Irreducible', 'Gross'), ('Permeability', 'Water Saturation Irreducible')]""]"
"[-7242.39, '[Well, Layer, Top, Bot, Gross, NetPay, Permeability, Water Saturation Irreducible, Porosity, Saturation]', ""[('Well', 'Top'), ('Bot', 'Porosity'), ('Gross', 'Permeability'), ('NetPay', 'Top'), ('NetPay', 'Bot'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'Bot'), ('Water Saturation Irreducible', 'Gross'), ('Saturation', 'Layer'), ('Saturation', 'Permeability'), ('Saturation', 'Porosity')]""]"
"[-7282.46, '[Well, Layer, Bot, Saturation, NetPay, Porosity, Water Saturation Irreducible, Top, Permeability, Gross]', ""[('Well', 'Porosity'), ('Layer', 'Gross'), ('Bot', 'NetPay'), ('Bot', 'Porosity'), ('Bot', 'Water Saturation Irreducible'), ('Saturation', 'Permeability'), ('NetPay', 'Porosity'), ('Porosity', 'Top'), ('Water Saturation Irreducible', 'NetPay'), ('Permeability', 'Top'), ('Gross', 'Bot'), ('Gross', 'Permeability')]""]"
"[-7280.59, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Well', 'Top'), ('Layer', 'Saturation'), ('Saturation', 'Top'), ('Saturation', 'Gross'), ('Saturation', 'Porosity'), ('NetPay', 'Top'), ('Porosity', 'Top'), ('Porosity', 'NetPay'), ('Permeability', 'Top'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('Water Saturation Irreducible', 'NetPay'), ('Bot', 'Gross'), ('Bot', 'Porosity')]""]"
"[-7021.21, '[Well, Layer, Top, Bot, Gross, NetPay, Porosity, Water Saturation Irreducible, Permeability, Saturation]', ""[('Well', 'Porosity'), ('Layer', 'Well'), ('Top', 'Water Saturation Irreducible'), ('Bot', 'Well'), ('Bot', 'NetPay'), ('Gross', 'Top'), ('Gross', 'Bot'), ('NetPay', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Well'), ('Permeability', 'Water Saturation Irreducible'), ('Saturation', 'Water Saturation Irreducible')]""]"
"[-6969.09, '[Well, Layer, Top, Bot, Gross, Saturation, Permeability, Water Saturation Irreducible, NetPay, Porosity]', ""[('Layer', 'Bot'), ('Layer', 'Saturation'), ('Top', 'Bot'), ('Bot', 'NetPay'), ('Gross', 'Permeability'), ('Saturation', 'Well'), ('Saturation', 'Bot'), ('Water Saturation Irreducible', 'Gross'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'Bot'), ('Porosity', 'Permeability')]""]"
"[-7248.94, '[Well, Layer, Bot, Gross, Saturation, Porosity, Water Saturation Irreducible, Permeability, NetPay, Top]', ""[('Well', 'Porosity'), ('Layer', 'Bot'), ('Gross', 'Bot'), ('Saturation', 'Layer'), ('Saturation', 'Gross'), ('Saturation', 'Permeability'), ('Porosity', 'Bot'), ('Porosity', 'NetPay'), ('Water Saturation Irreducible', 'Bot'), ('Water Saturation Irreducible', 'NetPay'), ('NetPay', 'Bot'), ('NetPay', 'Top'), ('Top', 'Gross')]""]"
