0
"[-6603.21, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Well', 'Gross'), ('Well', 'Top'), ('Bot', 'Porosity'), ('Gross', 'NetPay'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('Saturation', 'Porosity'), ('Saturation', 'Water Saturation Irreducible'), ('Porosity', 'Gross'), ('Porosity', 'Permeability'), ('Water Saturation Irreducible', 'NetPay')]""]"
"[-7148.36, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay]', ""[('Well', 'Porosity'), ('Layer', 'NetPay'), ('Bot', 'Porosity'), ('Gross', 'Top'), ('Saturation', 'Water Saturation Irreducible'), ('Porosity', 'Gross'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross')]""]"
"[-7260.68, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Well', 'Top'), ('Well', 'Saturation'), ('Gross', 'Top'), ('Gross', 'Permeability'), ('Saturation', 'Layer'), ('Saturation', 'Gross'), ('NetPay', 'Well'), ('Porosity', 'Permeability'), ('Permeability', 'Top'), ('Water Saturation Irreducible', 'NetPay'), ('Bot', 'Porosity')]""]"
"[-6653.86, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Top', 'Gross'), ('Bot', 'Porosity'), ('Gross', 'NetPay'), ('Saturation', 'Well'), ('Porosity', 'Permeability'), ('Permeability', 'Water Saturation Irreducible'), ('Layer', 'Permeability')]""]"
"[-7116.12, '[Well, Layer, Top, Bot, Gross, NetPay, Porosity, Water Saturation Irreducible, Saturation, Permeability]', ""[('Well', 'Top'), ('Well', 'Water Saturation Irreducible'), ('Layer', 'Permeability'), ('Bot', 'Porosity'), ('NetPay', 'Bot'), ('NetPay', 'Porosity'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'Gross'), ('Porosity', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'Gross'), ('Saturation', 'Gross'), ('Saturation', 'Porosity'), ('Permeability', 'NetPay'), ('Permeability', 'Water Saturation Irreducible')]""]"
"[-7209.97, '[Layer, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, Well, Bot, Top, NetPay]', ""[('Layer', 'Gross'), ('Saturation', 'Layer'), ('Saturation', 'Porosity'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross'), ('Well', 'Water Saturation Irreducible'), ('Well', 'NetPay'), ('Bot', 'Gross'), ('Bot', 'Porosity'), ('Bot', 'NetPay'), ('Top', 'Water Saturation Irreducible'), ('NetPay', 'Top')]""]"
"[-7283.04, '[Well, Top, Bot, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer, Gross, Saturation]', ""[('Well', 'NetPay'), ('Well', 'Saturation'), ('Top', 'Water Saturation Irreducible'), ('Bot', 'Porosity'), ('NetPay', 'Bot'), ('Permeability', 'Top'), ('Water Saturation Irreducible', 'Bot'), ('Water Saturation Irreducible', 'Gross'), ('Layer', 'Saturation'), ('Gross', 'NetPay'), ('Saturation', 'NetPay'), ('Saturation', 'Water Saturation Irreducible')]""]"
"[-6755.25, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Permeability'), ('Bot', 'Gross'), ('Bot', 'Porosity'), ('Bot', 'Permeability'), ('Gross', 'Top'), ('Gross', 'NetPay'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible'), ('Porosity', 'Gross'), ('Water Saturation Irreducible', 'Top'), ('Well', 'Top')]""]"
"[-7239.75, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Well', 'NetPay'), ('Bot', 'Porosity'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Bot'), ('Saturation', 'Gross'), ('Saturation', 'Layer'), ('Permeability', 'Top'), ('Permeability', 'NetPay')]""]"
"[-6681.36, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Well', 'Gross'), ('Bot', 'Porosity'), ('Gross', 'Top'), ('Gross', 'NetPay'), ('Saturation', 'Gross'), ('Saturation', 'Layer'), ('NetPay', 'Porosity'), ('NetPay', 'Permeability'), ('Porosity', 'Permeability'), ('Permeability', 'Water Saturation Irreducible')]""]"
