0
"[-7364.75, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability]', ""[('Well', 'Top'), ('Well', 'Saturation'), ('Layer', 'Gross'), ('Top', 'Water Saturation Irreducible'), ('Bot', 'NetPay'), ('Bot', 'Porosity'), ('Gross', 'Bot'), ('Saturation', 'Permeability'), ('NetPay', 'Top'), ('NetPay', 'Permeability'), ('Porosity', 'Top'), ('Permeability', 'Top')]""]"
"[-7385.97, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability]', ""[('Well', 'Saturation'), ('Well', 'NetPay'), ('Layer', 'Gross'), ('Bot', 'Gross'), ('Bot', 'Porosity'), ('Gross', 'NetPay'), ('Gross', 'Water Saturation Irreducible'), ('Saturation', 'Gross'), ('Saturation', 'Permeability'), ('NetPay', 'Top'), ('NetPay', 'Permeability'), ('Porosity', 'NetPay'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'NetPay')]""]"
"[-7361.8, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Water Saturation Irreducible'), ('Top', 'NetPay'), ('Bot', 'Gross'), ('Bot', 'NetPay'), ('Bot', 'Porosity'), ('Gross', 'NetPay'), ('Gross', 'Porosity'), ('Saturation', 'Permeability'), ('Porosity', 'Top'), ('Porosity', 'NetPay'), ('Permeability', 'Gross'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'NetPay'), ('Well', 'Saturation')]""]"
"[-7193.08, '[Well, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay, Layer]', ""[('Top', 'Water Saturation Irreducible'), ('Bot', 'Porosity'), ('Saturation', 'Well'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('Porosity', 'Top'), ('Porosity', 'Gross'), ('Permeability', 'Water Saturation Irreducible'), ('NetPay', 'Top'), ('NetPay', 'Bot')]""]"
"[-7317.33, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Water Saturation Irreducible, Porosity, Permeability]', ""[('Layer', 'Water Saturation Irreducible'), ('Top', 'NetPay'), ('Bot', 'Gross'), ('Bot', 'Porosity'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('Saturation', 'Permeability'), ('NetPay', 'Bot'), ('Water Saturation Irreducible', 'NetPay'), ('Permeability', 'Gross')]""]"
"[-6944.62, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability, Gross]', ""[('Layer', 'Water Saturation Irreducible'), ('Top', 'NetPay'), ('Bot', 'Porosity'), ('Bot', 'Gross'), ('Saturation', 'Well'), ('Saturation', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Top'), ('Permeability', 'Gross'), ('Gross', 'NetPay'), ('Gross', 'Porosity')]""]"
"[-7161.09, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross]', ""[('Well', 'Bot'), ('Layer', 'Bot'), ('Top', 'NetPay'), ('Bot', 'Porosity'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Gross'), ('Porosity', 'Water Saturation Irreducible'), ('Permeability', 'Water Saturation Irreducible'), ('Permeability', 'Gross'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'NetPay'), ('Gross', 'Top'), ('Gross', 'Bot'), ('Gross', 'Water Saturation Irreducible')]""]"
"[-7126.59, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Permeability'), ('Top', 'Gross'), ('Bot', 'Porosity'), ('Gross', 'Water Saturation Irreducible'), ('Saturation', 'Gross'), ('NetPay', 'Bot'), ('Porosity', 'Top'), ('Porosity', 'Gross'), ('Permeability', 'Top'), ('Permeability', 'Water Saturation Irreducible'), ('Well', 'Top')]""]"
"[-7229.19, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Bot', 'Porosity'), ('Gross', 'Top'), ('Gross', 'Water Saturation Irreducible'), ('Saturation', 'Well'), ('Saturation', 'Permeability'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('NetPay', 'Permeability'), ('Porosity', 'NetPay'), ('Porosity', 'Permeability')]""]"
"[-7127.42, '[Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot, Well]', ""[('Layer', 'Permeability'), ('Top', 'Water Saturation Irreducible'), ('Gross', 'Bot'), ('Saturation', 'Gross'), ('NetPay', 'Top'), ('Bot', 'Porosity'), ('Well', 'Top'), ('Well', 'Gross')]""]"
