0
"[-7299.91, '[Top, Bot, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well, Gross, Layer, Saturation]', ""[('Bot', 'Porosity'), ('Bot', 'Water Saturation Irreducible'), ('Bot', 'Gross'), ('NetPay', 'Bot'), ('NetPay', 'Water Saturation Irreducible'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Top'), ('Gross', 'Water Saturation Irreducible'), ('Gross', 'Well'), ('Layer', 'Saturation')]""]"
"[-7301.92, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Well', 'NetPay'), ('Layer', 'NetPay'), ('Bot', 'Gross'), ('Gross', 'Water Saturation Irreducible'), ('Saturation', 'Porosity'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Bot'), ('NetPay', 'Top'), ('Porosity', 'Gross'), ('Top', 'Porosity'), ('Top', 'Permeability')]""]"
"[-7231.38, '[Well, Layer, Top, Bot, Gross, NetPay, Porosity, Water Saturation Irreducible, Permeability, Saturation]', ""[('Well', 'Bot'), ('Layer', 'Water Saturation Irreducible'), ('Layer', 'Permeability'), ('Top', 'Bot'), ('Top', 'NetPay'), ('Gross', 'Top'), ('NetPay', 'Bot'), ('NetPay', 'Porosity'), ('NetPay', 'Water Saturation Irreducible'), ('Permeability', 'Bot'), ('Permeability', 'Gross'), ('Saturation', 'Porosity'), ('Saturation', 'Permeability')]""]"
"[-7184.69, '[Well, Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer, Saturation]', ""[('Top', 'NetPay'), ('Top', 'Permeability'), ('Top', 'Water Saturation Irreducible'), ('Bot', 'Porosity'), ('Bot', 'Permeability'), ('Gross', 'Top'), ('Gross', 'NetPay'), ('Gross', 'Water Saturation Irreducible'), ('Porosity', 'Gross'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'NetPay'), ('Layer', 'Permeability'), ('Saturation', 'Well'), ('Saturation', 'Porosity')]""]"
"[-7196.58, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Well', 'Porosity'), ('Top', 'NetPay'), ('Bot', 'Porosity'), ('Gross', 'Bot'), ('Saturation', 'Water Saturation Irreducible'), ('Layer', 'Permeability')]""]"
"[-7256.78, '[Well, Layer, Top, Bot, Saturation, Porosity, Permeability, Water Saturation Irreducible, Gross, NetPay]', ""[('Well', 'Bot'), ('Well', 'Saturation'), ('Layer', 'Permeability'), ('Top', 'NetPay'), ('Bot', 'Porosity'), ('Saturation', 'Permeability'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Gross'), ('Porosity', 'Gross'), ('Water Saturation Irreducible', 'Top'), ('NetPay', 'Bot')]""]"
"[-7292.59, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability]', ""[('Well', 'Porosity'), ('Layer', 'Gross'), ('Top', 'NetPay'), ('Gross', 'Top'), ('Gross', 'Porosity'), ('Gross', 'Permeability'), ('Saturation', 'Layer'), ('NetPay', 'Bot'), ('NetPay', 'Water Saturation Irreducible')]""]"
"[-6584.34, '[Well, Layer, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, Top, NetPay]', ""[('Well', 'Bot'), ('Bot', 'Gross'), ('Bot', 'Porosity'), ('Gross', 'NetPay'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('Saturation', 'Gross'), ('Permeability', 'Gross'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Bot'), ('Top', 'Bot')]""]"
"[-7114.51, '[Top, Gross, Saturation, NetPay, Permeability, Well, Porosity, Layer, Water Saturation Irreducible, Bot]', ""[('Top', 'NetPay'), ('Gross', 'NetPay'), ('Gross', 'Porosity'), ('Saturation', 'Porosity'), ('Saturation', 'Water Saturation Irreducible'), ('Permeability', 'Water Saturation Irreducible'), ('Well', 'NetPay'), ('Well', 'Water Saturation Irreducible'), ('Porosity', 'Water Saturation Irreducible'), ('Layer', 'NetPay'), ('Water Saturation Irreducible', 'Top'), ('Bot', 'Porosity')]""]"
"[-7308.47, '[Well, Layer, Top, Bot, Gross, NetPay, Porosity, Water Saturation Irreducible, Permeability, Saturation]', ""[('Layer', 'NetPay'), ('Top', 'Porosity'), ('Top', 'Water Saturation Irreducible'), ('Bot', 'NetPay'), ('Bot', 'Porosity'), ('Gross', 'Top'), ('Gross', 'Bot'), ('Gross', 'Porosity'), ('Gross', 'Water Saturation Irreducible'), ('Gross', 'Permeability'), ('NetPay', 'Top'), ('NetPay', 'Water Saturation Irreducible'), ('NetPay', 'Permeability'), ('Saturation', 'Well'), ('Saturation', 'Water Saturation Irreducible')]""]"
