0
"[-7328.38, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Well', 'Saturation'), ('Well', 'NetPay'), ('Bot', 'Gross'), ('Bot', 'NetPay'), ('Gross', 'NetPay'), ('Gross', 'Porosity'), ('Gross', 'Permeability'), ('Saturation', 'Permeability'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Top'), ('NetPay', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Top'), ('Layer', 'Saturation')]""]"
"[-7245.88, '[Well, Layer, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top, Saturation]', ""[('Well', 'Permeability'), ('Bot', 'Porosity'), ('NetPay', 'Permeability'), ('Porosity', 'Permeability'), ('Porosity', 'Top'), ('Water Saturation Irreducible', 'NetPay'), ('Top', 'Gross'), ('Top', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('Saturation', 'Gross'), ('Saturation', 'Permeability')]""]"
"[-7399.69, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay]', ""[('Well', 'Saturation'), ('Layer', 'Permeability'), ('Layer', 'Water Saturation Irreducible'), ('Top', 'NetPay'), ('Bot', 'Gross'), ('Bot', 'Porosity'), ('Gross', 'Water Saturation Irreducible'), ('Porosity', 'Gross'), ('NetPay', 'Bot')]""]"
"[-7273.15, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Gross'), ('Top', 'Water Saturation Irreducible'), ('Gross', 'Porosity'), ('Saturation', 'Layer'), ('Saturation', 'Gross'), ('Saturation', 'Permeability'), ('Saturation', 'Well'), ('NetPay', 'Bot'), ('NetPay', 'Porosity'), ('Porosity', 'Top'), ('Permeability', 'Top'), ('Permeability', 'NetPay'), ('Well', 'Gross')]""]"
"[-7281.44, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Water Saturation Irreducible, Permeability, Porosity]', ""[('Well', 'Water Saturation Irreducible'), ('Layer', 'Gross'), ('Top', 'Gross'), ('Top', 'NetPay'), ('Top', 'Water Saturation Irreducible'), ('Gross', 'Bot'), ('Gross', 'Permeability'), ('Gross', 'Porosity'), ('Saturation', 'Gross'), ('NetPay', 'Water Saturation Irreducible'), ('NetPay', 'Porosity'), ('Permeability', 'NetPay'), ('Permeability', 'Water Saturation Irreducible'), ('Porosity', 'Water Saturation Irreducible')]""]"
"[-7154.65, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Well', 'Top'), ('Bot', 'Porosity'), ('Gross', 'Bot'), ('Saturation', 'Porosity'), ('Saturation', 'Layer'), ('Porosity', 'Top'), ('Porosity', 'NetPay'), ('Porosity', 'Water Saturation Irreducible'), ('Permeability', 'Top'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'NetPay')]""]"
"[-7352.14, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Well', 'Saturation'), ('Well', 'NetPay'), ('Layer', 'Gross'), ('Layer', 'Permeability'), ('Top', 'Water Saturation Irreducible'), ('Bot', 'Porosity'), ('Gross', 'Top'), ('Gross', 'Porosity'), ('NetPay', 'Top')]""]"
"[-7172.84, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability]', ""[('Well', 'Water Saturation Irreducible'), ('Top', 'NetPay'), ('Bot', 'Porosity'), ('Gross', 'Well'), ('Saturation', 'Layer'), ('Water Saturation Irreducible', 'Top'), ('Permeability', 'Water Saturation Irreducible')]""]"
"[-7310.86, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Well', 'Permeability'), ('Layer', 'Saturation'), ('Layer', 'NetPay'), ('Layer', 'Water Saturation Irreducible'), ('Gross', 'Porosity'), ('Saturation', 'Gross'), ('Saturation', 'Permeability'), ('NetPay', 'Top'), ('NetPay', 'Permeability'), ('Porosity', 'Bot'), ('Permeability', 'Gross'), ('Permeability', 'Bot'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'Gross'), ('Water Saturation Irreducible', 'NetPay')]""]"
"[-7062.76, '[Well, Layer, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Top, Porosity]', ""[('Well', 'Porosity'), ('Layer', 'Water Saturation Irreducible'), ('Gross', 'NetPay'), ('Gross', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('Permeability', 'Gross'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Bot'), ('Water Saturation Irreducible', 'Top'), ('Top', 'NetPay'), ('Porosity', 'Top')]""]"
