0
"[-6736.73, '[Well, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, Layer, NetPay]', ""[('Well', 'Gross'), ('Top', 'Bot'), ('Bot', 'Porosity'), ('Bot', 'NetPay'), ('Gross', 'Permeability'), ('Saturation', 'Layer'), ('Porosity', 'Gross'), ('Permeability', 'Water Saturation Irreducible'), ('Layer', 'Bot'), ('NetPay', 'Water Saturation Irreducible')]""]"
"[-7275.22, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity]', ""[('Layer', 'Water Saturation Irreducible'), ('Gross', 'Permeability'), ('Saturation', 'Gross'), ('NetPay', 'Top'), ('Permeability', 'Well'), ('Water Saturation Irreducible', 'Bot'), ('Water Saturation Irreducible', 'Gross'), ('Porosity', 'Bot'), ('Porosity', 'Gross'), ('Porosity', 'NetPay')]""]"
"[-7401.23, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Top', 'NetPay'), ('Bot', 'Porosity'), ('Gross', 'Top'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Permeability'), ('Porosity', 'Gross'), ('Water Saturation Irreducible', 'Top'), ('Well', 'Saturation')]""]"
"[-7244.69, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity]', ""[('Well', 'Water Saturation Irreducible'), ('Layer', 'Saturation'), ('Top', 'Gross'), ('Bot', 'NetPay'), ('Bot', 'Porosity'), ('Gross', 'Well'), ('Saturation', 'Well'), ('Saturation', 'NetPay'), ('NetPay', 'Water Saturation Irreducible'), ('Permeability', 'Top'), ('Permeability', 'Gross'), ('Permeability', 'NetPay'), ('Permeability', 'Water Saturation Irreducible'), ('Porosity', 'Top')]""]"
"[-7087.74, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Layer, Water Saturation Irreducible]', ""[('Well', 'Bot'), ('Top', 'Bot'), ('Top', 'Gross'), ('Bot', 'Porosity'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Bot'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Permeability'), ('Porosity', 'Permeability')]""]"
"[-7387.66, '[Well, Layer, Top, Bot, Gross, Saturation, Permeability, Water Saturation Irreducible, Porosity, NetPay]', ""[('Well', 'Saturation'), ('Layer', 'Permeability'), ('Layer', 'Water Saturation Irreducible'), ('Bot', 'Porosity'), ('Saturation', 'Gross'), ('Saturation', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'Bot'), ('Porosity', 'Gross'), ('NetPay', 'Bot'), ('NetPay', 'Water Saturation Irreducible')]""]"
"[-6853.9, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability, Well]', ""[('Top', 'Bot'), ('Saturation', 'Layer'), ('Saturation', 'Gross'), ('Porosity', 'Gross'), ('Porosity', 'NetPay'), ('Porosity', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'NetPay'), ('Permeability', 'Bot'), ('Permeability', 'Water Saturation Irreducible'), ('Well', 'Saturation'), ('Well', 'Porosity'), ('Well', 'Water Saturation Irreducible')]""]"
"[-7314.12, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Gross, Water Saturation Irreducible]', ""[('Well', 'Saturation'), ('Well', 'NetPay'), ('Layer', 'Bot'), ('Layer', 'NetPay'), ('Bot', 'Porosity'), ('Saturation', 'Permeability'), ('Porosity', 'NetPay'), ('Permeability', 'Gross'), ('Gross', 'Top'), ('Water Saturation Irreducible', 'NetPay')]""]"
"[-6848.56, '[Well, Layer, Top, Bot, Saturation, NetPay, Permeability, Water Saturation Irreducible, Gross, Porosity]', ""[('Top', 'NetPay'), ('Top', 'Permeability'), ('Bot', 'Porosity'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('Saturation', 'Gross'), ('Permeability', 'Water Saturation Irreducible'), ('Gross', 'NetPay'), ('Gross', 'Water Saturation Irreducible'), ('Porosity', 'Top')]""]"
"[-6864.99, '[Well, Top, Saturation, Permeability, Water Saturation Irreducible, Porosity, NetPay, Layer, Bot, Gross]', ""[('Well', 'Top'), ('Well', 'NetPay'), ('Top', 'Water Saturation Irreducible'), ('Top', 'NetPay'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('Saturation', 'Gross'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Bot'), ('Water Saturation Irreducible', 'Gross'), ('Porosity', 'Gross'), ('Bot', 'Porosity'), ('Gross', 'NetPay')]""]"
