0
"[-7282.74, '[Well, Top, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, Bot, NetPay, Layer]', ""[('Gross', 'Porosity'), ('Gross', 'Water Saturation Irreducible'), ('Saturation', 'Well'), ('Saturation', 'Permeability'), ('Saturation', 'Water Saturation Irreducible'), ('Porosity', 'Permeability'), ('Porosity', 'NetPay'), ('Water Saturation Irreducible', 'NetPay'), ('NetPay', 'Top'), ('NetPay', 'Bot'), ('Layer', 'Gross')]""]"
"[-7066.99, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity]', ""[('Well', 'Top'), ('Layer', 'Top'), ('Top', 'Gross'), ('Top', 'Water Saturation Irreducible'), ('Bot', 'Porosity'), ('Gross', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('NetPay', 'Bot'), ('NetPay', 'Permeability'), ('Water Saturation Irreducible', 'Bot'), ('Water Saturation Irreducible', 'NetPay')]""]"
"[-7256.23, '[Well, Top, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation, Layer, Bot]', ""[('Well', 'Top'), ('Top', 'Gross'), ('Gross', 'Porosity'), ('NetPay', 'Top'), ('NetPay', 'Bot'), ('Permeability', 'Top'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'Bot'), ('Saturation', 'Gross'), ('Layer', 'Water Saturation Irreducible'), ('Bot', 'Porosity')]""]"
"[-7409.75, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Well', 'Saturation'), ('Layer', 'Saturation'), ('Top', 'NetPay'), ('Top', 'Permeability'), ('Bot', 'Gross'), ('Bot', 'Porosity'), ('Gross', 'Well'), ('Gross', 'Porosity'), ('NetPay', 'Permeability'), ('NetPay', 'Water Saturation Irreducible'), ('Permeability', 'Bot'), ('Water Saturation Irreducible', 'Gross')]""]"
"[-7205.65, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability]', ""[('Well', 'Top'), ('Well', 'Permeability'), ('Layer', 'Water Saturation Irreducible'), ('Top', 'Gross'), ('Bot', 'Porosity'), ('Saturation', 'Layer'), ('Saturation', 'Top'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Top'), ('NetPay', 'Water Saturation Irreducible'), ('NetPay', 'Permeability'), ('Porosity', 'Permeability'), ('Water Saturation Irreducible', 'Permeability'), ('Permeability', 'Top')]""]"
"[-7275.91, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability]', ""[('Well', 'NetPay'), ('Layer', 'Saturation'), ('Layer', 'Water Saturation Irreducible'), ('Layer', 'Permeability'), ('Gross', 'Bot'), ('Gross', 'Porosity'), ('NetPay', 'Top')]""]"
"[-7176.14, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay]', ""[('Well', 'Top'), ('Layer', 'Water Saturation Irreducible'), ('Bot', 'Gross'), ('Bot', 'Porosity'), ('Saturation', 'Porosity'), ('Porosity', 'Water Saturation Irreducible'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('Water Saturation Irreducible', 'NetPay'), ('NetPay', 'Top')]""]"
"[-7276.46, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Well, Permeability]', ""[('Layer', 'Gross'), ('Top', 'Permeability'), ('Bot', 'Gross'), ('Bot', 'NetPay'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'Top'), ('Porosity', 'Bot'), ('Water Saturation Irreducible', 'Top'), ('Well', 'NetPay')]""]"
"[-7296.24, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Water Saturation Irreducible, NetPay, Permeability]', ""[('Well', 'Gross'), ('Well', 'Permeability'), ('Layer', 'Saturation'), ('Top', 'Water Saturation Irreducible'), ('Bot', 'Porosity'), ('Bot', 'NetPay'), ('Gross', 'Top'), ('Gross', 'Water Saturation Irreducible'), ('Gross', 'Permeability'), ('Saturation', 'Gross'), ('Saturation', 'Porosity'), ('Porosity', 'Permeability'), ('Water Saturation Irreducible', 'Bot'), ('Water Saturation Irreducible', 'NetPay')]""]"
"[-7025.02, '[Well, Layer, Top, Bot, Gross, Porosity, Permeability, Water Saturation Irreducible, Saturation, NetPay]', ""[('Top', 'Bot'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Top'), ('Porosity', 'Gross'), ('Porosity', 'NetPay'), ('Permeability', 'Bot'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Bot')]""]"
