0
"[-6841.11, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Well', 'Porosity'), ('Well', 'Top'), ('Layer', 'NetPay'), ('Layer', 'Top'), ('Bot', 'Porosity'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('Saturation', 'Gross'), ('Permeability', 'Water Saturation Irreducible')]""]"
"[-7285.58, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross]', ""[('Layer', 'Permeability'), ('Top', 'Gross'), ('Bot', 'Porosity'), ('Saturation', 'Well'), ('NetPay', 'Top'), ('NetPay', 'Bot'), ('Permeability', 'NetPay'), ('Permeability', 'Gross'), ('Gross', 'Water Saturation Irreducible')]""]"
"[-7256.21, '[Well, Layer, Top, Gross, Saturation, Porosity, Water Saturation Irreducible, NetPay, Permeability, Bot]', ""[('Well', 'Porosity'), ('Gross', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible'), ('Porosity', 'Top'), ('Water Saturation Irreducible', 'NetPay'), ('NetPay', 'Porosity'), ('Permeability', 'NetPay'), ('Bot', 'Porosity')]""]"
"[-7154.62, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability]', ""[('Well', 'Top'), ('Top', 'NetPay'), ('Bot', 'NetPay'), ('Bot', 'Porosity'), ('Gross', 'Top'), ('Gross', 'Permeability'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible')]""]"
"[-7234.66, '[Top, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer, Gross, Well, Bot]', ""[('Saturation', 'Layer'), ('Saturation', 'Gross'), ('Saturation', 'Well'), ('NetPay', 'Top'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'NetPay'), ('Gross', 'Water Saturation Irreducible'), ('Well', 'Gross'), ('Bot', 'Porosity'), ('Bot', 'Water Saturation Irreducible'), ('Bot', 'Gross')]""]"
"[-7184.68, '[Well, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Layer, Porosity]', ""[('Bot', 'Gross'), ('Bot', 'Porosity'), ('Gross', 'Well'), ('Saturation', 'Water Saturation Irreducible'), ('Permeability', 'Top'), ('Permeability', 'NetPay'), ('Permeability', 'Water Saturation Irreducible'), ('Layer', 'Gross'), ('Layer', 'Water Saturation Irreducible'), ('Porosity', 'Well'), ('Porosity', 'Top'), ('Porosity', 'NetPay')]""]"
"[-5996.1, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability, Well]', ""[('Layer', 'Porosity'), ('Top', 'Bot'), ('Bot', 'NetPay'), ('Bot', 'Porosity'), ('Gross', 'Bot'), ('Gross', 'NetPay'), ('Saturation', 'Layer'), ('Saturation', 'Well'), ('Porosity', 'Permeability'), ('Permeability', 'Water Saturation Irreducible'), ('Well', 'Top'), ('Well', 'Porosity')]""]"
"[-7093.62, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay]', ""[('Layer', 'Well'), ('Layer', 'Permeability'), ('Layer', 'Water Saturation Irreducible'), ('Top', 'Well'), ('Top', 'NetPay'), ('Gross', 'Porosity'), ('Saturation', 'Water Saturation Irreducible'), ('Porosity', 'Permeability'), ('Water Saturation Irreducible', 'Well'), ('Water Saturation Irreducible', 'Bot'), ('Water Saturation Irreducible', 'Gross'), ('Water Saturation Irreducible', 'NetPay'), ('NetPay', 'Permeability')]""]"
"[-7327.72, '[Well, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity, Layer]', ""[('Well', 'Saturation'), ('Well', 'NetPay'), ('Top', 'NetPay'), ('Top', 'Permeability'), ('Bot', 'Water Saturation Irreducible'), ('Bot', 'Porosity'), ('Gross', 'Top'), ('Gross', 'NetPay'), ('Saturation', 'NetPay'), ('Saturation', 'Layer'), ('NetPay', 'Permeability'), ('NetPay', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Permeability'), ('Porosity', 'Gross'), ('Porosity', 'NetPay'), ('Porosity', 'Permeability')]""]"
"[-7239.18, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity]', ""[('Well', 'Water Saturation Irreducible'), ('Layer', 'Gross'), ('Top', 'Gross'), ('Bot', 'Porosity'), ('Gross', 'Permeability'), ('Gross', 'Water Saturation Irreducible'), ('Saturation', 'Gross'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Bot'), ('Porosity', 'NetPay')]""]"
