0
"[-7403.12, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Well', 'Saturation'), ('Layer', 'Gross'), ('Bot', 'Porosity'), ('Gross', 'Bot'), ('Gross', 'Water Saturation Irreducible'), ('Saturation', 'Permeability'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Top'), ('Top', 'Permeability'), ('Top', 'Water Saturation Irreducible')]""]"
"[-7207.43, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability]', ""[('Well', 'Top'), ('Layer', 'NetPay'), ('Bot', 'Gross'), ('Bot', 'NetPay'), ('Bot', 'Porosity'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Top'), ('Gross', 'Porosity'), ('Gross', 'Water Saturation Irreducible'), ('Gross', 'Permeability'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Top')]""]"
"[-7342.18, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Well', 'Saturation'), ('Layer', 'Saturation'), ('Gross', 'Water Saturation Irreducible'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Permeability'), ('Porosity', 'Bot'), ('Porosity', 'NetPay'), ('Porosity', 'Water Saturation Irreducible'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Bot'), ('Top', 'Porosity')]""]"
"[-7302.31, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability]', ""[('Well', 'Porosity'), ('Layer', 'Saturation'), ('Layer', 'Water Saturation Irreducible'), ('Gross', 'Bot'), ('Gross', 'Porosity'), ('Saturation', 'Porosity'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Bot'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'Top'), ('Porosity', 'NetPay'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'Bot'), ('Permeability', 'Gross')]""]"
"[-7165.72, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity]', ""[('Well', 'Bot'), ('Top', 'Bot'), ('Top', 'Porosity'), ('Bot', 'NetPay'), ('Gross', 'Bot'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Porosity'), ('Permeability', 'Bot'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Bot'), ('Water Saturation Irreducible', 'NetPay'), ('Porosity', 'Water Saturation Irreducible')]""]"
"[-7022.44, '[Layer, Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation, Well]', ""[('Layer', 'Gross'), ('Layer', 'Water Saturation Irreducible'), ('Top', 'Gross'), ('Top', 'Porosity'), ('Bot', 'NetPay'), ('Bot', 'Porosity'), ('Gross', 'NetPay'), ('Gross', 'Water Saturation Irreducible'), ('NetPay', 'Permeability'), ('Saturation', 'Layer'), ('Well', 'Porosity'), ('Well', 'Saturation')]""]"
"[-7412.64, '[Well, Layer, Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation]', ""[('Well', 'Permeability'), ('Well', 'Saturation'), ('Layer', 'Gross'), ('Layer', 'Water Saturation Irreducible'), ('Top', 'Gross'), ('Top', 'NetPay'), ('Bot', 'Permeability'), ('Gross', 'Bot'), ('Gross', 'Porosity'), ('Gross', 'Water Saturation Irreducible'), ('NetPay', 'Permeability'), ('Porosity', 'Permeability'), ('Water Saturation Irreducible', 'Bot'), ('Water Saturation Irreducible', 'Permeability')]""]"
"[-7161.76, '[Well, Layer, Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation]', ""[('Well', 'Bot'), ('Top', 'NetPay'), ('Bot', 'Permeability'), ('Gross', 'Porosity'), ('NetPay', 'Bot'), ('Saturation', 'Layer'), ('Saturation', 'NetPay'), ('Saturation', 'Porosity'), ('Saturation', 'Water Saturation Irreducible')]""]"
"[-7407.74, '[Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot, Well]', ""[('Layer', 'Water Saturation Irreducible'), ('Top', 'Gross'), ('Gross', 'Porosity'), ('Saturation', 'Gross'), ('NetPay', 'Top'), ('NetPay', 'Permeability'), ('NetPay', 'Bot'), ('Permeability', 'Gross'), ('Water Saturation Irreducible', 'Porosity'), ('Water Saturation Irreducible', 'Bot'), ('Bot', 'Porosity'), ('Well', 'Saturation'), ('Well', 'Porosity')]""]"
"[-7279.08, '[Layer, Top, Bot, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay, Gross, Well]', ""[('Layer', 'Saturation'), ('Layer', 'Permeability'), ('Top', 'Water Saturation Irreducible'), ('Top', 'NetPay'), ('Saturation', 'Well'), ('Porosity', 'Bot'), ('Water Saturation Irreducible', 'Bot'), ('NetPay', 'Porosity'), ('Gross', 'Porosity'), ('Gross', 'Water Saturation Irreducible')]""]"
