0
"[-6886.82, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Well', 'Porosity'), ('Well', 'Top'), ('Layer', 'Permeability'), ('Bot', 'Porosity'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('Saturation', 'Gross'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Porosity'), ('Porosity', 'Permeability')]""]"
"[-7272.89, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity]', ""[('Well', 'Top'), ('Well', 'Saturation'), ('Layer', 'Gross'), ('Layer', 'Permeability'), ('Bot', 'Gross'), ('Bot', 'NetPay'), ('Bot', 'Permeability'), ('Gross', 'Top'), ('Gross', 'Water Saturation Irreducible'), ('Saturation', 'Gross'), ('NetPay', 'Top'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'NetPay'), ('Porosity', 'Top')]""]"
"[-7225.87, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross]', ""[('Well', 'NetPay'), ('Layer', 'Saturation'), ('Layer', 'Gross'), ('Top', 'NetPay'), ('Bot', 'Porosity'), ('Bot', 'Gross'), ('Saturation', 'Gross'), ('Porosity', 'NetPay'), ('Permeability', 'Top'), ('Water Saturation Irreducible', 'Bot'), ('Gross', 'NetPay')]""]"
"[-7205.6, '[Well, Layer, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross, Top]', ""[('Well', 'Bot'), ('Layer', 'Gross'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Water Saturation Irreducible'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Bot'), ('Water Saturation Irreducible', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Gross', 'Bot'), ('Top', 'Water Saturation Irreducible')]""]"
"[-6936.45, '[Well, Top, Bot, Gross, Saturation, Porosity, Permeability, Layer, Water Saturation Irreducible, NetPay]', ""[('Well', 'Porosity'), ('Top', 'Bot'), ('Saturation', 'Gross'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible'), ('Porosity', 'Bot'), ('Permeability', 'Bot'), ('Permeability', 'NetPay'), ('Layer', 'Gross')]""]"
"[-6943.77, '[Well, Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation, Layer]', ""[('Well', 'Top'), ('Well', 'Porosity'), ('Well', 'Saturation'), ('Bot', 'NetPay'), ('Bot', 'Porosity'), ('NetPay', 'Permeability'), ('Permeability', 'Water Saturation Irreducible'), ('Saturation', 'Gross'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('Layer', 'Permeability')]""]"
"[-7266.09, '[Well, Layer, Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation]', ""[('Well', 'Top'), ('Layer', 'Water Saturation Irreducible'), ('Layer', 'Saturation'), ('Bot', 'Porosity'), ('Gross', 'Top'), ('NetPay', 'Bot'), ('NetPay', 'Water Saturation Irreducible'), ('Permeability', 'Top'), ('Permeability', 'Gross'), ('Water Saturation Irreducible', 'Gross'), ('Saturation', 'Gross')]""]"
"[-6732.43, '[Top, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Layer, Well, Bot, Permeability]', ""[('Top', 'Porosity'), ('Gross', 'NetPay'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Well'), ('NetPay', 'Porosity'), ('NetPay', 'Water Saturation Irreducible'), ('Layer', 'Gross'), ('Layer', 'Porosity'), ('Layer', 'Permeability'), ('Well', 'Porosity'), ('Bot', 'Porosity'), ('Bot', 'Water Saturation Irreducible'), ('Permeability', 'Water Saturation Irreducible')]""]"
"[-7269.33, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity]', ""[('Well', 'NetPay'), ('Layer', 'Gross'), ('Top', 'Gross'), ('Bot', 'Porosity'), ('Gross', 'Bot'), ('Saturation', 'Well'), ('NetPay', 'Permeability'), ('Water Saturation Irreducible', 'Bot')]""]"
"[-6712.0, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Well', 'Saturation'), ('Layer', 'Bot'), ('Top', 'Bot'), ('Gross', 'Bot'), ('Gross', 'NetPay'), ('Gross', 'Permeability'), ('Saturation', 'Water Saturation Irreducible'), ('Porosity', 'Permeability'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Gross')]""]"
