0
"[-7961.64, '[Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well, Top]', ""[('Layer', 'Porosity'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Well'), ('Water Saturation Irreducible', 'Gross'), ('Well', 'Gross'), ('Well', 'Permeability'), ('Well', 'Top')]""]"
"[-6545.06, '[Bot, Gross, NetPay, Water Saturation Irreducible, Permeability, Well, Layer, Saturation, Porosity, Top]', ""[('Bot', 'Gross'), ('Gross', 'NetPay'), ('Permeability', 'Porosity'), ('Well', 'Top'), ('Layer', 'Well'), ('Saturation', 'Water Saturation Irreducible')]""]"
"[-7059.94, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability, Well]', ""[('Layer', 'Porosity'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Layer'), ('Permeability', 'Water Saturation Irreducible'), ('Well', 'Top')]""]"
"[-7476.32, '[Well, Layer, Saturation, NetPay, Porosity, Water Saturation Irreducible, Gross, Permeability, Bot, Top]', ""[('Well', 'Gross'), ('Well', 'Top'), ('Layer', 'Porosity'), ('Saturation', 'Well'), ('Saturation', 'Water Saturation Irreducible'), ('Permeability', 'Porosity'), ('Bot', 'Gross')]""]"
"[-7209.81, '[Layer, Bot, Water Saturation Irreducible, Permeability, Well, Saturation, Gross, Porosity, NetPay, Top]', ""[('Permeability', 'Porosity'), ('Well', 'Gross'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible'), ('Gross', 'NetPay'), ('Top', 'Bot')]""]"
"[-6645.7, '[Well, Top, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer, Gross, Bot]', ""[('Well', 'Top'), ('Saturation', 'Layer'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross'), ('Layer', 'Well'), ('Layer', 'Porosity'), ('Gross', 'NetPay'), ('Bot', 'Gross')]""]"
"[-6685.03, '[Layer, Top, Bot, Porosity, Permeability, Water Saturation Irreducible, Well, Saturation, Gross, NetPay]', ""[('Layer', 'Well'), ('Bot', 'Gross'), ('Permeability', 'Porosity'), ('Well', 'Top'), ('Well', 'Permeability'), ('Saturation', 'Water Saturation Irreducible'), ('Gross', 'NetPay')]""]"
"[-7390.35, '[Well, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top, Bot, Layer]', ""[('Well', 'Permeability'), ('Well', 'Top'), ('Gross', 'NetPay'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross'), ('Bot', 'Gross'), ('Layer', 'Porosity')]""]"
"[-6864.3, '[Gross, Saturation, NetPay, Porosity, Top, Permeability, Bot, Layer, Water Saturation Irreducible, Well]', ""[('Gross', 'NetPay'), ('Saturation', 'Water Saturation Irreducible'), ('Top', 'Bot'), ('Permeability', 'Porosity'), ('Bot', 'Gross'), ('Layer', 'Well'), ('Well', 'Gross')]""]"
"[-7655.14, '[Well, Bot, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity, Layer, Gross, Top]', ""[('Well', 'Gross'), ('Well', 'Top'), ('Bot', 'Gross'), ('Saturation', 'Water Saturation Irreducible'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross'), ('Layer', 'Porosity'), ('Gross', 'NetPay')]""]"
