0
"[-7461.49, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability, Layer]', ""[('Well', 'Top'), ('Well', 'Permeability'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('Layer', 'Porosity')]""]"
"[-7497.06, '[Top, Bot, Gross, Saturation, NetPay, Layer, Well, Permeability, Porosity, Water Saturation Irreducible]', ""[('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Water Saturation Irreducible'), ('Layer', 'Porosity'), ('Well', 'Top'), ('Well', 'Permeability'), ('Water Saturation Irreducible', 'Gross')]""]"
"[-7049.04, '[Layer, Top, Gross, Porosity, Water Saturation Irreducible, Well, Permeability, Bot, Saturation, NetPay]', ""[('Layer', 'Porosity'), ('Gross', 'NetPay'), ('Well', 'Permeability'), ('Bot', 'Gross'), ('Saturation', 'Water Saturation Irreducible')]""]"
"[-7343.57, '[Well, Top, Bot, Gross, NetPay, Porosity, Permeability, Saturation, Water Saturation Irreducible, Layer]', ""[('Well', 'Gross'), ('Top', 'Bot'), ('Gross', 'NetPay'), ('Permeability', 'Water Saturation Irreducible'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('Water Saturation Irreducible', 'Gross'), ('Layer', 'Porosity')]""]"
"[-7271.66, '[Layer, Bot, NetPay, Permeability, Water Saturation Irreducible, Top, Gross, Well, Porosity, Saturation]', ""[('Bot', 'Gross'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Gross', 'NetPay'), ('Well', 'Top'), ('Saturation', 'Layer')]""]"
"[-7927.61, '[Well, Layer, Top, Saturation, NetPay, Porosity, Gross, Water Saturation Irreducible, Bot, Permeability]', ""[('Well', 'Top'), ('Well', 'Gross'), ('Well', 'Permeability'), ('Layer', 'Porosity'), ('Saturation', 'Layer'), ('Gross', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('Bot', 'Gross')]""]"
"[-7338.23, '[Layer, Top, Bot, Gross, Porosity, Permeability, Water Saturation Irreducible, Well, NetPay, Saturation]', ""[('Layer', 'Porosity'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Well', 'Top'), ('Saturation', 'Water Saturation Irreducible')]""]"
"[-7339.75, '[Layer, Top, Bot, Porosity, Water Saturation Irreducible, Gross, Permeability, Well, NetPay, Saturation]', ""[('Layer', 'Porosity'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Well', 'Top'), ('Well', 'Permeability'), ('Saturation', 'Water Saturation Irreducible')]""]"
"[-7412.98, '[Well, Gross, Saturation, Permeability, Water Saturation Irreducible, Bot, NetPay, Porosity, Top, Layer]', ""[('Well', 'Permeability'), ('Well', 'Top'), ('Gross', 'NetPay'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Bot', 'Gross')]""]"
"[-7271.66, '[Well, Layer, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity, Top]', ""[('Well', 'Top'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Layer'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross')]""]"
