0
"[-7060.03, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Bot, Water Saturation Irreducible]', ""[('Layer', 'Porosity'), ('Top', 'Bot'), ('Gross', 'NetPay'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible'), ('Permeability', 'Water Saturation Irreducible'), ('Bot', 'Gross'), ('Water Saturation Irreducible', 'Gross')]""]"
"[-7494.8, '[Top, Bot, Gross, NetPay, Permeability, Water Saturation Irreducible, Porosity, Well, Saturation, Layer]', ""[('Bot', 'Gross'), ('Gross', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('Well', 'Top'), ('Well', 'Permeability'), ('Saturation', 'Layer'), ('Layer', 'Porosity')]""]"
"[-6808.44, '[Well, Top, Bot, NetPay, Porosity, Water Saturation Irreducible, Gross, Permeability, Layer, Saturation]', ""[('Well', 'Top'), ('Bot', 'Gross'), ('Permeability', 'Water Saturation Irreducible'), ('Layer', 'Porosity'), ('Saturation', 'Layer')]""]"
"[-7494.8, '[Layer, Top, Bot, Saturation, NetPay, Permeability, Water Saturation Irreducible, Well, Gross, Porosity]', ""[('Layer', 'Porosity'), ('Bot', 'Gross'), ('Saturation', 'Layer'), ('Water Saturation Irreducible', 'Gross'), ('Well', 'Top'), ('Well', 'Permeability'), ('Gross', 'NetPay')]""]"
"[-7344.47, '[Well, Top, Gross, Saturation, Porosity, Permeability, Bot, Layer, NetPay, Water Saturation Irreducible]', ""[('Well', 'Gross'), ('Top', 'Bot'), ('Gross', 'NetPay'), ('Saturation', 'Water Saturation Irreducible'), ('Permeability', 'Water Saturation Irreducible'), ('Layer', 'Porosity'), ('Water Saturation Irreducible', 'Gross')]""]"
"[-7371.36, '[Well, Top, Bot, Saturation, NetPay, Water Saturation Irreducible, Layer, Gross, Permeability, Porosity]', ""[('Well', 'Top'), ('Bot', 'Gross'), ('Saturation', 'Well'), ('Saturation', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross'), ('Layer', 'Porosity'), ('Gross', 'NetPay'), ('Permeability', 'Porosity')]""]"
"[-7020.16, '[Bot, Gross, NetPay, Permeability, Water Saturation Irreducible, Layer, Top, Saturation, Porosity, Well]', ""[('Bot', 'Gross'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Saturation', 'Layer'), ('Well', 'Top')]""]"
"[-7497.06, '[Layer, Top, Gross, Permeability, Water Saturation Irreducible, Well, Bot, Porosity, Saturation, NetPay]', ""[('Layer', 'Porosity'), ('Gross', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('Well', 'Top'), ('Well', 'Permeability'), ('Bot', 'Gross'), ('Saturation', 'Water Saturation Irreducible')]""]"
"[-7115.71, '[Layer, Bot, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top, Well, Saturation, Gross]', ""[('Bot', 'Gross'), ('Permeability', 'Porosity'), ('Well', 'Top'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible'), ('Gross', 'NetPay')]""]"
"[-7225.67, '[Well, Top, Gross, Saturation, Permeability, Water Saturation Irreducible, Porosity, Bot, NetPay, Layer]', ""[('Well', 'Top'), ('Well', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Well'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Bot', 'Gross'), ('Layer', 'Well'), ('Layer', 'Porosity')]""]"
