0
"[-7065.02, '[Layer, Top, Bot, Saturation, Porosity, Permeability, Water Saturation Irreducible, Well, NetPay, Gross]', ""[('Layer', 'Porosity'), ('Bot', 'Gross'), ('Saturation', 'Water Saturation Irreducible'), ('Permeability', 'Water Saturation Irreducible'), ('Well', 'Top'), ('Gross', 'NetPay')]""]"
"[-6899.45, '[Well, Top, NetPay, Porosity, Permeability, Layer, Water Saturation Irreducible, Bot, Gross, Saturation]', ""[('Top', 'Bot'), ('Permeability', 'Water Saturation Irreducible'), ('Layer', 'Porosity'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Well')]""]"
"[-7065.02, '[Layer, Top, Saturation, Porosity, Permeability, Gross, Bot, Well, Water Saturation Irreducible, NetPay]', ""[('Layer', 'Porosity'), ('Saturation', 'Water Saturation Irreducible'), ('Permeability', 'Water Saturation Irreducible'), ('Gross', 'NetPay'), ('Bot', 'Gross'), ('Well', 'Top')]""]"
"[-7162.26, '[Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Well, Water Saturation Irreducible, Gross]', ""[('Layer', 'Well'), ('Bot', 'Gross'), ('Saturation', 'Well'), ('Saturation', 'Water Saturation Irreducible'), ('Permeability', 'Porosity'), ('Well', 'Top'), ('Well', 'Gross'), ('Water Saturation Irreducible', 'Gross'), ('Gross', 'NetPay')]""]"
"[-7852.61, '[Well, Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation, Layer]', ""[('Well', 'Top'), ('Well', 'Gross'), ('Well', 'Permeability'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('Layer', 'Porosity')]""]"
"[-6929.42, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability, Bot]', ""[('Well', 'Top'), ('Layer', 'Porosity'), ('Saturation', 'Water Saturation Irreducible'), ('Permeability', 'Porosity'), ('Bot', 'Gross')]""]"
"[-7370.0, '[Top, Bot, Porosity, Permeability, Water Saturation Irreducible, Layer, Saturation, NetPay, Well, Gross]', ""[('Bot', 'Gross'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Layer', 'Porosity'), ('Saturation', 'Well'), ('Well', 'Top'), ('Gross', 'NetPay')]""]"
"[-7271.66, '[Layer, Bot, Gross, Saturation, Water Saturation Irreducible, NetPay, Porosity, Permeability, Top, Well]', ""[('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Layer'), ('Water Saturation Irreducible', 'Gross'), ('Permeability', 'Porosity'), ('Well', 'Top')]""]"
"[-7276.43, '[Well, Top, Bot, Saturation, NetPay, Porosity, Permeability, Gross, Layer, Water Saturation Irreducible]', ""[('Well', 'Top'), ('Well', 'Permeability'), ('Bot', 'Gross'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('Layer', 'Porosity'), ('Water Saturation Irreducible', 'Gross')]""]"
"[-6730.49, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Water Saturation Irreducible, Permeability, Porosity]', ""[('Well', 'Top'), ('Well', 'Permeability'), ('Layer', 'Porosity'), ('Top', 'Bot'), ('Gross', 'NetPay'), ('Saturation', 'Well'), ('Water Saturation Irreducible', 'Gross')]""]"
