0
"[-7126.55, '[Well, Top, Bot, Saturation, Porosity, Permeability, Water Saturation Irreducible, Layer, Gross, NetPay]', ""[('Well', 'Permeability'), ('Top', 'Bot'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('Layer', 'Porosity'), ('Gross', 'NetPay')]""]"
"[-7251.28, '[Well, Layer, Top, NetPay, Porosity, Water Saturation Irreducible, Permeability, Gross, Saturation, Bot]', ""[('Well', 'Top'), ('Layer', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Permeability', 'Water Saturation Irreducible'), ('Gross', 'NetPay'), ('Saturation', 'Well'), ('Bot', 'Gross')]""]"
"[-7191.22, '[Well, Top, Bot, Gross, NetPay, Permeability, Saturation, Water Saturation Irreducible, Porosity, Layer]', ""[('Well', 'Permeability'), ('Top', 'Bot'), ('Gross', 'NetPay'), ('Saturation', 'Well'), ('Water Saturation Irreducible', 'Gross'), ('Layer', 'Porosity')]""]"
"[-7115.71, '[Layer, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Top, Porosity, Well]', ""[('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible'), ('Permeability', 'Porosity'), ('Well', 'Top')]""]"
"[-7039.41, '[Well, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross, Top, Layer]', ""[('Well', 'Permeability'), ('Bot', 'Gross'), ('Saturation', 'Well'), ('Permeability', 'Water Saturation Irreducible'), ('Gross', 'NetPay'), ('Top', 'Bot'), ('Layer', 'Porosity')]""]"
"[-7528.83, '[Well, Gross, Saturation, Porosity, Permeability, Top, Layer, NetPay, Bot, Water Saturation Irreducible]', ""[('Well', 'Permeability'), ('Well', 'Top'), ('Gross', 'NetPay'), ('Saturation', 'Well'), ('Layer', 'Porosity'), ('Bot', 'Gross'), ('Water Saturation Irreducible', 'Gross')]""]"
"[-7127.45, '[Well, Top, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot, Gross, Layer, Saturation]', ""[('Well', 'Permeability'), ('Top', 'Bot'), ('Gross', 'NetPay'), ('Layer', 'Porosity'), ('Saturation', 'Water Saturation Irreducible')]""]"
"[-7115.71, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability, Layer]', ""[('Well', 'Top'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('Permeability', 'Porosity')]""]"
"[-7065.02, '[Well, Top, Bot, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability, Gross, Layer]', ""[('Well', 'Top'), ('Bot', 'Gross'), ('Saturation', 'Water Saturation Irreducible'), ('Permeability', 'Water Saturation Irreducible'), ('Gross', 'NetPay'), ('Layer', 'Porosity')]""]"
"[-6702.37, '[Well, Saturation, NetPay, Porosity, Permeability, Layer, Top, Bot, Gross, Water Saturation Irreducible]', ""[('Well', 'Top'), ('Saturation', 'Water Saturation Irreducible'), ('Permeability', 'Porosity'), ('Layer', 'Well'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Water Saturation Irreducible', 'Gross')]""]"
