0
"[-7245.56, '[Well, Bot, Gross, NetPay, Porosity, Permeability, Layer, Saturation, Water Saturation Irreducible, Top]', ""[('Well', 'Permeability'), ('Well', 'Top'), ('Bot', 'Gross'), ('Layer', 'Porosity'), ('Saturation', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross')]""]"
"[-6951.69, '[Well, Layer, Top, Bot, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation, Gross]', ""[('Well', 'Top'), ('Well', 'Permeability'), ('Layer', 'Well'), ('Layer', 'Porosity'), ('Bot', 'Gross'), ('Water Saturation Irreducible', 'Gross'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible'), ('Gross', 'NetPay')]""]"
"[-7217.25, '[Well, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, Top, Layer, Bot, NetPay]', ""[('Well', 'Top'), ('Gross', 'NetPay'), ('Saturation', 'Layer'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross'), ('Layer', 'Porosity'), ('Bot', 'Gross')]""]"
"[-7251.28, '[Well, Saturation, Porosity, Top, Bot, NetPay, Permeability, Gross, Water Saturation Irreducible, Layer]', ""[('Well', 'Top'), ('Saturation', 'Well'), ('Bot', 'Gross'), ('Permeability', 'Water Saturation Irreducible'), ('Gross', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('Layer', 'Porosity')]""]"
"[-7180.92, '[Top, Bot, Saturation, Permeability, Water Saturation Irreducible, Gross, Porosity, Well, NetPay, Layer]', ""[('Bot', 'Gross'), ('Saturation', 'Water Saturation Irreducible'), ('Permeability', 'Porosity'), ('Gross', 'NetPay'), ('Well', 'Top'), ('Layer', 'Porosity')]""]"
"[-7065.02, '[Well, Bot, Saturation, Porosity, Permeability, Water Saturation Irreducible, Layer, Gross, Top, NetPay]', ""[('Well', 'Top'), ('Bot', 'Gross'), ('Saturation', 'Water Saturation Irreducible'), ('Permeability', 'Water Saturation Irreducible'), ('Layer', 'Porosity'), ('Gross', 'NetPay')]""]"
"[-7271.66, '[Bot, Gross, NetPay, Permeability, Water Saturation Irreducible, Saturation, Layer, Porosity, Top, Well]', ""[('Bot', 'Gross'), ('Gross', 'NetPay'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Saturation', 'Layer'), ('Well', 'Top')]""]"
"[-7110.26, '[Top, Bot, Gross, NetPay, Permeability, Water Saturation Irreducible, Well, Layer, Saturation, Porosity]', ""[('Top', 'Bot'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Saturation', 'Well'), ('Saturation', 'Layer')]""]"
"[-7713.67, '[Bot, Gross, Saturation, Permeability, Water Saturation Irreducible, NetPay, Layer, Well, Top, Porosity]', ""[('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Layer'), ('Permeability', 'Water Saturation Irreducible'), ('Layer', 'Porosity'), ('Well', 'Gross'), ('Well', 'Permeability'), ('Well', 'Top')]""]"
"[-7115.71, '[Porosity, Permeability, Layer, NetPay, Water Saturation Irreducible, Well, Gross, Top, Saturation, Bot]', ""[('Permeability', 'Porosity'), ('Well', 'Top'), ('Gross', 'NetPay'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible'), ('Bot', 'Gross')]""]"
