0
"[-6864.21, '[Well, Layer, Top, Bot, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross, Saturation]', ""[('Well', 'Top'), ('Bot', 'Gross'), ('Permeability', 'Porosity'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible')]""]"
"[-7606.84, '[Bot, Saturation, Porosity, Permeability, Top, Well, NetPay, Water Saturation Irreducible, Gross, Layer]', ""[('Bot', 'Gross'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('Permeability', 'Water Saturation Irreducible'), ('Well', 'Top'), ('Well', 'Gross'), ('Gross', 'NetPay'), ('Layer', 'Porosity')]""]"
"[-7684.09, '[Well, Layer, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay, Bot, Top]', ""[('Well', 'Gross'), ('Well', 'Top'), ('Layer', 'Porosity'), ('Gross', 'NetPay'), ('Saturation', 'Well'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross'), ('Bot', 'Gross')]""]"
"[-6967.18, '[Well, Layer, Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation]', ""[('Top', 'Bot'), ('Gross', 'NetPay'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Saturation', 'Well'), ('Saturation', 'Layer')]""]"
"[-6936.54, '[Layer, Top, Bot, Porosity, Permeability, Water Saturation Irreducible, Well, Gross, Saturation, NetPay]', ""[('Top', 'Bot'), ('Permeability', 'Porosity'), ('Gross', 'NetPay'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Well')]""]"
"[-6728.09, '[Well, Layer, Top, Porosity, Permeability, Water Saturation Irreducible, Bot, NetPay, Gross, Saturation]', ""[('Well', 'Top'), ('Layer', 'Well'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Well')]""]"
"[-7074.02, '[Well, Layer, Bot, Gross, NetPay, Porosity, Water Saturation Irreducible, Saturation, Permeability, Top]', ""[('Well', 'Permeability'), ('Gross', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('Saturation', 'Layer'), ('Permeability', 'Porosity'), ('Top', 'Bot')]""]"
"[-7496.16, '[Layer, Top, Gross, NetPay, Porosity, Permeability, Bot, Well, Water Saturation Irreducible, Saturation]', ""[('Layer', 'Porosity'), ('Gross', 'NetPay'), ('Bot', 'Gross'), ('Well', 'Top'), ('Well', 'Permeability'), ('Water Saturation Irreducible', 'Gross'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible')]""]"
"[-7145.22, '[Well, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top, Layer]', ""[('Well', 'Permeability'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Water Saturation Irreducible'), ('Top', 'Bot'), ('Layer', 'Porosity')]""]"
"[-7885.75, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Gross, Water Saturation Irreducible]', ""[('Well', 'Top'), ('Well', 'Permeability'), ('Well', 'Gross'), ('Layer', 'Porosity'), ('Bot', 'Gross'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible'), ('Gross', 'NetPay')]""]"
