0
"[-7271.66, '[Well, Layer, Bot, Gross, Porosity, Water Saturation Irreducible, Top, Permeability, NetPay, Saturation]', ""[('Well', 'Top'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('Permeability', 'Porosity'), ('Saturation', 'Layer')]""]"
"[-7059.94, '[Layer, Top, Bot, Gross, NetPay, Porosity, Water Saturation Irreducible, Permeability, Saturation, Well]', ""[('Layer', 'Porosity'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Permeability', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('Well', 'Top')]""]"
"[-7074.02, '[Well, Top, Gross, Saturation, Permeability, NetPay, Layer, Bot, Porosity, Water Saturation Irreducible]', ""[('Well', 'Permeability'), ('Top', 'Bot'), ('Gross', 'NetPay'), ('Saturation', 'Layer'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross')]""]"
"[-7497.06, '[Well, Layer, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot, Top]', ""[('Well', 'Permeability'), ('Well', 'Top'), ('Layer', 'Porosity'), ('Gross', 'NetPay'), ('Saturation', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross'), ('Bot', 'Gross')]""]"
"[-7300.27, '[Well, Top, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation, Layer, Bot, Gross]', ""[('Well', 'Permeability'), ('Top', 'Bot'), ('Water Saturation Irreducible', 'Gross'), ('Saturation', 'Layer'), ('Layer', 'Porosity'), ('Bot', 'Gross'), ('Gross', 'NetPay')]""]"
"[-7302.53, '[Well, Top, Gross, Permeability, NetPay, Layer, Water Saturation Irreducible, Porosity, Bot, Saturation]', ""[('Well', 'Permeability'), ('Top', 'Bot'), ('Gross', 'NetPay'), ('Layer', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Bot', 'Gross'), ('Saturation', 'Water Saturation Irreducible')]""]"
"[-7528.83, '[Layer, Bot, Gross, Saturation, Porosity, Water Saturation Irreducible, Permeability, NetPay, Top, Well]', ""[('Layer', 'Porosity'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Well'), ('Water Saturation Irreducible', 'Gross'), ('Well', 'Permeability'), ('Well', 'Top')]""]"
"[-7088.25, '[Top, Bot, Gross, NetPay, Permeability, Well, Layer, Water Saturation Irreducible, Saturation, Porosity]', ""[('Bot', 'Gross'), ('Well', 'Top'), ('Well', 'Permeability'), ('Layer', 'Porosity'), ('Saturation', 'Water Saturation Irreducible')]""]"
"[-7771.04, '[Top, Bot, Saturation, Permeability, Layer, NetPay, Gross, Porosity, Water Saturation Irreducible, Well]', ""[('Bot', 'Gross'), ('Saturation', 'Water Saturation Irreducible'), ('Permeability', 'Porosity'), ('Layer', 'Porosity'), ('Gross', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('Well', 'Top'), ('Well', 'Gross')]""]"
"[-7277.33, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Well', 'Top'), ('Well', 'Permeability'), ('Layer', 'Porosity'), ('Bot', 'Gross'), ('Saturation', 'Well'), ('Water Saturation Irreducible', 'Gross')]""]"
