0
"[-7060.93, '[Well, Layer, Bot, Gross, NetPay, Porosity, Water Saturation Irreducible, Top, Permeability, Saturation]', ""[('Layer', 'Porosity'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('Top', 'Bot'), ('Permeability', 'Water Saturation Irreducible'), ('Saturation', 'Well'), ('Saturation', 'Water Saturation Irreducible')]""]"
"[-7528.83, '[Well, Top, Gross, Saturation, NetPay, Water Saturation Irreducible, Layer, Porosity, Bot, Permeability]', ""[('Well', 'Top'), ('Well', 'Permeability'), ('Gross', 'NetPay'), ('Saturation', 'Well'), ('Water Saturation Irreducible', 'Gross'), ('Layer', 'Porosity'), ('Bot', 'Gross')]""]"
"[-7093.97, '[Gross, Saturation, Water Saturation Irreducible, Permeability, Porosity, Top, NetPay, Well, Bot, Layer]', ""[('Gross', 'NetPay'), ('Saturation', 'Well'), ('Permeability', 'Water Saturation Irreducible'), ('Well', 'Top'), ('Bot', 'Gross'), ('Layer', 'Porosity')]""]"
"[-7300.27, '[Well, Top, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Bot, Permeability, Layer]', ""[('Well', 'Permeability'), ('Top', 'Bot'), ('Gross', 'NetPay'), ('Saturation', 'Layer'), ('Water Saturation Irreducible', 'Gross'), ('Bot', 'Gross'), ('Layer', 'Porosity')]""]"
"[-7334.3, '[Well, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity, Layer, Top]', ""[('Well', 'Permeability'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Well'), ('Water Saturation Irreducible', 'Gross'), ('Layer', 'Porosity'), ('Top', 'Bot')]""]"
"[-7300.27, '[Layer, Gross, Saturation, Porosity, Permeability, Bot, NetPay, Water Saturation Irreducible, Well, Top]', ""[('Layer', 'Porosity'), ('Gross', 'NetPay'), ('Saturation', 'Layer'), ('Bot', 'Gross'), ('Water Saturation Irreducible', 'Gross'), ('Well', 'Permeability'), ('Top', 'Bot')]""]"
"[-7271.66, '[Layer, Top, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross, Well, Bot]', ""[('Saturation', 'Layer'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Gross', 'NetPay'), ('Well', 'Top'), ('Bot', 'Gross')]""]"
"[-7302.66, '[Well, Top, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross, Bot, Layer]', ""[('Well', 'Top'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Gross', 'NetPay'), ('Bot', 'Gross'), ('Layer', 'Porosity')]""]"
"[-7115.71, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay]', ""[('Well', 'Top'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible'), ('Permeability', 'Porosity')]""]"
"[-7530.19, '[Layer, Top, Bot, Gross, Saturation, Porosity, Water Saturation Irreducible, Well, Permeability, NetPay]', ""[('Layer', 'Porosity'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Well'), ('Water Saturation Irreducible', 'Gross'), ('Well', 'Top'), ('Well', 'Permeability')]""]"
