0
"[-6775.14, '[Layer, Top, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity, Bot, Well]', ""[('Layer', 'Porosity'), ('Permeability', 'Water Saturation Irreducible'), ('Bot', 'Gross'), ('Well', 'Top')]""]"
"[-6386.91, '[Well, Top, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer, Gross, Bot, Saturation]', ""[('Well', 'Top'), ('Top', 'Bot'), ('Permeability', 'Water Saturation Irreducible'), ('Layer', 'Porosity'), ('Gross', 'NetPay'), ('Saturation', 'Layer')]""]"
"[-7271.66, '[Top, Gross, NetPay, Porosity, Permeability, Well, Water Saturation Irreducible, Saturation, Bot, Layer]', ""[('Gross', 'NetPay'), ('Permeability', 'Porosity'), ('Well', 'Top'), ('Water Saturation Irreducible', 'Gross'), ('Saturation', 'Layer'), ('Bot', 'Gross')]""]"
"[-7616.94, '[Top, Bot, Gross, Saturation, Permeability, Water Saturation Irreducible, Layer, Porosity, NetPay, Well]', ""[('Top', 'Bot'), ('Gross', 'NetPay'), ('Saturation', 'Layer'), ('Water Saturation Irreducible', 'Gross'), ('Layer', 'Porosity'), ('Well', 'Gross'), ('Well', 'Permeability')]""]"
"[-7138.25, '[Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Layer, Permeability, Well]', ""[('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('Water Saturation Irreducible', 'Gross'), ('Permeability', 'Porosity'), ('Permeability', 'Water Saturation Irreducible'), ('Well', 'Top')]""]"
"[-7413.75, '[Layer, Top, Bot, Permeability, Water Saturation Irreducible, Gross, Porosity, NetPay, Saturation, Well]', ""[('Bot', 'Gross'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Layer'), ('Well', 'Gross')]""]"
"[-6864.21, '[Well, Top, Gross, NetPay, Porosity, Bot, Layer, Water Saturation Irreducible, Permeability, Saturation]', ""[('Well', 'Top'), ('Bot', 'Gross'), ('Permeability', 'Porosity'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible')]""]"
"[-7217.25, '[Well, Top, Bot, Saturation, NetPay, Water Saturation Irreducible, Layer, Porosity, Permeability, Gross]', ""[('Well', 'Top'), ('Bot', 'Gross'), ('Saturation', 'Layer'), ('Water Saturation Irreducible', 'Gross'), ('Layer', 'Porosity'), ('Permeability', 'Water Saturation Irreducible'), ('Gross', 'NetPay')]""]"
"[-7214.05, '[Well, Top, Bot, Gross, Saturation, NetPay, Water Saturation Irreducible, Porosity, Layer, Permeability]', ""[('Well', 'Top'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Well'), ('Saturation', 'Water Saturation Irreducible'), ('Layer', 'Porosity'), ('Permeability', 'Porosity')]""]"
"[-7093.97, '[Well, Top, Bot, NetPay, Permeability, Water Saturation Irreducible, Layer, Porosity, Gross, Saturation]', ""[('Well', 'Top'), ('Bot', 'Gross'), ('Permeability', 'Water Saturation Irreducible'), ('Layer', 'Porosity'), ('Gross', 'NetPay'), ('Saturation', 'Well')]""]"
