0
"[-7371.36, '[Top, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross, Bot, Layer, Well, Saturation]', ""[('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Gross', 'NetPay'), ('Bot', 'Gross'), ('Layer', 'Porosity'), ('Well', 'Top'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Well')]""]"
"[-6488.39, '[Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer, Bot, Well]', ""[('Gross', 'NetPay'), ('Saturation', 'Layer'), ('Permeability', 'Water Saturation Irreducible'), ('Layer', 'Porosity'), ('Layer', 'Well'), ('Bot', 'Gross'), ('Well', 'Top')]""]"
"[-7587.98, '[Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well, Saturation, Layer]', ""[('Bot', 'Gross'), ('Gross', 'NetPay'), ('Permeability', 'Porosity'), ('Permeability', 'Water Saturation Irreducible'), ('Well', 'Top'), ('Well', 'Gross'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('Layer', 'Porosity')]""]"
"[-7251.28, '[Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay, Well]', ""[('Layer', 'Porosity'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Well'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross'), ('Well', 'Top')]""]"
"[-6946.89, '[Layer, Bot, Gross, NetPay, Permeability, Saturation, Water Saturation Irreducible, Well, Top, Porosity]', ""[('Layer', 'Porosity'), ('Bot', 'Gross'), ('Permeability', 'Water Saturation Irreducible'), ('Permeability', 'Porosity'), ('Saturation', 'Layer'), ('Water Saturation Irreducible', 'Gross'), ('Well', 'Top')]""]"
"[-7273.02, '[Well, Bot, Saturation, NetPay, Permeability, Water Saturation Irreducible, Top, Layer, Gross, Porosity]', ""[('Well', 'Top'), ('Bot', 'Gross'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Gross', 'NetPay')]""]"
"[-7036.99, '[Well, Top, Gross, NetPay, Permeability, Water Saturation Irreducible, Porosity, Saturation, Layer, Bot]', ""[('Top', 'Bot'), ('Gross', 'NetPay'), ('Permeability', 'Water Saturation Irreducible'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('Layer', 'Porosity'), ('Bot', 'Gross')]""]"
"[-7065.02, '[Well, Bot, Gross, Porosity, Permeability, Water Saturation Irreducible, NetPay, Saturation, Top, Layer]', ""[('Well', 'Top'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Permeability', 'Water Saturation Irreducible'), ('Saturation', 'Water Saturation Irreducible'), ('Layer', 'Porosity')]""]"
"[-7127.45, '[Well, Top, Bot, Gross, NetPay, Porosity, Permeability, Layer, Saturation, Water Saturation Irreducible]', ""[('Well', 'Permeability'), ('Top', 'Bot'), ('Gross', 'NetPay'), ('Layer', 'Porosity'), ('Saturation', 'Water Saturation Irreducible')]""]"
"[-7158.55, '[Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Well, Porosity, Water Saturation Irreducible]', ""[('Layer', 'Porosity'), ('Top', 'Bot'), ('Gross', 'NetPay'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible'), ('Well', 'Permeability'), ('Water Saturation Irreducible', 'Gross')]""]"
