0
"[-7338.76, '[Well, Top, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation, Bot, Layer]', ""[('Well', 'Gross'), ('Gross', 'NetPay'), ('Permeability', 'Porosity'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('Bot', 'Gross')]""]"
"[-6572.16, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Layer', 'Well'), ('Layer', 'Porosity'), ('Top', 'Bot'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Water Saturation Irreducible'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross')]""]"
"[-7174.57, '[Well, Layer, Top, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot, Saturation]', ""[('Layer', 'Porosity'), ('Top', 'Bot'), ('Gross', 'NetPay'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Bot', 'Gross'), ('Saturation', 'Well'), ('Saturation', 'Layer')]""]"
"[-7271.66, '[Bot, Gross, Saturation, NetPay, Porosity, Layer, Water Saturation Irreducible, Well, Permeability, Top]', ""[('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Layer'), ('Water Saturation Irreducible', 'Gross'), ('Well', 'Top'), ('Permeability', 'Porosity')]""]"
"[-7338.23, '[Top, Bot, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation, Well, Gross, Layer]', ""[('Bot', 'Gross'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Saturation', 'Water Saturation Irreducible'), ('Well', 'Top'), ('Gross', 'NetPay'), ('Layer', 'Porosity')]""]"
"[-7123.88, '[Well, Top, Bot, Gross, NetPay, Porosity, Water Saturation Irreducible, Permeability, Saturation, Layer]', ""[('Well', 'Permeability'), ('Top', 'Bot'), ('Gross', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('Layer', 'Porosity')]""]"
"[-7688.27, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Well', 'Top'), ('Well', 'Gross'), ('Layer', 'Porosity'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Well'), ('Saturation', 'Water Saturation Irreducible'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross')]""]"
"[-7497.06, '[Layer, Top, Bot, Gross, Saturation, NetPay, Water Saturation Irreducible, Porosity, Well, Permeability]', ""[('Layer', 'Porosity'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross'), ('Well', 'Top'), ('Well', 'Permeability')]""]"
"[-7356.24, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Well', 'Top'), ('Well', 'Gross'), ('Bot', 'Gross'), ('Saturation', 'Well'), ('Permeability', 'Water Saturation Irreducible'), ('Layer', 'Porosity')]""]"
"[-6614.08, '[Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot, Well]', ""[('Layer', 'Porosity'), ('Layer', 'Well'), ('Top', 'Bot'), ('Gross', 'NetPay'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Well'), ('Water Saturation Irreducible', 'Gross'), ('Well', 'Permeability')]""]"
