0
"[-7222.33, '[Well, Layer, Top, Bot, Gross, NetPay, Porosity, Permeability, Saturation, Water Saturation Irreducible]', ""[('Well', 'Top'), ('Layer', 'Porosity'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Permeability', 'Water Saturation Irreducible'), ('Saturation', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross')]""]"
"[-7251.28, '[Well, Layer, Gross, Porosity, Permeability, Saturation, Water Saturation Irreducible, Bot, NetPay, Top]', ""[('Well', 'Top'), ('Layer', 'Porosity'), ('Gross', 'NetPay'), ('Permeability', 'Water Saturation Irreducible'), ('Saturation', 'Well'), ('Water Saturation Irreducible', 'Gross'), ('Bot', 'Gross')]""]"
"[-7334.3, '[Top, Bot, Saturation, NetPay, Water Saturation Irreducible, Porosity, Well, Permeability, Gross, Layer]', ""[('Top', 'Bot'), ('Bot', 'Gross'), ('Saturation', 'Well'), ('Water Saturation Irreducible', 'Gross'), ('Well', 'Permeability'), ('Gross', 'NetPay'), ('Layer', 'Porosity')]""]"
"[-7149.87, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Well', 'Top'), ('Well', 'Permeability'), ('Gross', 'NetPay'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('Permeability', 'Porosity'), ('Permeability', 'Water Saturation Irreducible'), ('Bot', 'Gross')]""]"
"[-7222.33, '[Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Layer, Water Saturation Irreducible, Well]', ""[('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Water Saturation Irreducible'), ('Permeability', 'Water Saturation Irreducible'), ('Layer', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Well', 'Top')]""]"
"[-7032.85, '[Well, Layer, Top, Bot, Saturation, Water Saturation Irreducible, Gross, Permeability, NetPay, Porosity]', ""[('Layer', 'Porosity'), ('Top', 'Bot'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross'), ('Gross', 'NetPay'), ('Permeability', 'Porosity')]""]"
"[-7020.16, '[Well, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top, Bot, Layer]', ""[('Well', 'Top'), ('Saturation', 'Layer'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Bot', 'Gross')]""]"
"[-7209.81, '[Top, Permeability, Water Saturation Irreducible, Gross, Saturation, Bot, NetPay, Layer, Well, Porosity]', ""[('Top', 'Bot'), ('Permeability', 'Porosity'), ('Gross', 'NetPay'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('Well', 'Gross')]""]"
"[-7271.66, '[Well, Layer, Top, NetPay, Permeability, Water Saturation Irreducible, Bot, Saturation, Gross, Porosity]', ""[('Well', 'Top'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Bot', 'Gross'), ('Saturation', 'Layer'), ('Gross', 'NetPay')]""]"
"[-6967.18, '[Top, Bot, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross, Saturation, Layer, Well]', ""[('Top', 'Bot'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Layer'), ('Saturation', 'Well')]""]"
