0
"[-6539.89, '[Well, Layer, Bot, Saturation, Porosity, Permeability, Water Saturation Irreducible, Top, Gross, NetPay]', ""[('Well', 'Top'), ('Layer', 'Porosity'), ('Saturation', 'Water Saturation Irreducible'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Top', 'Bot'), ('Gross', 'NetPay')]""]"
"[-7154.04, '[Well, Top, Bot, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay, Layer, Gross]', ""[('Well', 'Gross'), ('Top', 'Bot'), ('Saturation', 'Layer'), ('Permeability', 'Water Saturation Irreducible'), ('Layer', 'Porosity'), ('Gross', 'NetPay')]""]"
"[-6702.37, '[Well, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, Layer, NetPay]', ""[('Well', 'Top'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Water Saturation Irreducible'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Layer', 'Well')]""]"
"[-7043.37, '[Well, Layer, Top, Bot, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross, Saturation]', ""[('Well', 'Permeability'), ('Top', 'Bot'), ('Permeability', 'Porosity'), ('Gross', 'NetPay'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible')]""]"
"[-7222.33, '[Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Well, Porosity]', ""[('Layer', 'Porosity'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Water Saturation Irreducible'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross'), ('Well', 'Top')]""]"
"[-7059.94, '[Well, Top, NetPay, Porosity, Permeability, Saturation, Water Saturation Irreducible, Gross, Bot, Layer]', ""[('Well', 'Top'), ('Permeability', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('Gross', 'NetPay'), ('Bot', 'Gross'), ('Layer', 'Porosity')]""]"
"[-7338.23, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Water Saturation Irreducible, Gross, Permeability]', ""[('Well', 'Top'), ('Layer', 'Porosity'), ('Bot', 'Gross'), ('Saturation', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross'), ('Gross', 'NetPay'), ('Permeability', 'Porosity')]""]"
"[-7145.22, '[Well, Top, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Bot, Permeability, Layer]', ""[('Well', 'Permeability'), ('Top', 'Bot'), ('Gross', 'NetPay'), ('Saturation', 'Water Saturation Irreducible'), ('Bot', 'Gross'), ('Layer', 'Porosity')]""]"
"[-7271.66, '[Well, Bot, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross, Layer, Top, Saturation]', ""[('Well', 'Top'), ('Bot', 'Gross'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Layer')]""]"
"[-7088.25, '[Layer, Top, Bot, Gross, NetPay, Porosity, Permeability, Well, Water Saturation Irreducible, Saturation]', ""[('Layer', 'Porosity'), ('Bot', 'Gross'), ('Well', 'Top'), ('Well', 'Permeability'), ('Saturation', 'Water Saturation Irreducible')]""]"
