0
"[-7157.19, '[Layer, Top, Bot, Gross, NetPay, Permeability, Porosity, Water Saturation Irreducible, Saturation, Well]', ""[('Layer', 'Porosity'), ('Top', 'Bot'), ('Gross', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('Saturation', 'Layer'), ('Well', 'Permeability')]""]"
"[-7115.71, '[Layer, Top, Saturation, Porosity, Permeability, Water Saturation Irreducible, Gross, NetPay, Bot, Well]', ""[('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible'), ('Permeability', 'Porosity'), ('Gross', 'NetPay'), ('Bot', 'Gross'), ('Well', 'Top')]""]"
"[-7026.63, '[Well, Bot, Saturation, NetPay, Porosity, Permeability, Layer, Water Saturation Irreducible, Gross, Top]', ""[('Well', 'Top'), ('Bot', 'Gross'), ('Permeability', 'Water Saturation Irreducible'), ('Layer', 'Porosity'), ('Gross', 'NetPay')]""]"
"[-7494.8, '[Layer, Top, Saturation, NetPay, Porosity, Water Saturation Irreducible, Gross, Well, Bot, Permeability]', ""[('Layer', 'Porosity'), ('Saturation', 'Layer'), ('Water Saturation Irreducible', 'Gross'), ('Gross', 'NetPay'), ('Well', 'Top'), ('Well', 'Permeability'), ('Bot', 'Gross')]""]"
"[-7209.81, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability]', ""[('Well', 'Gross'), ('Top', 'Bot'), ('Gross', 'NetPay'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible'), ('Permeability', 'Porosity')]""]"
"[-6616.4, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Well', 'Top'), ('Top', 'Bot'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Layer'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross')]""]"
"[-6912.77, '[Well, Layer, Top, Bot, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation, Gross]', ""[('Layer', 'Porosity'), ('Top', 'Bot'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('Gross', 'NetPay')]""]"
"[-7020.16, '[Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation, Well, Layer]', ""[('Bot', 'Gross'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Saturation', 'Layer'), ('Well', 'Top')]""]"
"[-6842.48, '[Layer, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation, Top, Well]', ""[('Layer', 'Porosity'), ('Bot', 'Gross'), ('Permeability', 'Water Saturation Irreducible'), ('Saturation', 'Well'), ('Well', 'Top')]""]"
"[-7528.83, '[Well, Top, Bot, Gross, NetPay, Porosity, Permeability, Layer, Water Saturation Irreducible, Saturation]', ""[('Well', 'Top'), ('Well', 'Permeability'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Layer', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Saturation', 'Well')]""]"
