0
"[-7530.19, '[Layer, Top, Bot, Gross, Porosity, Permeability, NetPay, Saturation, Well, Water Saturation Irreducible]', ""[('Layer', 'Porosity'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Well'), ('Saturation', 'Water Saturation Irreducible'), ('Well', 'Top'), ('Well', 'Permeability'), ('Water Saturation Irreducible', 'Gross')]""]"
"[-7217.25, '[Layer, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay, Bot, Well, Top]', ""[('Layer', 'Porosity'), ('Gross', 'NetPay'), ('Saturation', 'Layer'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross'), ('Bot', 'Gross'), ('Well', 'Top')]""]"
"[-7372.88, '[Well, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top, Bot, Gross, Layer]', ""[('Well', 'Permeability'), ('Well', 'Top'), ('Saturation', 'Well'), ('Saturation', 'Water Saturation Irreducible'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Layer', 'Porosity')]""]"
"[-7059.94, '[Bot, NetPay, Well, Top, Layer, Porosity, Saturation, Permeability, Water Saturation Irreducible, Gross]', ""[('Bot', 'Gross'), ('Well', 'Top'), ('Layer', 'Porosity'), ('Saturation', 'Layer'), ('Permeability', 'Water Saturation Irreducible'), ('Gross', 'NetPay')]""]"
"[-7737.6, '[Layer, Top, Bot, NetPay, Permeability, Water Saturation Irreducible, Saturation, Gross, Porosity, Well]', ""[('Bot', 'Gross'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Saturation', 'Layer'), ('Saturation', 'Well'), ('Gross', 'NetPay'), ('Well', 'Top'), ('Well', 'Gross')]""]"
"[-6684.13, '[Well, Layer, Bot, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay, Top, Gross]', ""[('Well', 'Permeability'), ('Well', 'Top'), ('Layer', 'Well'), ('Bot', 'Gross'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible'), ('Permeability', 'Porosity'), ('Gross', 'NetPay')]""]"
"[-7271.66, '[Well, Layer, Permeability, Top, Porosity, Water Saturation Irreducible, Saturation, Gross, Bot, NetPay]', ""[('Well', 'Top'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Saturation', 'Layer'), ('Gross', 'NetPay'), ('Bot', 'Gross')]""]"
"[-7338.23, '[Well, Layer, Top, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity, Gross, Bot]', ""[('Well', 'Top'), ('Layer', 'Porosity'), ('Saturation', 'Water Saturation Irreducible'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Gross', 'NetPay'), ('Bot', 'Gross')]""]"
"[-7271.66, '[Layer, Top, Gross, Porosity, Permeability, Saturation, Water Saturation Irreducible, NetPay, Well, Bot]', ""[('Gross', 'NetPay'), ('Permeability', 'Porosity'), ('Saturation', 'Layer'), ('Water Saturation Irreducible', 'Gross'), ('Well', 'Top'), ('Bot', 'Gross')]""]"
"[-7573.71, '[Well, Layer, Top, Bot, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay, Gross]', ""[('Well', 'Top'), ('Well', 'Gross'), ('Layer', 'Porosity'), ('Bot', 'Gross'), ('Saturation', 'Layer'), ('Permeability', 'Water Saturation Irreducible'), ('Gross', 'NetPay')]""]"
