0
"[-7130.44, '[Gross, Saturation, Porosity, Water Saturation Irreducible, NetPay, Well, Permeability, Top, Bot, Layer]', ""[('Gross', 'NetPay'), ('Saturation', 'Layer'), ('Water Saturation Irreducible', 'Gross'), ('Well', 'Top'), ('Permeability', 'Water Saturation Irreducible'), ('Bot', 'Gross'), ('Layer', 'Porosity')]""]"
"[-7197.92, '[Well, Porosity, Permeability, Water Saturation Irreducible, Gross, Top, Bot, NetPay, Layer, Saturation]', ""[('Well', 'Permeability'), ('Well', 'Top'), ('Water Saturation Irreducible', 'Gross'), ('Gross', 'NetPay'), ('Bot', 'Gross'), ('Layer', 'Porosity'), ('Saturation', 'Layer')]""]"
"[-7030.57, '[Layer, Top, Bot, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity, Gross, Well]', ""[('Bot', 'Gross'), ('Saturation', 'Layer'), ('Permeability', 'Water Saturation Irreducible'), ('Permeability', 'Porosity'), ('Gross', 'NetPay'), ('Well', 'Top')]""]"
"[-7172.48, '[Top, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross, Well, Saturation, Layer, Bot]', ""[('Permeability', 'Porosity'), ('Gross', 'NetPay'), ('Well', 'Top'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('Bot', 'Gross')]""]"
"[-7084.43, '[Well, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top, Saturation, Bot, Layer]', ""[('Well', 'Gross'), ('Well', 'Top'), ('Gross', 'NetPay'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross'), ('Saturation', 'Well'), ('Saturation', 'Water Saturation Irreducible'), ('Bot', 'Gross'), ('Layer', 'Porosity')]""]"
"[-6822.17, '[Layer, Saturation, NetPay, Permeability, Top, Well, Bot, Porosity, Gross, Water Saturation Irreducible]', ""[('Layer', 'Porosity'), ('Saturation', 'Water Saturation Irreducible'), ('Permeability', 'Porosity'), ('Top', 'Bot'), ('Well', 'Gross'), ('Gross', 'NetPay'), ('Water Saturation Irreducible', 'Gross')]""]"
"[-6861.83, '[Well, Layer, Saturation, Porosity, Gross, Permeability, NetPay, Water Saturation Irreducible, Bot, Top]', ""[('Well', 'Permeability'), ('Layer', 'Porosity'), ('Saturation', 'Water Saturation Irreducible'), ('Gross', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('Top', 'Bot')]""]"
"[-6790.88, '[Layer, Gross, Saturation, NetPay, Water Saturation Irreducible, Well, Porosity, Top, Bot, Permeability]', ""[('Gross', 'NetPay'), ('Saturation', 'Layer'), ('Water Saturation Irreducible', 'Gross'), ('Well', 'Permeability'), ('Top', 'Bot'), ('Bot', 'Gross'), ('Permeability', 'Porosity')]""]"
"[-7176.96, '[Layer, Bot, NetPay, Saturation, Well, Water Saturation Irreducible, Porosity, Top, Gross, Permeability]', ""[('Layer', 'Porosity'), ('Bot', 'Gross'), ('Saturation', 'Water Saturation Irreducible'), ('Well', 'Top'), ('Well', 'Permeability'), ('Gross', 'NetPay')]""]"
"[-6841.07, '[Well, Layer, Bot, Saturation, NetPay, Porosity, Water Saturation Irreducible, Gross, Top, Permeability]', ""[('Well', 'Top'), ('Layer', 'Well'), ('Bot', 'Gross'), ('Saturation', 'Well'), ('Water Saturation Irreducible', 'Gross'), ('Gross', 'NetPay'), ('Permeability', 'Porosity')]""]"
