0
"[-10769.99, '[Well, Layer, Top, Bot, Gross, Porosity, Permeability, Water Saturation Irreducible, NetPay, Saturation]', ""[('Well', 'Saturation'), ('Layer', 'Porosity'), ('Layer', 'NetPay'), ('Layer', 'Saturation'), ('Bot', 'Gross'), ('Gross', 'Porosity'), ('Permeability', 'Bot'), ('Water Saturation Irreducible', 'Gross'), ('NetPay', 'Top'), ('NetPay', 'Water Saturation Irreducible'), ('Saturation', 'Porosity')]""]"
"[-10557.8, '[Well, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top, Layer]', ""[('Well', 'NetPay'), ('Well', 'Permeability'), ('Bot', 'Gross'), ('Saturation', 'Well'), ('Saturation', 'Gross'), ('Porosity', 'Top'), ('Water Saturation Irreducible', 'Gross'), ('Layer', 'Porosity')]""]"
"[-46968.18, '[Well, Layer, Top, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity, Bot]', ""[('Well', 'Saturation'), ('Layer', 'Well'), ('Layer', 'Gross'), ('Top', 'Porosity'), ('Gross', 'NetPay'), ('Gross', 'Permeability'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Top'), ('NetPay', 'Porosity'), ('Permeability', 'Well'), ('Permeability', 'Top'), ('Permeability', 'NetPay'), ('Permeability', 'Porosity'), ('Porosity', 'Well'), ('Bot', 'Gross')]""]"
"[-13156.46, '[Layer, Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well, Saturation]', ""[('Top', 'Bot'), ('Gross', 'NetPay'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Well', 'Top'), ('Well', 'Gross'), ('Well', 'Permeability'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Well')]""]"
"[-9677.3, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity]', ""[('Bot', 'Gross'), ('Bot', 'Porosity'), ('Gross', 'Permeability'), ('Gross', 'Water Saturation Irreducible'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('Saturation', 'Permeability'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Top'), ('NetPay', 'Water Saturation Irreducible'), ('Permeability', 'NetPay'), ('Porosity', 'Gross'), ('Porosity', 'NetPay')]""]"
"[-34517.72, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Well', 'Permeability'), ('Top', 'NetPay'), ('Top', 'Porosity'), ('Gross', 'Top'), ('Gross', 'Permeability'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('Bot', 'Gross'), ('Bot', 'Permeability')]""]"
"[-34645.18, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Well', 'Gross'), ('Top', 'Gross'), ('Bot', 'Gross'), ('Bot', 'NetPay'), ('Saturation', 'Permeability'), ('NetPay', 'Porosity'), ('NetPay', 'Permeability'), ('Water Saturation Irreducible', 'NetPay'), ('Layer', 'Porosity'), ('Layer', 'Water Saturation Irreducible')]""]"
"[-1939327.27, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity]', ""[('Layer', 'Well'), ('Layer', 'Saturation'), ('Top', 'Well'), ('Top', 'Porosity'), ('Bot', 'Gross'), ('Gross', 'Well'), ('Saturation', 'Well'), ('NetPay', 'Well'), ('NetPay', 'Permeability'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Porosity', 'Well'), ('Porosity', 'Bot')]""]"
"[-138174.41, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability]', ""[('Well', 'NetPay'), ('Bot', 'Gross'), ('Bot', 'Porosity'), ('Gross', 'NetPay'), ('Saturation', 'Layer'), ('Saturation', 'Permeability'), ('Porosity', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('Permeability', 'Top'), ('Permeability', 'NetPay')]""]"
"[-9151.68, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability]', ""[('Layer', 'Gross'), ('Layer', 'Saturation'), ('Layer', 'Porosity'), ('Top', 'Permeability'), ('Bot', 'Gross'), ('Gross', 'Porosity'), ('Saturation', 'Well'), ('NetPay', 'Top'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'NetPay')]""]"
