0
"[-40194.97, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Layer, Water Saturation Irreducible]', ""[('Well', 'Gross'), ('Top', 'NetPay'), ('Bot', 'Gross'), ('Porosity', 'Top'), ('Permeability', 'Water Saturation Irreducible'), ('Layer', 'Well'), ('Layer', 'Saturation'), ('Water Saturation Irreducible', 'Well'), ('Water Saturation Irreducible', 'Gross')]""]"
"[-8649.77, '[Well, Layer, Top, Bot, Gross, NetPay, Porosity, Water Saturation Irreducible, Permeability, Saturation]', ""[('Layer', 'Porosity'), ('Gross', 'NetPay'), ('NetPay', 'Porosity'), ('Porosity', 'Bot'), ('Water Saturation Irreducible', 'Gross'), ('Permeability', 'Porosity'), ('Permeability', 'Water Saturation Irreducible'), ('Saturation', 'Well')]""]"
"[-39293.26, '[Well, Layer, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation, Top]', ""[('Well', 'Top'), ('Bot', 'Porosity'), ('Gross', 'Well'), ('Gross', 'Top'), ('NetPay', 'Permeability'), ('Porosity', 'Well'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Water Saturation Irreducible', 'Top'), ('Saturation', 'Layer'), ('Saturation', 'Permeability')]""]"
"[-19116.05, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross]', ""[('Well', 'Permeability'), ('Well', 'Gross'), ('Layer', 'Well'), ('Bot', 'Gross'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Gross'), ('Permeability', 'Porosity'), ('Gross', 'Top'), ('Gross', 'NetPay')]""]"
"[-267948.59, '[Well, Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation, Layer]', ""[('Well', 'Bot'), ('Top', 'Bot'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Porosity', 'Top'), ('Porosity', 'Bot'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Bot'), ('Water Saturation Irreducible', 'Gross'), ('Saturation', 'Bot'), ('Saturation', 'Permeability'), ('Layer', 'Porosity'), ('Layer', 'Saturation')]""]"
"[-13041.39, '[Well, Layer, Top, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, Bot, NetPay]', ""[('Well', 'Gross'), ('Layer', 'Porosity'), ('Top', 'Permeability'), ('Saturation', 'Water Saturation Irreducible'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross'), ('Water Saturation Irreducible', 'Bot'), ('Bot', 'NetPay')]""]"
"[-9651.92, '[Well, Layer, Top, Gross, Saturation, Permeability, Water Saturation Irreducible, Porosity, NetPay, Bot]', ""[('Well', 'Top'), ('Gross', 'NetPay'), ('Saturation', 'Layer'), ('Permeability', 'Gross'), ('Water Saturation Irreducible', 'Gross'), ('NetPay', 'Porosity'), ('Bot', 'Gross'), ('Bot', 'Porosity')]""]"
"[-34110.99, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'NetPay'), ('Top', 'NetPay'), ('Bot', 'Gross'), ('Bot', 'Permeability'), ('Gross', 'Permeability'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Porosity'), ('Water Saturation Irreducible', 'Top'), ('Well', 'Permeability')]""]"
"[-35204.79, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Top', 'NetPay'), ('Bot', 'Gross'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Top'), ('Saturation', 'Layer'), ('Porosity', 'Gross'), ('Porosity', 'Water Saturation Irreducible'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Top'), ('Well', 'Gross')]""]"
"[-21232.03, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross]', ""[('Well', 'NetPay'), ('Layer', 'Saturation'), ('Layer', 'Gross'), ('Bot', 'Water Saturation Irreducible'), ('Bot', 'Gross'), ('Saturation', 'Well'), ('Saturation', 'NetPay'), ('Saturation', 'Water Saturation Irreducible'), ('Porosity', 'Top'), ('Porosity', 'Water Saturation Irreducible'), ('Permeability', 'Water Saturation Irreducible'), ('Gross', 'NetPay'), ('Gross', 'Porosity')]""]"
