0
"[-9344.68, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Well', 'Saturation'), ('Bot', 'Gross'), ('Gross', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('NetPay', 'Bot'), ('Porosity', 'NetPay'), ('Permeability', 'Well'), ('Water Saturation Irreducible', 'Top')]""]"
"[-13747.31, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Well', 'Permeability'), ('Bot', 'Gross'), ('Bot', 'Porosity'), ('Gross', 'Permeability'), ('Gross', 'Top'), ('Saturation', 'Layer'), ('Saturation', 'Gross'), ('Porosity', 'Top'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Gross')]""]"
"[-165819.83, '[Well, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, Layer, NetPay]', ""[('Well', 'Porosity'), ('Top', 'Gross'), ('Bot', 'Gross'), ('Gross', 'Water Saturation Irreducible'), ('Saturation', 'Well'), ('Porosity', 'NetPay'), ('Permeability', 'Gross'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Porosity'), ('Layer', 'Porosity')]""]"
"[-9354.08, '[Well, Layer, Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation]', ""[('Well', 'Permeability'), ('Layer', 'Porosity'), ('Bot', 'Gross'), ('Gross', 'Top'), ('NetPay', 'Water Saturation Irreducible'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('Saturation', 'Water Saturation Irreducible')]""]"
"[-46312.01, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay]', ""[('Well', 'Saturation'), ('Top', 'Porosity'), ('Top', 'NetPay'), ('Gross', 'Permeability'), ('Gross', 'Water Saturation Irreducible'), ('Gross', 'NetPay'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible'), ('Porosity', 'NetPay'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'NetPay'), ('NetPay', 'Bot')]""]"
"[-9018.66, '[Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer, Well]', ""[('Gross', 'Permeability'), ('Saturation', 'Porosity'), ('Saturation', 'Permeability'), ('Saturation', 'Well'), ('Porosity', 'Top'), ('Porosity', 'Bot'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('Layer', 'Gross'), ('Layer', 'Saturation'), ('Layer', 'Water Saturation Irreducible')]""]"
"[-39896.29, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay]', ""[('Well', 'Bot'), ('Layer', 'Bot'), ('Top', 'Bot'), ('Bot', 'Gross'), ('Gross', 'Porosity'), ('Gross', 'Permeability'), ('Gross', 'NetPay'), ('Saturation', 'Water Saturation Irreducible'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('NetPay', 'Porosity')]""]"
"[-18055.31, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Layer', 'Gross'), ('Layer', 'Porosity'), ('Layer', 'Water Saturation Irreducible'), ('Gross', 'Porosity'), ('Saturation', 'Well'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Top'), ('NetPay', 'Water Saturation Irreducible'), ('Permeability', 'Porosity'), ('Bot', 'Gross'), ('Bot', 'Porosity')]""]"
"[-9815.05, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Well', 'Saturation'), ('Bot', 'Gross'), ('Gross', 'Porosity'), ('Saturation', 'Porosity'), ('Porosity', 'Top'), ('Permeability', 'Top'), ('Water Saturation Irreducible', 'Gross'), ('Water Saturation Irreducible', 'NetPay'), ('Layer', 'NetPay'), ('Layer', 'Porosity')]""]"
"[-138136.86, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Porosity'), ('Top', 'Bot'), ('Saturation', 'NetPay'), ('Saturation', 'Porosity'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'NetPay'), ('Permeability', 'Bot'), ('Water Saturation Irreducible', 'Bot'), ('Water Saturation Irreducible', 'Gross'), ('Well', 'Bot')]""]"
