0
"[-170002.74, '[Well, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Layer, Porosity]', ""[('Well', 'Top'), ('Well', 'Porosity'), ('Top', 'NetPay'), ('Bot', 'Gross'), ('Gross', 'Permeability'), ('Gross', 'Porosity'), ('Saturation', 'Layer'), ('NetPay', 'Bot'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Layer', 'Top'), ('Layer', 'Water Saturation Irreducible'), ('Layer', 'Porosity')]""]"
"[-34778.67, '[Well, Layer, Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation]', ""[('Well', 'Gross'), ('Layer', 'Porosity'), ('Top', 'Water Saturation Irreducible'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Gross', 'Permeability'), ('Gross', 'Water Saturation Irreducible'), ('Porosity', 'Gross'), ('Permeability', 'Water Saturation Irreducible'), ('Saturation', 'Well')]""]"
"[-11498.47, '[Well, Layer, Top, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Bot, Porosity]', ""[('Well', 'Gross'), ('Top', 'NetPay'), ('Top', 'Water Saturation Irreducible'), ('Gross', 'Top'), ('Gross', 'NetPay'), ('Gross', 'Porosity'), ('Saturation', 'Layer'), ('NetPay', 'Porosity'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'NetPay'), ('Bot', 'Water Saturation Irreducible')]""]"
"[-15186.73, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross]', ""[('Well', 'Permeability'), ('Layer', 'Porosity'), ('Layer', 'Permeability'), ('Saturation', 'Bot'), ('Saturation', 'Porosity'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Porosity'), ('Porosity', 'Top'), ('Porosity', 'Gross'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('Gross', 'Bot')]""]"
"[-8942.97, '[Well, Layer, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot, Top]', ""[('Layer', 'Saturation'), ('Saturation', 'Well'), ('NetPay', 'Water Saturation Irreducible'), ('NetPay', 'Top'), ('Permeability', 'NetPay'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Bot', 'Gross'), ('Bot', 'Porosity')]""]"
"[-294082.98, '[Well, Layer, Top, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot, Saturation]', ""[('Well', 'Top'), ('Well', 'NetPay'), ('Well', 'Saturation'), ('Gross', 'Top'), ('Gross', 'NetPay'), ('Porosity', 'Top'), ('Porosity', 'NetPay'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('Bot', 'Gross'), ('Saturation', 'Layer'), ('Saturation', 'NetPay'), ('Saturation', 'Permeability')]""]"
"[-18147.12, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability]', ""[('Layer', 'Bot'), ('Layer', 'Porosity'), ('Top', 'Bot'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Gross', 'Porosity'), ('Saturation', 'Well'), ('Water Saturation Irreducible', 'Bot'), ('Water Saturation Irreducible', 'Gross'), ('Permeability', 'Bot'), ('Permeability', 'Porosity')]""]"
"[-10559.98, '[Well, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top, Layer, Gross]', ""[('Well', 'Saturation'), ('Bot', 'Porosity'), ('Bot', 'Gross'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Permeability'), ('Porosity', 'NetPay'), ('Porosity', 'Top'), ('Water Saturation Irreducible', 'Gross'), ('Layer', 'Saturation'), ('Layer', 'Porosity'), ('Gross', 'Top')]""]"
"[-269453.62, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Well', 'Gross'), ('Top', 'Porosity'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Gross'), ('NetPay', 'Top'), ('Permeability', 'Gross'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Layer', 'Porosity')]""]"
"[-17868.34, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Layer', 'Porosity'), ('Bot', 'Gross'), ('Gross', 'Top'), ('Saturation', 'Layer'), ('NetPay', 'Bot'), ('NetPay', 'Porosity'), ('Permeability', 'Well'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Top', 'Porosity')]""]"
