0
"[-2309024.72, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross]', ""[('Layer', 'Saturation'), ('Layer', 'Water Saturation Irreducible'), ('Top', 'Water Saturation Irreducible'), ('Bot', 'Water Saturation Irreducible'), ('Bot', 'Gross'), ('Saturation', 'Well'), ('Saturation', 'NetPay'), ('Saturation', 'Porosity'), ('Saturation', 'Permeability'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'Top'), ('Porosity', 'Bot'), ('Porosity', 'NetPay'), ('Porosity', 'Water Saturation Irreducible'), ('Permeability', 'Water Saturation Irreducible'), ('Permeability', 'Gross'), ('Gross', 'Water Saturation Irreducible')]""]"
"[-64937.23, '[Well, Layer, Top, Bot, Gross, NetPay, Porosity, Permeability, Saturation, Water Saturation Irreducible]', ""[('Well', 'NetPay'), ('Well', 'Porosity'), ('Well', 'Saturation'), ('Layer', 'Water Saturation Irreducible'), ('Top', 'Porosity'), ('Bot', 'Gross'), ('Gross', 'Top'), ('Gross', 'NetPay'), ('NetPay', 'Permeability'), ('Permeability', 'Porosity'), ('Saturation', 'Layer'), ('Saturation', 'Porosity'), ('Water Saturation Irreducible', 'Gross')]""]"
"[-13507.42, '[Well, Layer, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top, Gross]', ""[('Well', 'Saturation'), ('Well', 'Top'), ('Layer', 'Permeability'), ('Layer', 'Gross'), ('Bot', 'Porosity'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Porosity'), ('Porosity', 'Gross'), ('Water Saturation Irreducible', 'Top')]""]"
"[-10120.18, '[Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity, Well]', ""[('Layer', 'Gross'), ('Layer', 'Saturation'), ('Bot', 'Porosity'), ('Gross', 'Permeability'), ('NetPay', 'Permeability'), ('Water Saturation Irreducible', 'Top'), ('Well', 'Saturation')]""]"
"[-39789.14, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross]', ""[('Layer', 'Gross'), ('Top', 'NetPay'), ('Top', 'Water Saturation Irreducible'), ('Bot', 'Gross'), ('Saturation', 'Permeability'), ('NetPay', 'Permeability'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'Well'), ('Porosity', 'Top'), ('Permeability', 'Well'), ('Gross', 'Well'), ('Gross', 'Top')]""]"
"[-10300.86, '[Well, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Layer, Porosity]', ""[('Well', 'Saturation'), ('Top', 'NetPay'), ('Bot', 'Gross'), ('NetPay', 'Porosity'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('Layer', 'Saturation'), ('Porosity', 'Bot')]""]"
"[-9112.02, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross]', ""[('Layer', 'Porosity'), ('Bot', 'NetPay'), ('Bot', 'Gross'), ('Saturation', 'Well'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Top'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'Bot'), ('Permeability', 'NetPay'), ('Permeability', 'Gross')]""]"
"[-34452.13, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Well', 'Water Saturation Irreducible'), ('Layer', 'Porosity'), ('Gross', 'Permeability'), ('Saturation', 'Porosity'), ('Saturation', 'Bot'), ('NetPay', 'Top'), ('Porosity', 'Top'), ('Porosity', 'Gross'), ('Porosity', 'Water Saturation Irreducible'), ('Permeability', 'NetPay'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'NetPay'), ('Bot', 'Gross')]""]"
"[-14290.7, '[Well, Layer, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top, Saturation]', ""[('Well', 'Permeability'), ('Layer', 'NetPay'), ('Gross', 'NetPay'), ('Porosity', 'Bot'), ('Permeability', 'NetPay'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Top', 'Permeability'), ('Saturation', 'Layer')]""]"
"[-9869.52, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross]', ""[('Well', 'Top'), ('Top', 'NetPay'), ('Bot', 'Gross'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('NetPay', 'Water Saturation Irreducible'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Porosity'), ('Gross', 'NetPay'), ('Gross', 'Porosity')]""]"
