0
"[-14608.83, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Well', 'Permeability'), ('Layer', 'NetPay'), ('Layer', 'Permeability'), ('Saturation', 'Layer'), ('Permeability', 'Top'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Bot', 'Gross'), ('Bot', 'NetPay')]""]"
"[-43848.97, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'NetPay'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Well'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'Gross'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Top'), ('Well', 'Top'), ('Well', 'NetPay')]""]"
"[-39383.25, '[Layer, Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation, Well]', ""[('Layer', 'NetPay'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('NetPay', 'Top'), ('Porosity', 'Bot'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Saturation', 'Layer'), ('Saturation', 'Gross'), ('Well', 'NetPay')]""]"
"[-14764.19, '[Well, Layer, Top, Bot, Saturation, Porosity, Permeability, Gross, NetPay, Water Saturation Irreducible]', ""[('Well', 'Top'), ('Layer', 'Porosity'), ('Bot', 'Porosity'), ('Bot', 'Gross'), ('Saturation', 'Well'), ('Porosity', 'NetPay'), ('Permeability', 'Porosity'), ('NetPay', 'Top'), ('NetPay', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross')]""]"
"[-12920.43, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Porosity'), ('Top', 'Water Saturation Irreducible'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Top'), ('Permeability', 'Porosity'), ('Well', 'Gross')]""]"
"[-9755.05, '[Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top, Well]', ""[('Bot', 'Gross'), ('Gross', 'NetPay'), ('Gross', 'Porosity'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Well'), ('Permeability', 'NetPay'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Top', 'NetPay')]""]"
"[-9078.78, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Porosity'), ('Bot', 'Gross'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Well'), ('Porosity', 'Water Saturation Irreducible'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'NetPay'), ('Well', 'Top')]""]"
"[-83978.95, '[Well, Layer, Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation]', ""[('Layer', 'Well'), ('Top', 'NetPay'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('NetPay', 'Well'), ('Porosity', 'Top'), ('Porosity', 'Bot'), ('Permeability', 'Well'), ('Water Saturation Irreducible', 'Gross'), ('Saturation', 'Well'), ('Saturation', 'Permeability')]""]"
"[-9689.76, '[Well, Layer, Top, Bot, Gross, NetPay, Porosity, Water Saturation Irreducible, Saturation, Permeability]', ""[('Layer', 'NetPay'), ('Bot', 'Gross'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'NetPay'), ('Porosity', 'Top'), ('Porosity', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('Saturation', 'Permeability'), ('Permeability', 'Water Saturation Irreducible')]""]"
"[-36011.76, '[Well, Layer, Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation]', ""[('Well', 'Gross'), ('Well', 'Saturation'), ('Layer', 'Saturation'), ('Top', 'NetPay'), ('Top', 'Permeability'), ('Bot', 'Gross'), ('Gross', 'Porosity'), ('NetPay', 'Permeability'), ('Water Saturation Irreducible', 'Gross'), ('Saturation', 'Porosity'), ('Saturation', 'Permeability')]""]"
