0
"[-12648.63, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Well', 'Bot'), ('Top', 'Bot'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross')]""]"
"[-8336.11, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability]', ""[('Top', 'Water Saturation Irreducible'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('Saturation', 'Porosity'), ('Porosity', 'Top'), ('Water Saturation Irreducible', 'Gross'), ('Permeability', 'Water Saturation Irreducible')]""]"
"[-34266.4, '[Well, Layer, Top, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity, Bot]', ""[('Well', 'Top'), ('Well', 'Saturation'), ('Layer', 'Porosity'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Permeability'), ('NetPay', 'Water Saturation Irreducible'), ('NetPay', 'Bot'), ('Permeability', 'Top'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'Gross'), ('Bot', 'Gross')]""]"
"[-9125.68, '[Well, Top, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Bot, Permeability, Layer]', ""[('Saturation', 'Well'), ('Saturation', 'Layer'), ('NetPay', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Water Saturation Irreducible', 'NetPay'), ('Bot', 'Gross'), ('Bot', 'Water Saturation Irreducible'), ('Permeability', 'Top'), ('Permeability', 'NetPay'), ('Permeability', 'Porosity')]""]"
"[-13348.28, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability]', ""[('Well', 'NetPay'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Gross', 'Porosity'), ('Gross', 'Water Saturation Irreducible'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('Porosity', 'Top'), ('Permeability', 'Gross')]""]"
"[-8030.42, '[Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Well, Water Saturation Irreducible, Top]', ""[('Layer', 'Bot'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Well'), ('Permeability', 'NetPay'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Top', 'Bot')]""]"
"[-12949.88, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Well', 'Gross'), ('Top', 'NetPay'), ('Bot', 'Porosity'), ('Gross', 'Top'), ('Gross', 'NetPay'), ('Saturation', 'Layer'), ('Saturation', 'Porosity'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'Gross'), ('Permeability', 'Water Saturation Irreducible')]""]"
"[-14152.36, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability]', ""[('Well', 'Gross'), ('Well', 'Saturation'), ('Layer', 'NetPay'), ('Top', 'Bot'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'NetPay'), ('Gross', 'Porosity'), ('Saturation', 'Layer'), ('Porosity', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('Permeability', 'Bot'), ('Permeability', 'Water Saturation Irreducible')]""]"
"[-10290.58, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross]', ""[('Well', 'Saturation'), ('Layer', 'Water Saturation Irreducible'), ('Bot', 'Permeability'), ('Bot', 'Gross'), ('NetPay', 'Top'), ('NetPay', 'Bot'), ('Porosity', 'NetPay'), ('Porosity', 'Water Saturation Irreducible'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross')]""]"
"[-41103.68, '[Well, Layer, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation, Top]', ""[('Well', 'Saturation'), ('Well', 'Top'), ('Layer', 'Water Saturation Irreducible'), ('Layer', 'Saturation'), ('Layer', 'Top'), ('Gross', 'Bot'), ('NetPay', 'Top'), ('Porosity', 'Bot'), ('Porosity', 'NetPay'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('Saturation', 'Porosity'), ('Top', 'Gross')]""]"
