0
"[-18440.77, '[Well, Layer, Top, Bot, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross, Saturation]', ""[('Well', 'Permeability'), ('Well', 'Gross'), ('Layer', 'Saturation'), ('Bot', 'NetPay'), ('Bot', 'Permeability'), ('NetPay', 'Top'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'Bot'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('Saturation', 'Well')]""]"
"[-15214.41, '[Well, Layer, Bot, Gross, NetPay, Permeability, Water Saturation Irreducible, Top, Saturation, Porosity]', ""[('Well', 'Top'), ('Layer', 'Permeability'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Water Saturation Irreducible', 'Top'), ('Top', 'NetPay'), ('Saturation', 'NetPay'), ('Porosity', 'NetPay')]""]"
"[-163934.31, '[Well, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer, Gross]', ""[('Well', 'Top'), ('Well', 'Gross'), ('Bot', 'NetPay'), ('Bot', 'Gross'), ('Porosity', 'Top'), ('Porosity', 'Gross'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Top'), ('Layer', 'Water Saturation Irreducible'), ('Gross', 'Top'), ('Gross', 'Water Saturation Irreducible')]""]"
"[-59584.16, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Well', 'Top'), ('Well', 'NetPay'), ('Gross', 'Top'), ('Gross', 'Bot'), ('Gross', 'NetPay'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('Porosity', 'Bot'), ('Porosity', 'Water Saturation Irreducible'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'Gross'), ('Water Saturation Irreducible', 'NetPay'), ('Layer', 'Porosity')]""]"
"[-36658.97, '[Layer, Top, Bot, Gross, Porosity, Permeability, Water Saturation Irreducible, NetPay, Well, Saturation]', ""[('Layer', 'Porosity'), ('Layer', 'Well'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Well', 'Top'), ('Well', 'Gross'), ('Well', 'Permeability'), ('Saturation', 'Layer'), ('Saturation', 'Well')]""]"
"[-8980.53, '[Well, Layer, Top, Bot, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation, Gross]', ""[('Well', 'Permeability'), ('Bot', 'NetPay'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Saturation', 'Layer'), ('Gross', 'Top')]""]"
"[-17630.0, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Porosity'), ('Top', 'Bot'), ('Gross', 'NetPay'), ('Saturation', 'Top'), ('Saturation', 'Water Saturation Irreducible'), ('Porosity', 'Top'), ('Porosity', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross'), ('Well', 'Top'), ('Well', 'Permeability')]""]"
"[-10500.27, '[Well, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Top, Water Saturation Irreducible, Layer]', ""[('Well', 'Saturation'), ('Bot', 'Gross'), ('Bot', 'Porosity'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Top'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Water Saturation Irreducible', 'Top'), ('Layer', 'Porosity'), ('Layer', 'Water Saturation Irreducible')]""]"
"[-13616.46, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Porosity, Water Saturation Irreducible]', ""[('Well', 'Water Saturation Irreducible'), ('Layer', 'Porosity'), ('Bot', 'Gross'), ('Saturation', 'Well'), ('NetPay', 'Top'), ('NetPay', 'Porosity'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross')]""]"
"[-9332.29, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Bot', 'Gross'), ('Saturation', 'Well'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'Top'), ('Porosity', 'Bot'), ('Porosity', 'NetPay'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('Layer', 'Saturation'), ('Layer', 'Porosity'), ('Layer', 'Water Saturation Irreducible')]""]"
