0
"[-14275.17, '[Well, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay, Layer]', ""[('Well', 'Top'), ('Top', 'NetPay'), ('Bot', 'Gross'), ('Gross', 'Top'), ('Gross', 'Porosity'), ('Gross', 'NetPay'), ('Saturation', 'Well'), ('Saturation', 'Permeability'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('Porosity', 'NetPay'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross')]""]"
"[-11975.63, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability]', ""[('Well', 'Gross'), ('Layer', 'Porosity'), ('Top', 'Bot'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Layer'), ('Porosity', 'Top'), ('Permeability', 'Water Saturation Irreducible')]""]"
"[-34252.2, '[Layer, Top, Bot, NetPay, Porosity, Water Saturation Irreducible, Well, Gross, Permeability, Saturation]', ""[('Bot', 'NetPay'), ('Bot', 'Gross'), ('Bot', 'Permeability'), ('NetPay', 'Top'), ('Porosity', 'NetPay'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'Gross'), ('Well', 'Top'), ('Gross', 'Permeability'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible')]""]"
"[-163248.42, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity]', ""[('Well', 'Bot'), ('Well', 'Gross'), ('Layer', 'Porosity'), ('Top', 'Bot'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('Permeability', 'Bot'), ('Water Saturation Irreducible', 'Gross'), ('Porosity', 'Bot')]""]"
"[-13214.72, '[Well, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, Layer, NetPay]', ""[('Well', 'Gross'), ('Top', 'NetPay'), ('Bot', 'Porosity'), ('Gross', 'Porosity'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross')]""]"
"[-17511.92, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity]', ""[('Well', 'Top'), ('Layer', 'Saturation'), ('Layer', 'Porosity'), ('Top', 'Porosity'), ('Bot', 'Gross'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Permeability'), ('NetPay', 'Porosity'), ('Permeability', 'Porosity'), ('Porosity', 'Gross')]""]"
"[-9119.9, '[Well, Layer, Top, Bot, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay, Gross]', ""[('Well', 'Top'), ('Well', 'Permeability'), ('Layer', 'Porosity'), ('Bot', 'Gross'), ('Saturation', 'Water Saturation Irreducible'), ('Porosity', 'Bot'), ('Water Saturation Irreducible', 'Gross'), ('Gross', 'NetPay')]""]"
"[-18371.59, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Well', 'Saturation'), ('Top', 'NetPay'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Gross', 'Permeability'), ('Water Saturation Irreducible', 'NetPay'), ('Layer', 'Saturation'), ('Layer', 'NetPay'), ('Layer', 'Porosity')]""]"
"[-138195.52, '[Well, Layer, Top, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot, Saturation]', ""[('Well', 'Gross'), ('Layer', 'Water Saturation Irreducible'), ('Top', 'Porosity'), ('Gross', 'Top'), ('Porosity', 'NetPay'), ('Permeability', 'Gross'), ('Water Saturation Irreducible', 'Gross'), ('Bot', 'Gross'), ('Saturation', 'Layer')]""]"
"[-19650.68, '[Well, Layer, Top, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross, Bot]', ""[('Well', 'Permeability'), ('Layer', 'Well'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Permeability'), ('Porosity', 'Well'), ('Porosity', 'Top'), ('Gross', 'Porosity'), ('Bot', 'Porosity')]""]"
