0
"[-38696.08, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Gross'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Top'), ('Gross', 'NetPay'), ('Gross', 'Permeability'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Well', 'Gross')]""]"
"[-9416.59, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity]', ""[('Layer', 'Porosity'), ('Bot', 'Gross'), ('Gross', 'Porosity'), ('Saturation', 'Well'), ('Permeability', 'Top'), ('Water Saturation Irreducible', 'Gross'), ('Water Saturation Irreducible', 'NetPay'), ('Porosity', 'Top'), ('Porosity', 'NetPay')]""]"
"[-14340.2, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Well', 'Gross'), ('Layer', 'Porosity'), ('Top', 'Bot'), ('Bot', 'Permeability'), ('Gross', 'Bot'), ('Saturation', 'Well'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Bot'), ('NetPay', 'Porosity'), ('Porosity', 'Gross')]""]"
"[-8830.57, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay]', ""[('Well', 'Saturation'), ('Layer', 'Porosity'), ('Bot', 'Gross'), ('Gross', 'Top'), ('Porosity', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('NetPay', 'Permeability')]""]"
"[-14969.07, '[Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Well, Permeability, Layer]', ""[('Top', 'Bot'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Gross', 'Porosity'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('NetPay', 'Porosity'), ('Water Saturation Irreducible', 'Porosity'), ('Well', 'Saturation'), ('Permeability', 'Porosity'), ('Layer', 'Bot')]""]"
"[-789896.81, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Water Saturation Irreducible, NetPay, Permeability]', ""[('Well', 'Porosity'), ('Layer', 'Porosity'), ('Top', 'Porosity'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Well'), ('Porosity', 'Bot'), ('Porosity', 'Gross'), ('Water Saturation Irreducible', 'Porosity'), ('Permeability', 'Porosity')]""]"
"[-189754.36, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Gross'), ('Bot', 'Gross'), ('Gross', 'Porosity'), ('Saturation', 'Bot'), ('Saturation', 'Porosity'), ('NetPay', 'Top'), ('NetPay', 'Permeability'), ('Permeability', 'Bot'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'Gross'), ('Well', 'Top'), ('Well', 'Gross')]""]"
"[-9674.53, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Layer', 'Porosity'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Well'), ('Saturation', 'Porosity'), ('Porosity', 'NetPay'), ('Porosity', 'Water Saturation Irreducible'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross'), ('Top', 'Water Saturation Irreducible')]""]"
"[-169391.26, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Well', 'Top'), ('Well', 'Porosity'), ('Layer', 'Porosity'), ('Layer', 'Water Saturation Irreducible'), ('Bot', 'Gross'), ('Gross', 'Porosity'), ('Saturation', 'Well'), ('Saturation', 'NetPay'), ('NetPay', 'Water Saturation Irreducible'), ('Permeability', 'NetPay'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'Gross')]""]"
"[-35845.36, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Well', 'Top'), ('Well', 'Saturation'), ('Top', 'NetPay'), ('Bot', 'Gross'), ('Gross', 'Top'), ('Gross', 'Porosity'), ('Permeability', 'Top'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('Layer', 'Saturation'), ('Layer', 'Porosity')]""]"
