0
"[-19110.53, '[Well, Layer, Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation]', ""[('Well', 'Top'), ('Layer', 'Porosity'), ('Layer', 'Saturation'), ('Bot', 'Gross'), ('Bot', 'Permeability'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Top'), ('Gross', 'NetPay'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'Gross'), ('Permeability', 'NetPay'), ('Permeability', 'Water Saturation Irreducible'), ('Saturation', 'Top')]""]"
"[-17226.3, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Layer', 'Porosity'), ('Bot', 'Gross'), ('Gross', 'Permeability'), ('Saturation', 'Well'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Porosity'), ('Porosity', 'Top'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Porosity')]""]"
"[-164363.75, '[Well, Top, Bot, Saturation, NetPay, Porosity, Permeability, Layer, Water Saturation Irreducible, Gross]', ""[('Well', 'Top'), ('Well', 'Saturation'), ('Top', 'Permeability'), ('Bot', 'Porosity'), ('Bot', 'Gross'), ('NetPay', 'Top'), ('Porosity', 'Top'), ('Layer', 'Top'), ('Water Saturation Irreducible', 'NetPay'), ('Gross', 'Water Saturation Irreducible')]""]"
"[-176325.39, '[Well, Layer, Top, Bot, Gross, Porosity, Permeability, Water Saturation Irreducible, Saturation, NetPay]', ""[('Well', 'Top'), ('Well', 'Gross'), ('Well', 'Permeability'), ('Well', 'Saturation'), ('Layer', 'Permeability'), ('Top', 'Permeability'), ('Bot', 'Porosity'), ('Bot', 'NetPay'), ('Gross', 'Porosity'), ('Gross', 'Permeability'), ('Saturation', 'Layer'), ('Saturation', 'Top'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Top'), ('NetPay', 'Porosity')]""]"
"[-164988.15, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity]', ""[('Well', 'Porosity'), ('Layer', 'NetPay'), ('Layer', 'Porosity'), ('Top', 'Water Saturation Irreducible'), ('Bot', 'Gross'), ('Gross', 'Permeability'), ('Gross', 'Porosity'), ('Saturation', 'NetPay'), ('NetPay', 'Bot'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Water Saturation Irreducible', 'NetPay')]""]"
"[-17689.59, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Top', 'Porosity'), ('Bot', 'Gross'), ('Gross', 'Top'), ('Gross', 'Water Saturation Irreducible'), ('Saturation', 'Well'), ('Permeability', 'Gross'), ('Permeability', 'NetPay'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'NetPay'), ('Water Saturation Irreducible', 'Porosity'), ('Layer', 'Porosity')]""]"
"[-34059.75, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Well', 'Top'), ('Bot', 'Gross'), ('Bot', 'Porosity'), ('Gross', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('Saturation', 'Permeability'), ('NetPay', 'Bot'), ('NetPay', 'Permeability'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'Top'), ('Water Saturation Irreducible', 'Top')]""]"
"[-15885.19, '[Well, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, Layer, Top, NetPay]', ""[('Well', 'Saturation'), ('Bot', 'Gross'), ('Porosity', 'Bot'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Bot'), ('Water Saturation Irreducible', 'Gross'), ('Layer', 'Water Saturation Irreducible'), ('Top', 'Bot'), ('Top', 'NetPay'), ('NetPay', 'Bot'), ('NetPay', 'Water Saturation Irreducible')]""]"
"[-8539.85, '[Well, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity, Layer]', ""[('Well', 'Top'), ('Bot', 'Gross'), ('Bot', 'Porosity'), ('Gross', 'NetPay'), ('Saturation', 'Water Saturation Irreducible'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross'), ('Layer', 'Porosity')]""]"
"[-33780.6, '[Layer, Top, Bot, Gross, Porosity, Permeability, Water Saturation Irreducible, Saturation, Well, NetPay]', ""[('Layer', 'Porosity'), ('Top', 'Bot'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Bot'), ('Water Saturation Irreducible', 'Gross'), ('Saturation', 'Water Saturation Irreducible'), ('Well', 'Gross'), ('Well', 'Permeability')]""]"
