0
"[-9640.5, '[Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity, Well]', ""[('Layer', 'Well'), ('Bot', 'NetPay'), ('Gross', 'Top'), ('Gross', 'Permeability'), ('Saturation', 'NetPay'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'Top'), ('Porosity', 'Bot'), ('Porosity', 'NetPay')]""]"
"[-23006.43, '[Well, Layer, Top, Bot, Gross, Porosity, Permeability, Saturation, NetPay, Water Saturation Irreducible]', ""[('Well', 'Top'), ('Layer', 'Well'), ('Layer', 'Porosity'), ('Layer', 'Water Saturation Irreducible'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Permeability', 'Water Saturation Irreducible'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Well'), ('Water Saturation Irreducible', 'Gross')]""]"
"[-10253.51, '[Well, Layer, Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation]', ""[('Layer', 'Porosity'), ('Layer', 'Water Saturation Irreducible'), ('Top', 'NetPay'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Gross', 'Porosity'), ('NetPay', 'Permeability'), ('Porosity', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('Saturation', 'Well'), ('Saturation', 'Gross')]""]"
"[-164387.09, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability, Bot]', ""[('Well', 'Saturation'), ('Well', 'Porosity'), ('Layer', 'Porosity'), ('Gross', 'Top'), ('Gross', 'Water Saturation Irreducible'), ('NetPay', 'Porosity'), ('Porosity', 'Gross'), ('Water Saturation Irreducible', 'Bot'), ('Permeability', 'Porosity')]""]"
"[-660036.97, '[Well, Layer, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, Top, Bot, NetPay]', ""[('Well', 'Bot'), ('Layer', 'Gross'), ('Gross', 'Water Saturation Irreducible'), ('Saturation', 'Water Saturation Irreducible'), ('Porosity', 'Bot'), ('Water Saturation Irreducible', 'Bot'), ('Top', 'Bot'), ('Bot', 'Permeability'), ('NetPay', 'Porosity'), ('NetPay', 'Water Saturation Irreducible'), ('NetPay', 'Bot')]""]"
"[-36267.17, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability]', ""[('Well', 'Gross'), ('Well', 'Saturation'), ('Layer', 'Porosity'), ('Top', 'Water Saturation Irreducible'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Water Saturation Irreducible'), ('Porosity', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross'), ('Permeability', 'Water Saturation Irreducible')]""]"
"[-60606.23, '[Layer, Top, Saturation, Porosity, Water Saturation Irreducible, Bot, NetPay, Well, Gross, Permeability]', ""[('Layer', 'NetPay'), ('Saturation', 'Top'), ('Porosity', 'Top'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Bot', 'Gross'), ('NetPay', 'Porosity'), ('Well', 'Top'), ('Well', 'Saturation'), ('Gross', 'Permeability'), ('Permeability', 'NetPay')]""]"
"[-13378.72, '[Well, Layer, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross, Top]', ""[('Well', 'Permeability'), ('Bot', 'Gross'), ('Saturation', 'Layer'), ('Saturation', 'NetPay'), ('Saturation', 'Porosity'), ('Porosity', 'Bot'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('Gross', 'Permeability'), ('Top', 'Porosity')]""]"
"[-168996.49, '[Well, Layer, Top, Bot, Gross, Porosity, Permeability, Saturation, NetPay, Water Saturation Irreducible]', ""[('Well', 'Gross'), ('Well', 'Permeability'), ('Layer', 'Porosity'), ('Layer', 'Permeability'), ('Layer', 'NetPay'), ('Bot', 'Permeability'), ('Gross', 'Porosity'), ('Gross', 'Permeability'), ('Gross', 'NetPay'), ('Permeability', 'Top'), ('Saturation', 'Layer'), ('Water Saturation Irreducible', 'Gross')]""]"
"[-9016.58, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Bot', 'Porosity'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Top'), ('Gross', 'Permeability'), ('Saturation', 'Well'), ('NetPay', 'Bot'), ('Porosity', 'Top'), ('Permeability', 'Bot'), ('Layer', 'Gross')]""]"
