0
"[-91741.98, '[Well, Layer, Bot, Saturation, NetPay, Porosity, Water Saturation Irreducible, Top, Permeability, Gross]', ""[('Well', 'Bot'), ('Well', 'Saturation'), ('Well', 'Porosity'), ('Well', 'Gross'), ('Layer', 'NetPay'), ('Layer', 'Porosity'), ('Bot', 'NetPay'), ('Saturation', 'Bot'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Permeability'), ('Porosity', 'Top'), ('Top', 'Bot'), ('Permeability', 'Bot'), ('Permeability', 'Porosity')]""]"
"[-8127.8, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Porosity'), ('Layer', 'Permeability'), ('Top', 'Bot'), ('Bot', 'NetPay'), ('Saturation', 'Well'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Gross')]""]"
"[-13192.93, '[Well, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer, Top]', ""[('Well', 'Water Saturation Irreducible'), ('Bot', 'Permeability'), ('Gross', 'NetPay'), ('Gross', 'Permeability'), ('Gross', 'Top'), ('NetPay', 'Bot'), ('Porosity', 'Water Saturation Irreducible'), ('Porosity', 'Top'), ('Water Saturation Irreducible', 'Gross'), ('Layer', 'Saturation'), ('Layer', 'NetPay')]""]"
"[-13004.82, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Top, Permeability]', ""[('Well', 'Top'), ('Layer', 'Gross'), ('Bot', 'Permeability'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Permeability'), ('Porosity', 'Top')]""]"
"[-13944.43, '[Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, Well, NetPay]', ""[('Layer', 'Porosity'), ('Bot', 'Gross'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Well'), ('Water Saturation Irreducible', 'Gross'), ('Well', 'Top'), ('Well', 'Permeability'), ('NetPay', 'Top')]""]"
"[-12825.54, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity]', ""[('Well', 'Bot'), ('Well', 'Gross'), ('Layer', 'Porosity'), ('Gross', 'Top'), ('Gross', 'NetPay'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross')]""]"
"[-33755.42, '[Well, Layer, Top, Bot, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross, Saturation]', ""[('Well', 'Permeability'), ('Top', 'Permeability'), ('Top', 'Gross'), ('Bot', 'Porosity'), ('NetPay', 'Permeability'), ('Porosity', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Layer')]""]"
"[-14979.88, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Water Saturation Irreducible, NetPay, Permeability]', ""[('Well', 'NetPay'), ('Layer', 'Porosity'), ('Layer', 'NetPay'), ('Top', 'Water Saturation Irreducible'), ('Bot', 'Gross'), ('Saturation', 'Well'), ('Saturation', 'Permeability'), ('Porosity', 'Bot'), ('Water Saturation Irreducible', 'Bot'), ('Water Saturation Irreducible', 'Gross')]""]"
"[-17776.19, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Well', 'Porosity'), ('Well', 'Top'), ('Bot', 'Gross'), ('Gross', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('Porosity', 'Bot'), ('Porosity', 'Gross'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'NetPay'), ('Water Saturation Irreducible', 'Top')]""]"
"[-13978.67, '[Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top, Well]', ""[('Layer', 'Porosity'), ('Bot', 'Gross'), ('Gross', 'Top'), ('Saturation', 'Gross'), ('Saturation', 'Well'), ('NetPay', 'Permeability'), ('Porosity', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('Water Saturation Irreducible', 'NetPay'), ('Well', 'Permeability')]""]"
