0
"[-6680.82, '[Tectonic regime, Period, Lithology, Structural setting, Netpay, Porosity, Permeability, Depth, Gross]', ""[('Tectonic regime', 'Structural setting'), ('Period', 'Lithology'), ('Period', 'Porosity'), ('Period', 'Gross'), ('Lithology', 'Permeability'), ('Lithology', 'Depth'), ('Lithology', 'Gross'), ('Structural setting', 'Period'), ('Structural setting', 'Lithology'), ('Structural setting', 'Depth'), ('Structural setting', 'Gross'), ('Netpay', 'Porosity'), ('Porosity', 'Permeability'), ('Porosity', 'Depth'), ('Permeability', 'Depth'), ('Gross', 'Netpay')]""]"
"[-6708.04, '[Netpay, Gross, Period, Structural setting, Tectonic regime, Lithology, Permeability, Porosity, Depth]', ""[('Gross', 'Netpay'), ('Gross', 'Permeability'), ('Gross', 'Porosity'), ('Period', 'Gross'), ('Period', 'Porosity'), ('Structural setting', 'Gross'), ('Structural setting', 'Period'), ('Structural setting', 'Lithology'), ('Structural setting', 'Depth'), ('Tectonic regime', 'Structural setting'), ('Lithology', 'Gross'), ('Lithology', 'Period'), ('Lithology', 'Permeability'), ('Permeability', 'Netpay'), ('Porosity', 'Permeability'), ('Porosity', 'Depth'), ('Depth', 'Permeability')]""]"
"[-6735.67, '[Tectonic regime, Period, Lithology, Structural setting, Gross, Netpay, Porosity, Permeability, Depth]', ""[('Tectonic regime', 'Structural setting'), ('Period', 'Lithology'), ('Period', 'Gross'), ('Period', 'Porosity'), ('Lithology', 'Gross'), ('Lithology', 'Permeability'), ('Structural setting', 'Period'), ('Structural setting', 'Lithology'), ('Structural setting', 'Gross'), ('Structural setting', 'Depth'), ('Gross', 'Netpay'), ('Gross', 'Porosity'), ('Netpay', 'Permeability'), ('Porosity', 'Permeability'), ('Porosity', 'Depth'), ('Depth', 'Netpay')]""]"
"[-6728.85, '[Permeability, Lithology, Structural setting, Tectonic regime, Porosity, Period, Gross, Netpay, Depth]', ""[('Lithology', 'Permeability'), ('Lithology', 'Period'), ('Lithology', 'Gross'), ('Structural setting', 'Lithology'), ('Structural setting', 'Period'), ('Structural setting', 'Gross'), ('Structural setting', 'Depth'), ('Tectonic regime', 'Structural setting'), ('Porosity', 'Permeability'), ('Porosity', 'Netpay'), ('Porosity', 'Depth'), ('Period', 'Porosity'), ('Period', 'Gross'), ('Gross', 'Porosity'), ('Gross', 'Netpay'), ('Netpay', 'Permeability'), ('Netpay', 'Depth'), ('Depth', 'Permeability')]""]"
"[-6814.54, '[Tectonic regime, Period, Lithology, Structural setting, Gross, Netpay, Porosity, Permeability, Depth]', ""[('Tectonic regime', 'Structural setting'), ('Period', 'Lithology'), ('Period', 'Gross'), ('Period', 'Porosity'), ('Lithology', 'Gross'), ('Lithology', 'Porosity'), ('Lithology', 'Permeability'), ('Structural setting', 'Period'), ('Structural setting', 'Lithology'), ('Structural setting', 'Gross'), ('Structural setting', 'Depth'), ('Gross', 'Netpay'), ('Gross', 'Porosity'), ('Gross', 'Depth'), ('Netpay', 'Permeability'), ('Porosity', 'Netpay'), ('Porosity', 'Permeability'), ('Porosity', 'Depth'), ('Depth', 'Netpay'), ('Depth', 'Permeability')]""]"
"[-6770.57, '[Permeability, Lithology, Tectonic regime, Porosity, Period, Structural setting, Gross, Depth, Netpay]', ""[('Lithology', 'Permeability'), ('Lithology', 'Period'), ('Lithology', 'Structural setting'), ('Lithology', 'Gross'), ('Tectonic regime', 'Lithology'), ('Tectonic regime', 'Structural setting'), ('Porosity', 'Permeability'), ('Porosity', 'Depth'), ('Porosity', 'Netpay'), ('Period', 'Porosity'), ('Period', 'Gross'), ('Structural setting', 'Period'), ('Structural setting', 'Gross'), ('Structural setting', 'Depth'), ('Gross', 'Porosity'), ('Gross', 'Netpay'), ('Depth', 'Permeability'), ('Depth', 'Netpay'), ('Netpay', 'Permeability')]""]"
"[-6701.64, '[Tectonic regime, Period, Structural setting, Porosity, Depth, Permeability, Lithology, Gross, Netpay]', ""[('Tectonic regime', 'Structural setting'), ('Tectonic regime', 'Lithology'), ('Period', 'Porosity'), ('Period', 'Gross'), ('Structural setting', 'Period'), ('Structural setting', 'Depth'), ('Structural setting', 'Gross'), ('Porosity', 'Depth'), ('Porosity', 'Permeability'), ('Depth', 'Permeability'), ('Depth', 'Netpay'), ('Permeability', 'Netpay'), ('Lithology', 'Structural setting'), ('Lithology', 'Permeability'), ('Lithology', 'Gross'), ('Gross', 'Porosity'), ('Gross', 'Depth'), ('Gross', 'Permeability'), ('Gross', 'Netpay')]""]"
"[-6728.32, '[Permeability, Lithology, Tectonic regime, Structural setting, Porosity, Period, Gross, Netpay, Depth]', ""[('Lithology', 'Permeability'), ('Lithology', 'Period'), ('Lithology', 'Gross'), ('Tectonic regime', 'Lithology'), ('Tectonic regime', 'Structural setting'), ('Structural setting', 'Lithology'), ('Structural setting', 'Period'), ('Structural setting', 'Gross'), ('Structural setting', 'Depth'), ('Porosity', 'Permeability'), ('Porosity', 'Depth'), ('Period', 'Porosity'), ('Period', 'Gross'), ('Gross', 'Porosity'), ('Gross', 'Netpay'), ('Netpay', 'Permeability'), ('Depth', 'Netpay')]""]"
"[-6835.8, '[Netpay, Gross, Period, Structural setting, Tectonic regime, Lithology, Porosity, Permeability, Depth]', ""[('Gross', 'Netpay'), ('Gross', 'Porosity'), ('Gross', 'Permeability'), ('Gross', 'Depth'), ('Period', 'Gross'), ('Period', 'Lithology'), ('Period', 'Porosity'), ('Structural setting', 'Gross'), ('Structural setting', 'Period'), ('Structural setting', 'Lithology'), ('Structural setting', 'Depth'), ('Tectonic regime', 'Structural setting'), ('Lithology', 'Gross'), ('Lithology', 'Porosity'), ('Lithology', 'Permeability'), ('Porosity', 'Netpay'), ('Porosity', 'Permeability'), ('Porosity', 'Depth'), ('Permeability', 'Netpay'), ('Depth', 'Netpay'), ('Depth', 'Permeability')]""]"
"[-6622.17, '[Period, Lithology, Structural setting, Gross, Netpay, Porosity, Permeability, Depth, Tectonic regime]', ""[('Period', 'Gross'), ('Period', 'Porosity'), ('Lithology', 'Structural setting'), ('Lithology', 'Gross'), ('Lithology', 'Permeability'), ('Lithology', 'Tectonic regime'), ('Structural setting', 'Period'), ('Structural setting', 'Gross'), ('Structural setting', 'Depth'), ('Gross', 'Netpay'), ('Gross', 'Porosity'), ('Porosity', 'Permeability'), ('Porosity', 'Depth'), ('Permeability', 'Netpay'), ('Depth', 'Permeability'), ('Tectonic regime', 'Structural setting')]""]"
