0
"[-398183.29, '[Netpay, Gross, Period, Structural setting, Tectonic regime, Lithology, Depth, Porosity, Permeability]', ""[('Gross', 'Netpay'), ('Gross', 'Permeability'), ('Period', 'Gross'), ('Period', 'Porosity'), ('Structural setting', 'Gross'), ('Structural setting', 'Period'), ('Structural setting', 'Lithology'), ('Structural setting', 'Depth'), ('Tectonic regime', 'Structural setting'), ('Lithology', 'Gross'), ('Lithology', 'Period'), ('Lithology', 'Permeability'), ('Depth', 'Netpay'), ('Depth', 'Gross'), ('Depth', 'Permeability'), ('Porosity', 'Depth'), ('Porosity', 'Permeability'), ('Permeability', 'Netpay')]""]"
"[-126294.61, '[Permeability, Lithology, Porosity, Period, Structural setting, Tectonic regime, Netpay, Gross, Depth]', ""[('Lithology', 'Permeability'), ('Lithology', 'Structural setting'), ('Lithology', 'Tectonic regime'), ('Lithology', 'Gross'), ('Porosity', 'Permeability'), ('Porosity', 'Depth'), ('Period', 'Porosity'), ('Period', 'Gross'), ('Structural setting', 'Period'), ('Structural setting', 'Gross'), ('Structural setting', 'Depth'), ('Tectonic regime', 'Structural setting'), ('Netpay', 'Permeability'), ('Netpay', 'Porosity'), ('Netpay', 'Depth'), ('Gross', 'Netpay'), ('Gross', 'Depth'), ('Depth', 'Permeability')]""]"
"[-91490.54, '[Tectonic regime, Period, Lithology, Structural setting, Netpay, Permeability, Depth, Gross, Porosity]', ""[('Tectonic regime', 'Lithology'), ('Tectonic regime', 'Structural setting'), ('Period', 'Gross'), ('Period', 'Porosity'), ('Lithology', 'Structural setting'), ('Lithology', 'Permeability'), ('Lithology', 'Gross'), ('Structural setting', 'Period'), ('Structural setting', 'Depth'), ('Structural setting', 'Gross'), ('Permeability', 'Netpay'), ('Depth', 'Permeability'), ('Gross', 'Netpay'), ('Gross', 'Depth'), ('Gross', 'Porosity'), ('Porosity', 'Permeability'), ('Porosity', 'Depth')]""]"
"[-98393.62, '[Netpay, Gross, Period, Structural setting, Tectonic regime, Lithology, Depth, Porosity, Permeability]', ""[('Gross', 'Netpay'), ('Gross', 'Porosity'), ('Period', 'Gross'), ('Period', 'Lithology'), ('Period', 'Porosity'), ('Structural setting', 'Gross'), ('Structural setting', 'Period'), ('Structural setting', 'Lithology'), ('Structural setting', 'Depth'), ('Tectonic regime', 'Structural setting'), ('Lithology', 'Gross'), ('Lithology', 'Permeability'), ('Depth', 'Netpay'), ('Porosity', 'Depth'), ('Porosity', 'Permeability'), ('Permeability', 'Depth')]""]"
"[-104112.8, '[Permeability, Lithology, Tectonic regime, Structural setting, Porosity, Period, Netpay, Gross, Depth]', ""[('Lithology', 'Permeability'), ('Lithology', 'Period'), ('Lithology', 'Gross'), ('Tectonic regime', 'Lithology'), ('Tectonic regime', 'Structural setting'), ('Structural setting', 'Lithology'), ('Structural setting', 'Period'), ('Structural setting', 'Gross'), ('Structural setting', 'Depth'), ('Porosity', 'Permeability'), ('Porosity', 'Depth'), ('Period', 'Porosity'), ('Period', 'Gross'), ('Netpay', 'Porosity'), ('Gross', 'Netpay'), ('Depth', 'Permeability')]""]"
"[-96752.97, '[Netpay, Gross, Period, Structural setting, Tectonic regime, Lithology, Porosity, Permeability, Depth]', ""[('Gross', 'Netpay'), ('Gross', 'Porosity'), ('Period', 'Gross'), ('Period', 'Lithology'), ('Period', 'Porosity'), ('Structural setting', 'Gross'), ('Structural setting', 'Period'), ('Structural setting', 'Depth'), ('Tectonic regime', 'Structural setting'), ('Tectonic regime', 'Lithology'), ('Lithology', 'Gross'), ('Lithology', 'Permeability'), ('Porosity', 'Netpay'), ('Porosity', 'Permeability'), ('Porosity', 'Depth'), ('Permeability', 'Netpay'), ('Depth', 'Permeability')]""]"
"[-120217.47, '[Permeability, Lithology, Structural setting, Tectonic regime, Porosity, Period, Gross, Depth, Netpay]', ""[('Lithology', 'Permeability'), ('Lithology', 'Period'), ('Lithology', 'Gross'), ('Structural setting', 'Lithology'), ('Structural setting', 'Period'), ('Structural setting', 'Gross'), ('Structural setting', 'Depth'), ('Tectonic regime', 'Structural setting'), ('Porosity', 'Permeability'), ('Porosity', 'Depth'), ('Period', 'Porosity'), ('Period', 'Gross'), ('Gross', 'Porosity'), ('Gross', 'Netpay'), ('Depth', 'Permeability'), ('Depth', 'Netpay'), ('Netpay', 'Permeability')]""]"
"[-105744.5, '[Depth, Structural setting, Tectonic regime, Lithology, Porosity, Period, Netpay, Gross, Permeability]', ""[('Structural setting', 'Depth'), ('Structural setting', 'Period'), ('Structural setting', 'Gross'), ('Tectonic regime', 'Structural setting'), ('Tectonic regime', 'Lithology'), ('Lithology', 'Structural setting'), ('Lithology', 'Gross'), ('Lithology', 'Permeability'), ('Porosity', 'Depth'), ('Porosity', 'Permeability'), ('Period', 'Porosity'), ('Period', 'Gross'), ('Netpay', 'Depth'), ('Netpay', 'Porosity'), ('Gross', 'Netpay'), ('Gross', 'Permeability'), ('Permeability', 'Depth')]""]"
"[-375107.55, '[Depth, Structural setting, Tectonic regime, Porosity, Period, Lithology, Netpay, Gross, Permeability]', ""[('Structural setting', 'Depth'), ('Structural setting', 'Period'), ('Structural setting', 'Lithology'), ('Structural setting', 'Gross'), ('Tectonic regime', 'Structural setting'), ('Porosity', 'Depth'), ('Porosity', 'Permeability'), ('Period', 'Porosity'), ('Period', 'Gross'), ('Lithology', 'Period'), ('Lithology', 'Gross'), ('Lithology', 'Permeability'), ('Netpay', 'Depth'), ('Gross', 'Netpay'), ('Permeability', 'Gross')]""]"
"[-126496.12, '[Permeability, Lithology, Porosity, Period, Structural setting, Tectonic regime, Depth, Gross, Netpay]', ""[('Lithology', 'Permeability'), ('Lithology', 'Structural setting'), ('Lithology', 'Gross'), ('Porosity', 'Permeability'), ('Porosity', 'Depth'), ('Porosity', 'Netpay'), ('Period', 'Porosity'), ('Period', 'Gross'), ('Structural setting', 'Period'), ('Structural setting', 'Depth'), ('Structural setting', 'Gross'), ('Tectonic regime', 'Lithology'), ('Tectonic regime', 'Structural setting'), ('Depth', 'Permeability'), ('Gross', 'Porosity'), ('Gross', 'Depth'), ('Gross', 'Netpay'), ('Netpay', 'Permeability'), ('Netpay', 'Depth')]""]"
