0
"[-8524.74, '[Tectonic regime, Period, Lithology, Gross, Netpay, Porosity, Permeability, Depth, Structural setting]', ""[('Tectonic regime', 'Structural setting'), ('Period', 'Lithology'), ('Period', 'Gross'), ('Period', 'Porosity'), ('Lithology', 'Gross'), ('Lithology', 'Porosity'), ('Lithology', 'Permeability'), ('Gross', 'Netpay'), ('Gross', 'Permeability'), ('Netpay', 'Depth'), ('Porosity', 'Gross'), ('Porosity', 'Permeability'), ('Porosity', 'Depth'), ('Permeability', 'Netpay'), ('Structural setting', 'Period'), ('Structural setting', 'Lithology'), ('Structural setting', 'Gross'), ('Structural setting', 'Depth')]""]"
"[-8301.55, '[Depth, Structural setting, Tectonic regime, Lithology, Porosity, Period, Netpay, Gross, Permeability]', ""[('Structural setting', 'Depth'), ('Structural setting', 'Period'), ('Structural setting', 'Gross'), ('Tectonic regime', 'Structural setting'), ('Tectonic regime', 'Lithology'), ('Lithology', 'Structural setting'), ('Lithology', 'Gross'), ('Lithology', 'Permeability'), ('Porosity', 'Depth'), ('Porosity', 'Permeability'), ('Period', 'Porosity'), ('Period', 'Gross'), ('Netpay', 'Depth'), ('Netpay', 'Porosity'), ('Gross', 'Netpay'), ('Gross', 'Permeability'), ('Permeability', 'Depth')]""]"
"[-8583.1, '[Depth, Structural setting, Tectonic regime, Lithology, Porosity, Period, Gross, Permeability, Netpay]', ""[('Structural setting', 'Depth'), ('Structural setting', 'Period'), ('Structural setting', 'Gross'), ('Tectonic regime', 'Structural setting'), ('Tectonic regime', 'Lithology'), ('Lithology', 'Structural setting'), ('Lithology', 'Period'), ('Lithology', 'Gross'), ('Lithology', 'Permeability'), ('Porosity', 'Depth'), ('Porosity', 'Permeability'), ('Porosity', 'Netpay'), ('Period', 'Porosity'), ('Period', 'Gross'), ('Gross', 'Porosity'), ('Gross', 'Netpay'), ('Permeability', 'Depth'), ('Netpay', 'Permeability')]""]"
"[-8613.66, '[Depth, Structural setting, Tectonic regime, Porosity, Period, Lithology, Permeability, Gross, Netpay]', ""[('Structural setting', 'Depth'), ('Structural setting', 'Period'), ('Structural setting', 'Lithology'), ('Structural setting', 'Gross'), ('Tectonic regime', 'Structural setting'), ('Porosity', 'Depth'), ('Porosity', 'Permeability'), ('Porosity', 'Gross'), ('Porosity', 'Netpay'), ('Period', 'Porosity'), ('Period', 'Gross'), ('Lithology', 'Period'), ('Lithology', 'Permeability'), ('Lithology', 'Gross'), ('Permeability', 'Depth'), ('Permeability', 'Netpay'), ('Gross', 'Permeability'), ('Gross', 'Netpay'), ('Netpay', 'Depth')]""]"
"[-8118.08, '[Netpay, Gross, Period, Structural setting, Tectonic regime, Lithology, Permeability, Porosity, Depth]', ""[('Gross', 'Netpay'), ('Gross', 'Depth'), ('Period', 'Gross'), ('Period', 'Porosity'), ('Structural setting', 'Gross'), ('Structural setting', 'Period'), ('Structural setting', 'Depth'), ('Tectonic regime', 'Structural setting'), ('Tectonic regime', 'Lithology'), ('Lithology', 'Gross'), ('Lithology', 'Period'), ('Lithology', 'Structural setting'), ('Lithology', 'Permeability'), ('Permeability', 'Gross'), ('Permeability', 'Depth'), ('Porosity', 'Permeability'), ('Porosity', 'Depth'), ('Depth', 'Netpay')]""]"
"[-8477.83, '[Permeability, Lithology, Period, Structural setting, Tectonic regime, Porosity, Gross, Depth, Netpay]', ""[('Lithology', 'Permeability'), ('Lithology', 'Porosity'), ('Lithology', 'Gross'), ('Period', 'Lithology'), ('Period', 'Porosity'), ('Period', 'Gross'), ('Structural setting', 'Period'), ('Structural setting', 'Gross'), ('Structural setting', 'Depth'), ('Tectonic regime', 'Structural setting'), ('Porosity', 'Permeability'), ('Porosity', 'Gross'), ('Porosity', 'Depth'), ('Porosity', 'Netpay'), ('Gross', 'Permeability'), ('Gross', 'Netpay'), ('Depth', 'Permeability'), ('Netpay', 'Depth')]""]"
"[-8629.59, '[Depth, Structural setting, Tectonic regime, Porosity, Period, Lithology, Gross, Permeability, Netpay]', ""[('Structural setting', 'Depth'), ('Structural setting', 'Period'), ('Structural setting', 'Lithology'), ('Structural setting', 'Gross'), ('Tectonic regime', 'Structural setting'), ('Tectonic regime', 'Lithology'), ('Porosity', 'Depth'), ('Porosity', 'Permeability'), ('Porosity', 'Netpay'), ('Period', 'Porosity'), ('Period', 'Gross'), ('Lithology', 'Period'), ('Lithology', 'Gross'), ('Lithology', 'Permeability'), ('Gross', 'Porosity'), ('Gross', 'Netpay'), ('Permeability', 'Depth'), ('Netpay', 'Depth'), ('Netpay', 'Permeability')]""]"
"[-8023.39, '[Tectonic regime, Period, Lithology, Structural setting, Gross, Netpay, Porosity, Depth, Permeability]', ""[('Tectonic regime', 'Structural setting'), ('Period', 'Lithology'), ('Period', 'Gross'), ('Period', 'Porosity'), ('Lithology', 'Gross'), ('Lithology', 'Permeability'), ('Structural setting', 'Period'), ('Structural setting', 'Lithology'), ('Structural setting', 'Gross'), ('Structural setting', 'Depth'), ('Gross', 'Netpay'), ('Netpay', 'Porosity'), ('Porosity', 'Depth'), ('Porosity', 'Permeability'), ('Permeability', 'Depth')]""]"
"[-8664.49, '[Gross, Netpay, Porosity, Permeability, Depth, Lithology, Tectonic regime, Period, Structural setting]', ""[('Gross', 'Netpay'), ('Gross', 'Depth'), ('Netpay', 'Permeability'), ('Porosity', 'Gross'), ('Porosity', 'Permeability'), ('Porosity', 'Depth'), ('Depth', 'Netpay'), ('Depth', 'Permeability'), ('Lithology', 'Gross'), ('Lithology', 'Porosity'), ('Lithology', 'Permeability'), ('Tectonic regime', 'Structural setting'), ('Period', 'Gross'), ('Period', 'Porosity'), ('Period', 'Lithology'), ('Structural setting', 'Gross'), ('Structural setting', 'Depth'), ('Structural setting', 'Lithology'), ('Structural setting', 'Period')]""]"
"[-8074.74, '[Netpay, Gross, Period, Structural setting, Tectonic regime, Lithology, Depth, Porosity, Permeability]', ""[('Gross', 'Netpay'), ('Gross', 'Porosity'), ('Period', 'Gross'), ('Period', 'Porosity'), ('Structural setting', 'Gross'), ('Structural setting', 'Period'), ('Structural setting', 'Depth'), ('Tectonic regime', 'Structural setting'), ('Tectonic regime', 'Lithology'), ('Lithology', 'Gross'), ('Lithology', 'Structural setting'), ('Lithology', 'Permeability'), ('Depth', 'Netpay'), ('Porosity', 'Depth'), ('Porosity', 'Permeability'), ('Permeability', 'Depth')]""]"
