Well,Layer,Top,Bot,Gross,Saturation,NetPay,Porosity,Permeability,Water Saturation Irreducible
1,LAYER10/0-1,2822.4,2823.8,1.4,OIL,0.5,17.2,2.0,32.37
1,LAYER10/0-1,2826.2,2827.0,0.8,OIL,0.8,15.13,0.47,42.95
2,LAYER10/0-1,2693.8,2694.4,0.6,OIL,0.6,17.5,1.98,45.53
2,LAYER10/0-1,2696.8,2697.8,1.0,OIL,1.0,17.36,4.05,47.57
2,LAYER10/0-1,2703.4,2703.8,0.4,OIL,0.4,18.61,5.79,37.46
2,LAYER10/0-1,2704.4,2705.4,1.0,OIL,1.0,17.71,2.85,47.93
2,LAYER10/0-1,2706.6,2707.0,0.4,OIL,0.4,18.54,5.29,40.16
2,LAYER10/0-1,2711.8,2713.6,1.8,OIL,1.8,18.61,10.37,38.67
2,LAYER10/0-1,2715.2,2716.0,0.8,OIL,0.8,19.0,8.49,37.45
3,LAYER10/0-1,2427.8,2430.8,3.0,OIL,3.0,18.77,10.19,34.85
3,LAYER10/0-1,2434.6,2436.2,1.6,OIL,1.1,18.25,4.57,33.37
4,LAYER10/0-1,2670.6,2671.4,0.8,OIL,0.8,14.96,0.48,53.68
4,LAYER10/0-1,2673.4,2674.4,1.0,OIL,1.0,15.1,0.58,49.22
4,LAYER10/0-1,2675.6,2676.0,0.4,OIL,0.4,15.95,0.95,46.22
4,LAYER10/0-1,2679.2,2679.6,0.4,OIL,0.4,16.25,1.34,45.83
5,LAYER10/0-1,2692.0,2693.2,1.2,OIL,0.65,16.1,0.47,59.66
5,LAYER10/0-1,2701.2,2702.6,1.4,OIL,1.4,16.05,0.75,60.58
5,LAYER10/0-1,2703.1,2703.5,0.4,OIL,0.4,17.12,1.75,43.8
6,LAYER10/0-1,2710.0,2710.8,0.8,OIL,0.8,14.84,0.59,55.78
6,LAYER10/0-1,2711.2,2713.3,2.1,OIL,2.1,14.88,0.75,51.72
6,LAYER10/0-1,2717.3,2720.0,2.7,OIL,2.59,14.93,0.73,48.78
6,LAYER10/0-1,2721.6,2723.2,1.6,OIL,1.6,16.39,1.1,45.86
6,LAYER10/0-1,2724.0,2725.0,1.0,OIL,1.0,15.56,0.76,49.62
6,LAYER10/0-1,2726.6,2727.4,0.8,OIL,0.8,16.71,1.09,47.19
6,LAYER10/0-1,2727.4,2728.0,0.6,OIL,0.6,16.5,1.09,43.37
6,LAYER10/0-1,2729.0,2729.7,0.7,OIL,0.7,15.27,0.42,60.09
6,LAYER10/0-1,2731.0,2731.8,0.8,OIL,0.8,15.75,0.52,51.41
6,LAYER10/0-1,2733.2,2733.6,0.4,OIL,0.4,15.78,0.88,53.02
6,LAYER10/0-1,2734.0,2734.4,0.4,OIL,0.4,15.62,0.87,52.81
6,LAYER10/0-1,2735.8,2737.2,1.4,OIL,1.4,16.68,1.56,42.78
7,LAYER10/0-1,2684.2,2684.8,0.6,OIL,0.6,15.95,0.45,62.4
7,LAYER10/0-1,2693.2,2693.6,0.4,OIL,0.4,14.5,0.6,58.0
7,LAYER10/0-1,2693.6,2694.0,0.4,OIL,0.4,14.6,0.4,63.6
7,LAYER10/0-1,2698.6,2699.2,0.6,OIL,0.6,15.45,0.7,61.9
7,LAYER10/0-1,2699.8,2701.3,1.5,OIL,1.5,15.48,1.25,46.0
8,LAYER10/0-1,2674.0,2674.4,0.4,OIL,0.4,14.56,0.58,57.28
8,LAYER10/0-1,2674.7,2675.1,0.4,OIL,0.4,16.86,1.56,48.87
8,LAYER10/0-1,2675.3,2676.0,0.7,OIL,0.7,15.78,0.76,51.56
8,LAYER10/0-1,2681.6,2682.6,1.0,OIL,1.0,18.4,8.82,35.05
8,LAYER10/0-1,2698.4,2699.8,1.4,OIL,1.4,16.61,3.59,41.47
8,LAYER10/0-1,2701.1,2701.5,0.4,OIL,0.4,16.95,3.21,39.34
8,LAYER10/0-1,2702.8,2703.4,0.6,OIL,0.6,16.43,4.51,46.69
8,LAYER10/0-1,2705.0,2706.3,1.3,OIL,1.3,17.14,8.22,37.33
8,LAYER10/0-1,2708.2,2709.1,0.9,OIL,0.2,16.07,3.65,38.38
9,LAYER10/0-1,2632.0,2638.6,6.6,OIL,6.6,16.88,1.26,49.27
9,LAYER10/0-1,2639.0,2639.6,0.6,OIL,0.5,18.38,2.65,45.74
9,LAYER10/0-1,2646.0,2651.0,5.0,OIL,4.95,16.03,0.78,53.0
9,LAYER10/0-1,2657.4,2659.6,2.2,OIL,2.2,15.95,0.68,59.79
9,LAYER10/0-1,2662.2,2663.6,1.4,OIL,1.25,17.63,0.81,52.35
9,LAYER10/0-1,2672.2,2674.4,2.2,OIL,2.2,15.69,0.9,49.82
9,LAYER10/0-1,2678.6,2680.4,1.8,OIL,1.8,15.47,1.03,42.51
10,LAYER10/0-1,2614.2,2615.0,0.8,OIL,0.8,15.59,0.44,55.09
10,LAYER10/0-1,2628.0,2629.5,1.5,OIL,1.5,15.89,0.8,50.24
10,LAYER10/0-1,2634.4,2636.8,2.4,OIL,2.4,16.94,1.24,47.16
11,LAYER10/0-1,2542.2,2543.0,0.8,OIL,0.8,15.12,17.27,42.96
11,LAYER10/0-1,2544.2,2545.2,1.0,OIL,1.0,14.7,10.78,42.0
11,LAYER10/0-1,2546.0,2546.4,0.4,OIL,0.4,14.5,13.91,40.5
12,LAYER10/0-1,2580.8,2582.0,1.2,OIL,1.2,15.56,2.57,39.1
12,LAYER10/0-1,2583.2,2584.4,1.2,OIL,1.2,16.65,7.1,38.4
12,LAYER10/0-1,2584.8,2585.8,1.0,OIL,0.4,15.93,3.56,44.57
14,LAYER10/1-3,2506.6,2507.2,0.6,OIL,0.6,17.25,1.85,43.85
15,LAYER10/1-3,2661.0,2661.7,0.7,OIL,0.7,15.13,0.83,54.1
15,LAYER10/1-3,2662.1,2662.4,0.3,OIL,0.3,17.75,1.15,48.9
