0
"[-6560.01, '[Period, Lithology, Structural setting, Porosity, Permeability, Depth, Gross, Netpay, Tectonic regime]', ""[('Lithology', 'Permeability'), ('Structural setting', 'Period'), ('Porosity', 'Depth'), ('Gross', 'Netpay'), ('Tectonic regime', 'Structural setting')]""]"
"[-6525.68, '[Period, Netpay, Porosity, Permeability, Tectonic regime, Structural setting, Lithology, Gross, Depth]', ""[('Porosity', 'Permeability'), ('Porosity', 'Depth'), ('Tectonic regime', 'Structural setting'), ('Structural setting', 'Period'), ('Lithology', 'Gross'), ('Gross', 'Netpay')]""]"
"[-6561.94, '[Lithology, Structural setting, Gross, Netpay, Porosity, Permeability, Depth, Tectonic regime, Period]', ""[('Lithology', 'Gross'), ('Lithology', 'Permeability'), ('Structural setting', 'Period'), ('Gross', 'Netpay'), ('Porosity', 'Depth'), ('Tectonic regime', 'Structural setting')]""]"
"[-6542.49, '[Lithology, Structural setting, Gross, Netpay, Porosity, Permeability, Depth, Tectonic regime, Period]', ""[('Lithology', 'Gross'), ('Lithology', 'Permeability'), ('Structural setting', 'Depth'), ('Structural setting', 'Period'), ('Gross', 'Netpay'), ('Porosity', 'Depth'), ('Tectonic regime', 'Structural setting')]""]"
"[-6552.94, '[Tectonic regime, Lithology, Structural setting, Gross, Porosity, Permeability, Depth, Netpay, Period]', ""[('Tectonic regime', 'Structural setting'), ('Lithology', 'Permeability'), ('Gross', 'Netpay'), ('Porosity', 'Depth'), ('Period', 'Gross')]""]"
"[-6552.94, '[Tectonic regime, Period, Lithology, Gross, Netpay, Porosity, Permeability, Depth, Structural setting]', ""[('Tectonic regime', 'Structural setting'), ('Period', 'Gross'), ('Lithology', 'Permeability'), ('Gross', 'Netpay'), ('Porosity', 'Depth')]""]"
"[-6561.94, '[Tectonic regime, Period, Permeability, Depth, Lithology, Porosity, Netpay, Structural setting, Gross]', ""[('Tectonic regime', 'Structural setting'), ('Lithology', 'Permeability'), ('Lithology', 'Gross'), ('Porosity', 'Depth'), ('Structural setting', 'Period'), ('Gross', 'Netpay')]""]"
"[-6510.29, '[Tectonic regime, Period, Structural setting, Depth, Netpay, Porosity, Gross, Permeability, Lithology]', ""[('Tectonic regime', 'Structural setting'), ('Period', 'Porosity'), ('Structural setting', 'Depth'), ('Gross', 'Netpay'), ('Lithology', 'Gross'), ('Lithology', 'Permeability')]""]"
"[-6552.94, '[Period, Lithology, Structural setting, Netpay, Permeability, Tectonic regime, Porosity, Depth, Gross]', ""[('Period', 'Gross'), ('Lithology', 'Permeability'), ('Tectonic regime', 'Structural setting'), ('Porosity', 'Depth'), ('Gross', 'Netpay')]""]"
"[-6560.01, '[Tectonic regime, Period, Lithology, Structural setting, Permeability, Gross, Depth, Porosity, Netpay]', ""[('Tectonic regime', 'Structural setting'), ('Lithology', 'Permeability'), ('Structural setting', 'Period'), ('Gross', 'Netpay'), ('Porosity', 'Depth')]""]"
