0
"[-14244.32, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Well', 'Gross'), ('Well', 'Permeability'), ('Well', 'Top'), ('Layer', 'Well'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Water Saturation Irreducible'), ('Permeability', 'Porosity')]""]"
"[-9316.18, '[Well, Bot, Gross, Saturation, Porosity, Permeability, Top, Water Saturation Irreducible, Layer, NetPay]', ""[('Well', 'Permeability'), ('Well', 'Top'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Well'), ('Water Saturation Irreducible', 'Gross'), ('Layer', 'Porosity')]""]"
"[-7811.23, '[Layer, Bot, Gross, Saturation, Permeability, Water Saturation Irreducible, NetPay, Top, Porosity, Well]', ""[('Layer', 'Porosity'), ('Gross', 'NetPay'), ('Saturation', 'Layer'), ('Permeability', 'Water Saturation Irreducible'), ('Top', 'Bot'), ('Well', 'Gross')]""]"
"[-7526.96, '[Well, Layer, Top, Gross, Permeability, Water Saturation Irreducible, Bot, Porosity, Saturation, NetPay]', ""[('Top', 'Bot'), ('Gross', 'NetPay'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Bot', 'Gross'), ('Saturation', 'Well'), ('Saturation', 'Layer')]""]"
"[-12993.66, '[Layer, Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well, Saturation]', ""[('Bot', 'Gross'), ('Gross', 'NetPay'), ('Permeability', 'Porosity'), ('Well', 'Top'), ('Well', 'Gross'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible')]""]"
"[-8298.83, '[Top, Bot, Saturation, Porosity, Permeability, Water Saturation Irreducible, Layer, NetPay, Well, Gross]', ""[('Bot', 'Gross'), ('Saturation', 'Water Saturation Irreducible'), ('Permeability', 'Porosity'), ('Layer', 'Porosity'), ('Well', 'Top'), ('Gross', 'NetPay')]""]"
"[-9316.18, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Well', 'Top'), ('Well', 'Permeability'), ('Layer', 'Porosity'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Well'), ('Water Saturation Irreducible', 'Gross')]""]"
"[-8298.68, '[Top, NetPay, Porosity, Water Saturation Irreducible, Layer, Permeability, Bot, Gross, Saturation, Well]', ""[('Water Saturation Irreducible', 'Gross'), ('Permeability', 'Porosity'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Layer'), ('Well', 'Top')]""]"
"[-7869.65, '[Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay, Well]', ""[('Layer', 'Porosity'), ('Top', 'Bot'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Water Saturation Irreducible'), ('Well', 'Permeability')]""]"
"[-7333.65, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability]', ""[('Layer', 'Porosity'), ('Top', 'Bot'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Well'), ('Saturation', 'Water Saturation Irreducible'), ('Permeability', 'Water Saturation Irreducible')]""]"
