0
"[-10416.71, '[Well, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability, Layer, Top]', ""[('Well', 'Top'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Well'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('Water Saturation Irreducible', 'Gross'), ('Permeability', 'Water Saturation Irreducible'), ('Layer', 'Well'), ('Layer', 'Porosity')]""]"
"[-7883.79, '[Layer, Top, Bot, NetPay, Permeability, Water Saturation Irreducible, Well, Saturation, Gross, Porosity]', ""[('Layer', 'Porosity'), ('Top', 'Bot'), ('Water Saturation Irreducible', 'Gross'), ('Well', 'Permeability'), ('Saturation', 'Water Saturation Irreducible'), ('Gross', 'NetPay')]""]"
"[-34686.65, '[Layer, Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well, Saturation]', ""[('Layer', 'Porosity'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('Well', 'Top'), ('Well', 'Gross'), ('Well', 'Permeability'), ('Saturation', 'Layer'), ('Saturation', 'Well')]""]"
"[-9335.98, '[Layer, Top, Saturation, Porosity, Permeability, Water Saturation Irreducible, Well, NetPay, Gross, Bot]', ""[('Layer', 'Porosity'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Well'), ('Water Saturation Irreducible', 'Gross'), ('Well', 'Top'), ('Well', 'Permeability'), ('Gross', 'NetPay'), ('Bot', 'Gross')]""]"
"[-7971.34, '[Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well, Bot]', ""[('Gross', 'NetPay'), ('Saturation', 'Layer'), ('Permeability', 'Porosity'), ('Permeability', 'Water Saturation Irreducible'), ('Well', 'Top'), ('Bot', 'Gross')]""]"
"[-8298.83, '[Layer, Bot, Gross, Porosity, Water Saturation Irreducible, Permeability, Saturation, NetPay, Well, Top]', ""[('Layer', 'Porosity'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Permeability', 'Porosity'), ('Saturation', 'Water Saturation Irreducible'), ('Well', 'Top')]""]"
"[-8310.33, '[Well, Bot, Saturation, NetPay, Porosity, Permeability, Layer, Top, Water Saturation Irreducible, Gross]', ""[('Well', 'Top'), ('Bot', 'Gross'), ('Saturation', 'Water Saturation Irreducible'), ('Permeability', 'Water Saturation Irreducible'), ('Layer', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Gross', 'NetPay')]""]"
"[-13771.56, '[Well, Bot, Gross, Porosity, Water Saturation Irreducible, NetPay, Permeability, Saturation, Top, Layer]', ""[('Well', 'Gross'), ('Well', 'Permeability'), ('Well', 'Top'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Water Saturation Irreducible'), ('Layer', 'Porosity')]""]"
"[-9085.93, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross]', ""[('Well', 'Top'), ('Well', 'Permeability'), ('Layer', 'Porosity'), ('Bot', 'Gross'), ('Saturation', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross'), ('Gross', 'NetPay')]""]"
"[-8061.56, '[Well, Top, Bot, Porosity, Permeability, Water Saturation Irreducible, NetPay, Layer, Gross, Saturation]', ""[('Well', 'Top'), ('Bot', 'Gross'), ('Permeability', 'Water Saturation Irreducible'), ('Layer', 'Porosity'), ('Gross', 'NetPay'), ('Saturation', 'Layer')]""]"
