0
"[-9085.93, '[Well, Layer, Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation]', ""[('Well', 'Top'), ('Well', 'Permeability'), ('Layer', 'Porosity'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('Saturation', 'Water Saturation Irreducible')]""]"
"[-7615.35, '[Top, Bot, Gross, Permeability, Water Saturation Irreducible, Porosity, Well, Saturation, NetPay, Layer]', ""[('Bot', 'Gross'), ('Gross', 'NetPay'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('Layer', 'Porosity')]""]"
"[-7971.34, '[Layer, Top, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross, Bot, Well]', ""[('Saturation', 'Layer'), ('Permeability', 'Porosity'), ('Permeability', 'Water Saturation Irreducible'), ('Gross', 'NetPay'), ('Bot', 'Gross'), ('Well', 'Top')]""]"
"[-8103.07, '[Top, Bot, Gross, Porosity, Permeability, Water Saturation Irreducible, Layer, Saturation, Well, NetPay]', ""[('Bot', 'Gross'), ('Gross', 'NetPay'), ('Permeability', 'Porosity'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('Well', 'Top')]""]"
"[-8298.68, '[Bot, Gross, NetPay, Permeability, Water Saturation Irreducible, Top, Layer, Porosity, Saturation, Well]', ""[('Bot', 'Gross'), ('Gross', 'NetPay'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Saturation', 'Layer'), ('Well', 'Top')]""]"
"[-8026.03, '[Top, Bot, Saturation, NetPay, Porosity, Permeability, Well, Gross, Water Saturation Irreducible, Layer]', ""[('Bot', 'Gross'), ('Saturation', 'Layer'), ('Permeability', 'Porosity'), ('Well', 'Top'), ('Water Saturation Irreducible', 'Gross')]""]"
"[-33907.63, '[Well, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, Layer, NetPay]', ""[('Well', 'Top'), ('Well', 'Gross'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Well'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross')]""]"
"[-7279.37, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay]', ""[('Layer', 'Porosity'), ('Top', 'Bot'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Well'), ('Permeability', 'Water Saturation Irreducible')]""]"
"[-9087.04, '[Well, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer, Top, Gross]', ""[('Well', 'Permeability'), ('Well', 'Top'), ('Bot', 'Gross'), ('Saturation', 'Layer'), ('Water Saturation Irreducible', 'Gross'), ('Layer', 'Porosity'), ('Gross', 'NetPay')]""]"
"[-8996.83, '[Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Layer, Porosity, Well]', ""[('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Layer'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Well', 'Top'), ('Well', 'Permeability')]""]"
