0
"[-8075.72, '[Layer, Bot, Gross, Saturation, Porosity, Water Saturation Irreducible, Well, NetPay, Top, Permeability]', ""[('Layer', 'Porosity'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Layer'), ('Water Saturation Irreducible', 'Gross'), ('Well', 'Permeability'), ('Top', 'Bot')]""]"
"[-8929.28, '[Well, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer, Saturation, Top]', ""[('Well', 'Permeability'), ('Well', 'Top'), ('Bot', 'Gross'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Layer', 'Porosity'), ('Saturation', 'Water Saturation Irreducible')]""]"
"[-34403.54, '[Well, Bot, Gross, NetPay, Porosity, Water Saturation Irreducible, Top, Permeability, Layer, Saturation]', ""[('Well', 'Gross'), ('Well', 'Top'), ('Well', 'Permeability'), ('Bot', 'Gross'), ('Water Saturation Irreducible', 'Gross'), ('Layer', 'Porosity'), ('Saturation', 'Well')]""]"
"[-8538.42, '[Well, Bot, Gross, Porosity, Permeability, Water Saturation Irreducible, Top, Layer, Saturation, NetPay]', ""[('Well', 'Top'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Permeability', 'Porosity'), ('Layer', 'Porosity'), ('Saturation', 'Well'), ('Saturation', 'Water Saturation Irreducible')]""]"
"[-8506.1, '[Well, Top, Bot, Gross, Porosity, Permeability, Water Saturation Irreducible, NetPay, Layer, Saturation]', ""[('Well', 'Top'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross'), ('Layer', 'Porosity'), ('Saturation', 'Well'), ('Saturation', 'Layer')]""]"
"[-12428.15, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Gross, Water Saturation Irreducible]', ""[('Well', 'Gross'), ('Layer', 'Porosity'), ('Top', 'Bot'), ('Bot', 'Gross'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible'), ('Permeability', 'Porosity'), ('Gross', 'NetPay')]""]"
"[-7789.9, '[Layer, Top, Bot, NetPay, Permeability, Well, Gross, Porosity, Water Saturation Irreducible, Saturation]', ""[('Top', 'Bot'), ('Bot', 'Gross'), ('Permeability', 'Porosity'), ('Well', 'Permeability'), ('Gross', 'NetPay'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible')]""]"
"[-8314.2, '[Top, Bot, Saturation, Porosity, Permeability, Water Saturation Irreducible, Gross, NetPay, Well, Layer]', ""[('Top', 'Bot'), ('Bot', 'Gross'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Well'), ('Water Saturation Irreducible', 'Gross'), ('Gross', 'NetPay'), ('Well', 'Permeability'), ('Layer', 'Porosity')]""]"
"[-8105.38, '[Gross, Water Saturation Irreducible, Saturation, Permeability, Bot, NetPay, Well, Porosity, Top, Layer]', ""[('Gross', 'NetPay'), ('Saturation', 'Water Saturation Irreducible'), ('Permeability', 'Water Saturation Irreducible'), ('Bot', 'Gross'), ('Well', 'Top'), ('Layer', 'Porosity')]""]"
"[-9245.76, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Well', 'Top'), ('Well', 'Permeability'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross')]""]"
