0
"[-8298.68, '[Top, Bot, Saturation, Porosity, Permeability, Well, Gross, Water Saturation Irreducible, Layer, NetPay]', ""[('Bot', 'Gross'), ('Saturation', 'Layer'), ('Permeability', 'Porosity'), ('Well', 'Top'), ('Gross', 'NetPay'), ('Water Saturation Irreducible', 'Gross')]""]"
"[-8061.56, '[Layer, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation, Well, Bot, Top]', ""[('Layer', 'Porosity'), ('Gross', 'NetPay'), ('Permeability', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('Well', 'Top'), ('Bot', 'Gross')]""]"
"[-8608.32, '[Well, Layer, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top, Gross]', ""[('Well', 'Permeability'), ('Well', 'Top'), ('Layer', 'Porosity'), ('Bot', 'Gross'), ('Saturation', 'Water Saturation Irreducible')]""]"
"[-9085.93, '[Well, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Layer, Permeability, Bot, Top]', ""[('Well', 'Permeability'), ('Well', 'Top'), ('Gross', 'NetPay'), ('Saturation', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross'), ('Layer', 'Porosity'), ('Bot', 'Gross')]""]"
"[-7358.25, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability]', ""[('Layer', 'Porosity'), ('Top', 'Bot'), ('Gross', 'NetPay'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross'), ('Permeability', 'Water Saturation Irreducible')]""]"
"[-8103.07, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Well', 'Top'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible'), ('Permeability', 'Porosity')]""]"
"[-35521.2, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Porosity'), ('Layer', 'Well'), ('Top', 'Bot'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Well'), ('Water Saturation Irreducible', 'Gross'), ('Well', 'Gross'), ('Well', 'Permeability')]""]"
"[-7716.14, '[Well, Top, Gross, Porosity, Permeability, Water Saturation Irreducible, Saturation, Bot, NetPay, Layer]', ""[('Well', 'Permeability'), ('Top', 'Bot'), ('Gross', 'NetPay'), ('Permeability', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('Layer', 'Porosity')]""]"
"[-8290.69, '[Bot, Gross, NetPay, Permeability, Water Saturation Irreducible, Well, Layer, Top, Porosity, Saturation]', ""[('Bot', 'Gross'), ('Gross', 'NetPay'), ('Permeability', 'Water Saturation Irreducible'), ('Well', 'Top'), ('Layer', 'Porosity'), ('Saturation', 'Well')]""]"
"[-8829.49, '[Well, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, Top, Layer, NetPay]', ""[('Well', 'Top'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Layer'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross'), ('Layer', 'Well'), ('Layer', 'Porosity')]""]"
