0
"[-8103.07, '[Well, Layer, Bot, Saturation, NetPay, Water Saturation Irreducible, Gross, Top, Porosity, Permeability]', ""[('Well', 'Top'), ('Bot', 'Gross'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible'), ('Gross', 'NetPay'), ('Permeability', 'Porosity')]""]"
"[-7333.65, '[Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Well, Porosity]', ""[('Layer', 'Porosity'), ('Top', 'Bot'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Well'), ('Permeability', 'Water Saturation Irreducible')]""]"
"[-8315.32, '[Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well, Bot, Top, Layer]', ""[('Gross', 'NetPay'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('Water Saturation Irreducible', 'Gross'), ('Well', 'Permeability'), ('Bot', 'Gross'), ('Top', 'Bot'), ('Layer', 'Porosity')]""]"
"[-8176.29, '[Top, Bot, Gross, Saturation, NetPay, Water Saturation Irreducible, Layer, Permeability, Porosity, Well]', ""[('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Layer'), ('Water Saturation Irreducible', 'Gross'), ('Permeability', 'Water Saturation Irreducible'), ('Permeability', 'Porosity'), ('Well', 'Top')]""]"
"[-8298.83, '[Layer, Top, Gross, NetPay, Porosity, Permeability, Bot, Saturation, Water Saturation Irreducible, Well]', ""[('Layer', 'Porosity'), ('Gross', 'NetPay'), ('Permeability', 'Porosity'), ('Bot', 'Gross'), ('Saturation', 'Water Saturation Irreducible'), ('Well', 'Top')]""]"
"[-7811.23, '[Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top, Well]', ""[('Layer', 'Porosity'), ('Gross', 'NetPay'), ('Saturation', 'Layer'), ('Permeability', 'Water Saturation Irreducible'), ('Top', 'Bot'), ('Well', 'Gross')]""]"
"[-8061.56, '[Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity, Well]', ""[('Layer', 'Porosity'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Layer'), ('Permeability', 'Water Saturation Irreducible'), ('Well', 'Top')]""]"
"[-8759.7, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability, Well]', ""[('Layer', 'Porosity'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Layer'), ('Permeability', 'Water Saturation Irreducible'), ('Well', 'Top'), ('Well', 'Permeability')]""]"
"[-8641.1, '[Well, Top, NetPay, Water Saturation Irreducible, Gross, Bot, Layer, Permeability, Porosity, Saturation]', ""[('Well', 'Gross'), ('Well', 'Permeability'), ('Top', 'Bot'), ('Gross', 'NetPay'), ('Layer', 'Porosity'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Layer')]""]"
"[-10599.7, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Water Saturation Irreducible, Permeability, Porosity]', ""[('Well', 'Top'), ('Layer', 'Well'), ('Layer', 'Porosity'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Well'), ('Saturation', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross'), ('Permeability', 'Porosity')]""]"
