0
"[-33718.84, '[Well, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer, Gross]', ""[('Well', 'Top'), ('Well', 'Permeability'), ('Well', 'Gross'), ('Top', 'Bot'), ('Bot', 'Gross'), ('Saturation', 'Layer'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Gross', 'NetPay')]""]"
"[-13650.28, '[Top, Bot, Gross, NetPay, Porosity, Permeability, Well, Saturation, Layer, Water Saturation Irreducible]', ""[('Bot', 'Gross'), ('Gross', 'NetPay'), ('Permeability', 'Water Saturation Irreducible'), ('Well', 'Top'), ('Well', 'Gross'), ('Well', 'Permeability'), ('Saturation', 'Layer'), ('Layer', 'Porosity')]""]"
"[-9085.93, '[Well, Layer, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, Top, Bot, NetPay]', ""[('Well', 'Permeability'), ('Well', 'Top'), ('Layer', 'Porosity'), ('Gross', 'NetPay'), ('Saturation', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross'), ('Bot', 'Gross')]""]"
"[-9376.26, '[Layer, Bot, Gross, NetPay, Porosity, Permeability, Saturation, Water Saturation Irreducible, Well, Top]', ""[('Layer', 'Porosity'), ('Layer', 'Well'), ('Bot', 'Gross'), ('Saturation', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross'), ('Well', 'Permeability'), ('Well', 'Top')]""]"
"[-7167.37, '[Layer, Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well, Saturation]', ""[('Top', 'Bot'), ('Gross', 'NetPay'), ('Permeability', 'Porosity'), ('Permeability', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('Saturation', 'Well')]""]"
"[-9085.93, '[Well, Layer, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot, Top]', ""[('Well', 'Permeability'), ('Well', 'Top'), ('Layer', 'Porosity'), ('Gross', 'NetPay'), ('Saturation', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross'), ('Bot', 'Gross')]""]"
"[-12721.01, '[Well, Layer, Top, NetPay, Water Saturation Irreducible, Gross, Porosity, Permeability, Bot, Saturation]', ""[('Well', 'Top'), ('Well', 'Gross'), ('Permeability', 'Porosity'), ('Bot', 'Gross'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible')]""]"
"[-9316.18, '[Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well, Layer, Saturation]', ""[('Bot', 'Gross'), ('Gross', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('Well', 'Top'), ('Well', 'Permeability'), ('Layer', 'Porosity'), ('Saturation', 'Well')]""]"
"[-8298.68, '[Top, Bot, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation, Layer, Gross, Well]', ""[('Bot', 'Gross'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Saturation', 'Layer'), ('Gross', 'NetPay'), ('Well', 'Top')]""]"
"[-35010.03, '[Well, Top, Bot, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross, Saturation, Layer]', ""[('Well', 'Top'), ('Well', 'Permeability'), ('Well', 'Gross'), ('Bot', 'Gross'), ('Water Saturation Irreducible', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Layer'), ('Layer', 'Well'), ('Layer', 'Porosity')]""]"
