0
"[-7953.33, '[Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity, Well]', ""[('Layer', 'Porosity'), ('Top', 'Bot'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Layer'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross'), ('Well', 'Permeability')]""]"
"[-9087.04, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Porosity'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Layer'), ('Water Saturation Irreducible', 'Gross'), ('Well', 'Top'), ('Well', 'Permeability')]""]"
"[-7432.84, '[Layer, Bot, Gross, NetPay, Porosity, Well, Water Saturation Irreducible, Top, Permeability, Saturation]', ""[('Gross', 'NetPay'), ('Well', 'Top'), ('Top', 'Bot'), ('Permeability', 'Porosity'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible')]""]"
"[-8503.78, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Well', 'Top'), ('Layer', 'Porosity'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Water Saturation Irreducible'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross')]""]"
"[-8298.68, '[Well, Top, Gross, Saturation, NetPay, Porosity, Permeability, Layer, Bot, Water Saturation Irreducible]', ""[('Well', 'Top'), ('Gross', 'NetPay'), ('Saturation', 'Layer'), ('Permeability', 'Porosity'), ('Bot', 'Gross'), ('Water Saturation Irreducible', 'Gross')]""]"
"[-8298.68, '[Well, Top, Bot, NetPay, Water Saturation Irreducible, Porosity, Gross, Permeability, Saturation, Layer]', ""[('Well', 'Top'), ('Bot', 'Gross'), ('Water Saturation Irreducible', 'Gross'), ('Gross', 'NetPay'), ('Permeability', 'Porosity'), ('Saturation', 'Layer')]""]"
"[-13546.18, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity]', ""[('Well', 'Top'), ('Well', 'Gross'), ('Layer', 'Well'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Water Saturation Irreducible'), ('Permeability', 'Porosity')]""]"
"[-7527.1, '[Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay, Well]', ""[('Layer', 'Porosity'), ('Top', 'Bot'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Well'), ('Permeability', 'Porosity')]""]"
"[-13771.56, '[Well, Layer, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top, Saturation]', ""[('Well', 'Gross'), ('Well', 'Permeability'), ('Well', 'Top'), ('Layer', 'Porosity'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Water Saturation Irreducible')]""]"
"[-10393.49, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity]', ""[('Well', 'Top'), ('Layer', 'Well'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Well'), ('Saturation', 'Water Saturation Irreducible'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross')]""]"
