0
"[-9115.29, '[Layer, Top, Bot, Gross, Saturation, NetPay, Water Saturation Irreducible, Porosity, Well, Permeability]', ""[('Layer', 'Porosity'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Layer'), ('Saturation', 'Well'), ('Well', 'Top'), ('Well', 'Permeability'), ('Permeability', 'Water Saturation Irreducible'), ('Permeability', 'Porosity')]""]"
"[-8075.72, '[Layer, Top, Bot, Saturation, Gross, NetPay, Permeability, Water Saturation Irreducible, Porosity, Well]', ""[('Layer', 'Porosity'), ('Top', 'Bot'), ('Bot', 'Gross'), ('Saturation', 'Layer'), ('Gross', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('Well', 'Permeability')]""]"
"[-8103.07, '[Well, Layer, Top, Saturation, Permeability, Bot, Water Saturation Irreducible, Porosity, NetPay, Gross]', ""[('Well', 'Top'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible'), ('Permeability', 'Porosity'), ('Bot', 'Gross'), ('Gross', 'NetPay')]""]"
"[-12995.96, '[Layer, Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation, Well]', ""[('Layer', 'Porosity'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Permeability', 'Water Saturation Irreducible'), ('Saturation', 'Water Saturation Irreducible'), ('Well', 'Top'), ('Well', 'Gross')]""]"
"[-8298.68, '[Layer, Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well, Saturation]', ""[('Bot', 'Gross'), ('Gross', 'NetPay'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Well', 'Top'), ('Saturation', 'Layer')]""]"
"[-13898.02, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Well', 'Top'), ('Well', 'Gross'), ('Well', 'Permeability'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('Permeability', 'Porosity'), ('Layer', 'Porosity')]""]"
"[-12084.99, '[Well, Layer, Top, Bot, Gross, NetPay, Porosity, Water Saturation Irreducible, Saturation, Permeability]', ""[('Well', 'Gross'), ('Top', 'Bot'), ('Gross', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible'), ('Permeability', 'Porosity')]""]"
"[-8880.97, '[Well, Top, Bot, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability, Gross, Layer]', ""[('Well', 'Top'), ('Well', 'Permeability'), ('Bot', 'Gross'), ('Saturation', 'Water Saturation Irreducible'), ('Gross', 'NetPay'), ('Layer', 'Porosity')]""]"
"[-12084.99, '[Well, Top, Bot, Gross, Saturation, Porosity, Water Saturation Irreducible, Permeability, NetPay, Layer]', ""[('Well', 'Gross'), ('Top', 'Bot'), ('Gross', 'NetPay'), ('Saturation', 'Well'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('Water Saturation Irreducible', 'Gross'), ('Permeability', 'Porosity')]""]"
"[-12591.35, '[Well, Top, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Bot, Permeability, Layer]', ""[('Well', 'Gross'), ('Well', 'Permeability'), ('Top', 'Bot'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('Water Saturation Irreducible', 'Gross'), ('Layer', 'Porosity')]""]"
