0
"[-8342.67, '[Well, Layer, Top, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation, Bot]', ""[('Well', 'Top'), ('Gross', 'NetPay'), ('Permeability', 'Porosity'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible'), ('Bot', 'Gross')]""]"
"[-33434.62, '[Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, Well, NetPay]', ""[('Layer', 'Porosity'), ('Top', 'Bot'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross'), ('Well', 'Gross'), ('Well', 'Permeability')]""]"
"[-8891.43, '[Well, Top, Gross, NetPay, Water Saturation Irreducible, Porosity, Permeability, Bot, Layer, Saturation]', ""[('Well', 'Top'), ('Well', 'Permeability'), ('Gross', 'NetPay'), ('Bot', 'Gross'), ('Layer', 'Porosity'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Layer')]""]"
"[-8298.68, '[Layer, Top, Bot, Gross, NetPay, Water Saturation Irreducible, Saturation, Well, Porosity, Permeability]', ""[('Bot', 'Gross'), ('Gross', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('Saturation', 'Layer'), ('Well', 'Top'), ('Permeability', 'Porosity')]""]"
"[-14011.15, '[Layer, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Well, Porosity, Top]', ""[('Layer', 'Porosity'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Well'), ('Well', 'Gross'), ('Well', 'Permeability'), ('Well', 'Top')]""]"
"[-9245.76, '[Well, Top, Bot, NetPay, Water Saturation Irreducible, Layer, Porosity, Permeability, Gross, Saturation]', ""[('Well', 'Top'), ('Well', 'Permeability'), ('Bot', 'Gross'), ('Water Saturation Irreducible', 'Gross'), ('Permeability', 'Porosity'), ('Gross', 'NetPay'), ('Saturation', 'Well'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Layer')]""]"
"[-11864.52, '[Well, Top, Bot, Gross, NetPay, Porosity, Water Saturation Irreducible, Permeability, Saturation, Layer]', ""[('Well', 'Gross'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Permeability', 'Porosity'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Layer')]""]"
"[-13006.42, '[Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Layer, Permeability, Well]', ""[('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('Layer', 'Porosity'), ('Permeability', 'Water Saturation Irreducible'), ('Well', 'Top'), ('Well', 'Gross')]""]"
"[-7956.79, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Well', 'Permeability'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross'), ('Layer', 'Porosity')]""]"
"[-7331.35, '[Well, Top, Gross, Porosity, Permeability, Water Saturation Irreducible, Bot, NetPay, Saturation, Layer]', ""[('Top', 'Bot'), ('Gross', 'NetPay'), ('Permeability', 'Porosity'), ('Bot', 'Gross'), ('Saturation', 'Well'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Layer')]""]"
