0
"[-9055.42, '[Well, Layer, Gross, Saturation, Porosity, Permeability, Bot, Water Saturation Irreducible, Top, NetPay]', ""[('Well', 'Permeability'), ('Well', 'Top'), ('Layer', 'Porosity'), ('Gross', 'NetPay'), ('Bot', 'Gross'), ('Water Saturation Irreducible', 'Gross')]""]"
"[-9326.64, '[Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, Layer, Well, NetPay]', ""[('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Layer'), ('Saturation', 'Well'), ('Water Saturation Irreducible', 'Gross'), ('Layer', 'Porosity'), ('Well', 'Top'), ('Well', 'Permeability')]""]"
"[-7837.41, '[Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, Well, NetPay]', ""[('Layer', 'Porosity'), ('Top', 'Bot'), ('Gross', 'NetPay'), ('Saturation', 'Water Saturation Irreducible'), ('Well', 'Permeability')]""]"
"[-7811.23, '[Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay, Well]', ""[('Layer', 'Porosity'), ('Top', 'Bot'), ('Gross', 'NetPay'), ('Saturation', 'Layer'), ('Permeability', 'Water Saturation Irreducible'), ('Well', 'Gross')]""]"
"[-9558.69, '[Layer, Bot, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well, Top, Saturation, Gross]', ""[('Layer', 'Well'), ('Bot', 'Gross'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Well', 'Permeability'), ('Well', 'Top'), ('Saturation', 'Water Saturation Irreducible'), ('Gross', 'NetPay')]""]"
"[-8342.42, '[Layer, Top, Bot, Gross, NetPay, Porosity, Permeability, Well, Saturation, Water Saturation Irreducible]', ""[('Layer', 'Well'), ('Top', 'Bot'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Permeability', 'Porosity'), ('Well', 'Permeability'), ('Saturation', 'Water Saturation Irreducible')]""]"
"[-11836.05, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay]', ""[('Well', 'Gross'), ('Top', 'Bot'), ('Gross', 'NetPay'), ('Saturation', 'Layer'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross')]""]"
"[-7657.04, '[Well, Top, Saturation, Porosity, Permeability, Water Saturation Irreducible, Layer, Bot, NetPay, Gross]', ""[('Top', 'Bot'), ('Saturation', 'Water Saturation Irreducible'), ('Permeability', 'Water Saturation Irreducible'), ('Layer', 'Well'), ('Layer', 'Porosity'), ('Bot', 'Gross'), ('Gross', 'NetPay')]""]"
"[-8061.56, '[Well, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Layer, Top, Permeability]', ""[('Well', 'Top'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Layer'), ('Layer', 'Porosity'), ('Permeability', 'Water Saturation Irreducible')]""]"
"[-8103.07, '[Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top, Well]', ""[('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible'), ('Permeability', 'Porosity'), ('Well', 'Top')]""]"
